,State,County,Jurisdiction,Parent Jurisdiction,Last Updated,Does It Have Zoning?,Type of Government,# of Pages in the Zoning Code,Link to Zoning Code,Link to Zoning Map,Link to Downloadable GIS Layers,Staff Planner Name,Staff Planner Email,Staff Planner Phone,Notes
0,Vermont,Rutland County,Mount Tabor,,2024-02-13,No,General-Purpose-Township,,,,,,,,
1,Vermont,Addison County,Granville,,2023-08-07,No,,,,,,,,,
2,Vermont,Franklin County,Bakersfield,,2024-02-15,Yes,General-Purpose-Township,https://www.nrpcvt.com/wp-content/uploads/2022/08/ZoningRegs_Bakersfield2017.pdf,https://www.nrpcvt.com/wp-content/uploads/2022/08/Map_BakersfieldZoning.pdf,https://hub.arcgis.com/datasets/fb8f6f06801941228fc37f74dca1ae6c/explore?location=44.835277%2C-72.631778%2C10.92,,,,,
3,Vermont,Chittenden County,Buels Gore,,2023-08-25,Yes,General-Purpose-Township,https://www.ccrpcvt.org/wp-content/uploads/2016/02/GoreZoning2010_adopted.pdf,https://www.ccrpcvt.org/wp-content/uploads/2016/02/GoreZoning2010_adopted.pdf,https://geodata.vermont.gov/explore?layout=list&query=buel%27s%20gore%20zoning,Bob Hall,,(802) 453-2044,,
4,Vermont,Addison County,Addison,,2023-09-12,Yes,General-Purpose-Municipal,https://www.addisonvt.net/regulations-and-forms,https://www.addisonvt.net/regulations-and-forms,https://geodata.vermont.gov/datasets/54418d95d29c463c90ba35162fa8dfda_0/explore,Mike Wojciechowski ,,802-759-2020,,
5,Vermont,Addison County,Waltham,,2023-08-25,Yes,General-Purpose-Township,https://static1.squarespace.com/static/633dd38581d8666c61ede093/t/63614a28dd362865ed10ddc6/1667320361823/SEPTEMBER+9%2C+2019+WALTHAM+ZONING%2C+SUBDIVISON+AND+FLOODPLAIN+REGULATIONS.pdf,https://static1.squarespace.com/static/633dd38581d8666c61ede093/t/63614a28dd362865ed10ddc6/1667320361823/SEPTEMBER+9%2C+2019+WALTHAM+ZONING%2C+SUBDIVISON+AND+FLOODPLAIN+REGULATIONS.pdf (pg 27),https://geodata.vermont.gov/datasets/7f475703e5b0457c85484520c66a90dc_0/explore?showTable=true,Steven True,zoning@walthamvt.org,(802)877-3641,,
6,Vermont,Addison County,Weybridge,,2023-08-25,Yes,General-Purpose-Township,https://static1.squarespace.com/static/561ebfbbe4b049704cd4bbf2/t/5e1cc93241028f660431777a/1578944833196/Weybridge+2019+Zoning+Regulations+Final+and+adopted.pdf,https://static1.squarespace.com/static/561ebfbbe4b049704cd4bbf2/t/61d61b1fa473cd6bbb0f9dfe/1641421604518/Zoning+Map.pdf,,Dorsey Coale  ,dorseycoale@gmail.com,,,
7,Vermont,Chittenden County,Saint George,,2023-08-25,Yes,General-Purpose-Township,https://webgen1files.revize.com/stgeorgevt/St%20George%20Land%20Use%20Regs.pdf,https://stgeorgevt.com/St.%20George%20Zoning%20Map.pdf,https://geodata.vermont.gov/datasets/fcccb4ded2314c94afff43a5bd9b771e_0/explore,Edmund Hanson,santorini@gmavt.net,(802) 453-3785,,
8,Vermont,Addison County,Ferrisburgh,,2023-09-12,Yes,General-Purpose-Township,https://www.ferrisburghvt.org/vertical/sites/%7BB16C9BC8-6A0C-4814-B183-6F54A75E8A13%7D/uploads/Final_Zoning_Bylaws_03022021_w_april_2021_map.pdf,https://www.ferrisburghvt.org/vertical/sites/%7BB16C9BC8-6A0C-4814-B183-6F54A75E8A13%7D/uploads/Ferrisburgh_Zoning_04_14_2021-FINAL_dated_01242022.pdf,https://geodata.vermont.gov/datasets/c57fb8f3212345faac1771724e57b7ad_0/explore,Norman Smith,norman@normansmithlaw.com,802-877-2843,,
9,Vermont,Bennington County,Stamford,,2024-02-25,Yes,General-Purpose-Township,https://townofstamfordvermont.org/mediaItems/documents/zoning-bylaws-10-23-2020.pdf,,https://geodata.vermont.gov/datasets/29b8b1c8cb194e058e936407be554305_0/explore,Debra Burchard,debraburchard@hotmail.com,,,
