ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,Most Common Nonresidential Use Permitted,AFF_DIST,ELD_DIST,Internal Notes,Visible Atlas Notes,1FDP,1-Family Min. Lot Size,1-Family Min. Lot Size Units,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1-Family Max Lot Coverage - Buildings,1-Family Max Lot Coverage - Buildings Units,1-Family Max Lot Coverage - Buildings & Impervious Surface,1-Family Max Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. Parking,1-Family Min. Parking Units,1-Family Max Stories,1-Family Max Stories Units,1-Family Max Height,1-Family Max Height Units,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2FDP,2-Family Affordable Only,2-Family Elderly Only,2-Family Min Lot Size,2-Family Min Lot Size Units,2-Family Max Density,2-Family Max Density Units,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2-Family Max Lot Coverage Buildings,2-Family Max Lot Coverage Buildings Units,2-Family Max Lot Coverage Buildings & Impervious,2-Family Max Lot Coverage Buildings & Impervious Units,2-Family Min Parking Per Studio/1BR,2-Family Min Parking Per Studio/1BR Units,2-Family Min Parking Per 2+ BR,2-Family Min Parking Per 2+ BR Units,2-Family Max Stories,2-Family Max Stories Units,2-Family Max Height,2-Family Max Height Units,2F_FTA,2F_FTA_UNITS,2-Family Min Unit Size,2-Family Min Unit Size Units,3FDP,3-Family Affordable Only,3-Family Elderly Only,3-Family Min Lot Size,3-Family Min Lot Size Units,3-Family Max Density,3-Family Max Density Units,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3-Family Max Lot Coverage Buildings,3-Family Max Lot Coverage Buildings Units,3-Family Max Lot Coverage Buildings & Impervious,3-Family Max Lot Coverage Buildings & Impervious Units,3-Family Min Parking Per Studio/1BR,3-Family Min Parking Per Studio/1BR Units,3-Family Min Parking Per 2+ BR,3-Family Min Parking Per 2+ BR Units,3-Family Sewer/Water Required,3-Family Public Transit Required,3-Family Max Stories,3-Family Max Stories Units,3-Family Max Height,3-Family Max Height Units,3F_FTA,3F_FTA_UNITS,3-Family Min Unit Size,3-Family Min Unit Size Units,3-Family Max Bedrooms,3-Family Max Bedrooms Units,4FDP,4+-Family Affordable Only,4+-Family Elderly Only,4+-Family Min Lot Size,4+-Family Min Lot Size Units,4+-Family Max Density,4+-Family Max Density Units,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4+-Family Max Lot Coverage Buildings,4+-Family Max Lot Coverage Buildings Units,4+-Family Max Lot Coverage Buildings & Impervious,4+-Family Max Lot Coverage Buildings & Impervious Units,4+-Family Min Parking Per Studio/1BR,4+-Family Min Parking Per Studio/1BR Units,4+-Family Min Parking Per 2+ BR,4+-Family Min Parking Per 2+ BR Units,4+-Family Sewer/Water Required,4+-Family Public Transit Required,4+-Family Max Stories,4+-Family Max Stories Units,4+-Family Max Height,4+-Family Max Height Units,4F_FTA,4F_FTA_UNITS,4+-Family Min Unit Size,4+-Family Min Unit Size Units,4+-Family Max Bedrooms,4+-Family Max Bedrooms Units,4+-Family Max Units per Building,4+-Family Max Units per Building Units,Affordable Housing Treatment,Affordable Housing Definition,Affordable Elderly Only,Affordable Min Lot Size,Affordable Min Lot Size Units,Affordable Max Density,Affordable Max Density Units,Affordable Min Parking Per Studio/1BR,Affordable Min Parking Per Studio/1BR Units,Affordable Min Parking Per 2+ BR,Affordable Min Parking Per 2+ BR Units,Affordable Sewer/Water Required,Affordable Public Transit Required,Affordable Min Unit Size,Affordable Min Unit Size Units,Affordable Max Bedrooms,Affordable Max Bedrooms Units,Affordable Max Units per Building,Affordable Max Units per Building Units,ADU Treatment,ADU Employee/Family Required,ADU Renter Prohibited,ADU_OWNER_REQD,ADU Elderly Only,ADU Min Lot Size,ADU Min Lot Size Units,ADU Min Parking,ADU Min Parking Units,ADU Only Primary Structure,ADU Max Size (% of Main),ADU Max Size (% of Main) Units,ADU Max Size (sq ft),ADU Max Size (sq ft) Units,ADU Max Bedrooms,ADU Max Bedrooms Units,PRD Treatment,PRD Mobile or Manufactured,PRD Min Development Size,PRD Min Development Size Units,PRD Max Density,PRD Max Density Units,PRD Max Units,PRD Max Units Units,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
F,Completed,2024-05-02,Published,2024-06-05,Vermont,Bennington County,Woodford,,Forest,2023-09-05,,No,No,No,Mixed with Residential,Open Space/Light Recreation,No,No,,,Allowed/Conditional,15.0,Acres,40,Feet,30.0,Feet,50.0,Feet,10.0,Percent,,,,,,,30.0,Feet,,,,,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,f,,
FHO,Completed,2024-06-04,Published,2024-06-05,Vermont,Bennington County,Woodford,,Flood Hazard Overlay,2023-09-05,,Yes,No,Yes,Overlay not Affecting Use,,No,No,,,Overlay,,,,,,,,,,,,,,,,,,,,,,,Overlay,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Overlay,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Overlay,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Not Mentioned,No,No,No,No,,,,,No,,,,,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/C,Completed,2024-05-02,Published,2024-06-05,Vermont,Bennington County,Woodford,,Industrial/Commercial,2023-09-05,,No,No,No,Mixed with Residential,Mixed - Industrial-Commercial,No,No,,,Allowed/Conditional,5.0,Acres,50,Feet,50.0,Feet,50.0,Feet,20.0,Percent,,,,,,,,,,,,,Allowed/Conditional,No,No,5.0,Acres per 2-Family,,,50.0,Feet,50.0,Feet,50.0,Feet,20.0,Percent,,,,,,,,,,,,,,,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Public Hearing,No,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,t,,t,,
R,Completed,2024-05-03,Published,2024-06-05,Vermont,Bennington County,Woodford,,Recreation,2023-09-05,,No,No,No,Nonresidential,Cultural/Entertainment/Tourist,No,No,,,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
RC,Completed,2024-05-03,Published,2024-06-05,Vermont,Bennington County,Woodford,,Roadside Commercial,2023-09-05,,No,No,No,Mixed with Residential,Mixed - Specified Commercial Uses,No,No,,,Allowed/Conditional,2.0,Acres,50,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,30.0,Feet,,,,,Allowed/Conditional,No,No,4.0,Acres per 2-Family,,,50.0,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,,,30.0,Feet,,,,,Public Hearing,No,No,6.0,Acres per 3-Family,,,50.0,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,Public Hearing,No,No,8.0,Acres per 4+-Family,,,50.0,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,f,f,,,50.0,50.0,50.0,10.0,,,,f,f,,30.0,,,,,0.2,,,,,,t,,t,t,
RR-1,Completed,2024-05-04,Published,2024-06-05,Vermont,Bennington County,Woodford,,Rural Residential - 1 Acre,2024-05-04,,Yes,No,No,Primarily Residential,,No,No,,"Rural Residential (RR) district mentioned once in bylaws but does not appear on map. RR-1, RR-5, and RR-10 are fully detailed in bylaws and appear on map.",Allowed/Conditional,1.0,Acres,40,Feet,30.0,Feet,40.0,Feet,10.0,Percent,,,,,,,30.0,Feet,,,,,Allowed/Conditional,No,No,1.0,Acres per 2-Family,,,40.0,Feet,30.0,Feet,40.0,Feet,10.0,Percent,,,,,,,,,30.0,Feet,,,,,Public Hearing,No,No,3.0,Acres per 3-Family,,,50.0,Feet,35.0,Feet,35.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,Public Hearing,No,No,3.0,Acres per 4+-Family,,,50.0,Feet,35.0,Feet,35.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Allowed/Conditional,Yes,5.0,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR-10,Completed,2024-05-04,Published,2024-06-05,Vermont,Bennington County,Woodford,,Rural Residential - 10 Acres,2024-05-04,,Yes,No,No,Primarily Residential,,No,No,,"Rural Residential (RR) district mentioned once in bylaws but does not appear on map. RR-1, RR-5, and RR-10 are fully detailed in bylaws and appear on map.",Allowed/Conditional,10.0,Acres,50,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,30.0,Feet,,,,,Allowed/Conditional,No,No,10.0,Acres per 2-Family,,,50.0,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,,,30.0,Feet,,,,,Public Hearing,No,No,3.0,Acres per 3-Family,,,50.0,Feet,35.0,Feet,35.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,Public Hearing,No,No,3.0,Acres per 4+-Family,,,50.0,Feet,35.0,Feet,35.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Allowed/Conditional,Yes,5.0,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR-5,Completed,2024-05-04,Published,2024-06-05,Vermont,Bennington County,Woodford,,Rural Residential - 5 Acres,2024-05-04,,Yes,No,No,Primarily Residential,,No,No,,"Rural Residential (RR) district mentioned once in bylaws but does not appear on map. RR-1, RR-5, and RR-10 are fully detailed in bylaws and appear on map.",Allowed/Conditional,5.0,Acres,50,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,30.0,Feet,,,,,Allowed/Conditional,No,No,5.0,Acres per 2-Family,,,50.0,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,,,30.0,Feet,,,,,Public Hearing,No,No,3.0,Acres per 3-Family,,,50.0,Feet,35.0,Feet,35.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,Public Hearing,No,No,3.0,Acres per 4+-Family,,,50.0,Feet,35.0,Feet,35.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Allowed/Conditional,Yes,5.0,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR/RC,Completed,2024-05-04,Published,2024-06-05,Vermont,Bennington County,Woodford,,Rural Residential/Roadside Commercial,2023-09-05,,No,No,No,Mixed with Residential,Mixed - Specified Commercial Uses,No,No,,,Allowed/Conditional,1.0,Acres,40,Feet,30.0,Feet,40.0,Feet,10.0,Percent,,,,,,,30.0,Feet,,,,,Allowed/Conditional,No,No,2.0,Acres per 2-Family,,,40.0,Feet,30.0,Feet,40.0,Feet,10.0,Percent,,,,,,,,,30.0,Feet,,,,,Public Hearing,No,No,3.0,Acres per 3-Family,,,40.0,Feet,30.0,Feet,40.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,Public Hearing,No,No,4.0,Acres per 4+-Family,,,40.0,Feet,30.0,Feet,40.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Public Hearing,Yes,5.0,Acres per PRD,,,,,f,f,,,40.0,40.0,40.0,10.0,,,,f,f,,30.0,,,,,1.0,,,,,,t,,t,t,
WLE,Completed,2024-05-03,Published,2024-06-05,Vermont,Bennington County,Woodford,,Woodford Lake Estates,2023-09-05,,No,No,No,Mixed with Residential,Open Space/Light Recreation,No,No,,,Allowed/Conditional,0.23,Acres,20 from road; 25  from lakefront,Alternatives,20.0,Feet,20.0,Feet,20.0,Percent,10.0,Percent,,,,,30.0,Feet,,,,,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,f,,
