ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR_UNITS,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD_MIN_LOT,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
AACOD,In Progress,2024-02-23,In Progress,2024-02-25,Vermont,Chittenden County,South Burlington,,Airport Approach Corridors Overlay District,2024-02-23,,Yes,No,Yes,Nonresidential,,,,,,,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,Completed,2023-12-01,In Progress,2024-02-25,Vermont,Chittenden County,South Burlington,,Airport District,2023-08-02,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
AIR-I,Completed,2023-12-01,In Progress,2024-02-25,Vermont,Chittenden County,South Burlington,,Airport Industrial District,2023-08-02,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
AR,Completed,2023-12-01,In Progress,2024-02-25,Vermont,Chittenden County,South Burlington,,Allen Road District,2023-08-02,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.14,Acres,30.0,Feet,10.0,Feet,30.0,Feet,30.0,Percent,40,Percent,,,4.0,Stories,Flat roof: 25; pitched: 28,Alternatives,,,,,No,No,0.18,Acres per 2-Family,12.0,Units per Acre,30.0,Feet,10.0,Feet,30.0,Feet,30.0,Percent,40,Percent,,,,,4.0,Stories,Flat roof: 25; pitched: 28,Alternatives,,,,,No,No,0.24,Acres per 3-Family,12.0,Units per Acre,30.0,Feet,10.0,Feet,30.0,Feet,40.0,Percent,70,Percent,2.25,Spaces per Unit,4.5,Spaces per Unit,Yes,No,,,Flat roof: 35; pitched: 40,Alternatives,,Ratio,,,,,No,No,0.32,Acres per 4+-Family,12.0,Units per Acre,30.0,Feet,10.0,Feet,30.0,Feet,40.0,Percent,70,Percent,3.0,Spaces per Unit,6.0,Spaces per Unit,Yes,No,,,Flat roof: 35; pitched: 40,Alternatives,,,,,,,,,Allowed/Conditional,Sale/rent cost does not exceed the maximum price for a household with a gross annual income that does not exceed 80% of the median income for the Burlington-South Burlington Metropolitan Statistical Area. Total Annual cost of ownership or rent does not exceed 30% of household's income at 80% of the median income for the Burlington-South Burlington Metropolitan Statistical Area.  ,No,,,,,0.75,Spaces per Unit,1.5,Spaces per Unit,Yes,No,,,,,,,Allowed/Conditional,No,No,Yes,No,,,0.75,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Max 2 stories facing street, 3 below roofline, and one roofline story for all residential treatments.",,,0.4,12.0,30.0,10.0,30.0,40.0,70.0,5.0,7.25,t,f,,35.0,,,,,12.0,,,,,,t,,t,f,
C1,Completed,2023-12-01,In Progress,2024-02-25,Vermont,Chittenden County,South Burlington,,Commercial 1 District,2023-08-02,,Yes,No,No,Mixed with Residential,No,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,0.24,Acres per 3-Family,15.0,Units per Acre,30.0,Feet,10.0,Feet,30.0,Feet,40.0,Percent,70,Percent,2.25,Spaces per Unit,4.5,Spaces per Unit,Yes,No,5.0,Stories,,,,,,,,,No,No,0.32,Acres per 4+-Family,15.0,Units per Acre,30.0,Feet,10.0,Feet,30.0,Feet,40.0,Percent,70,Percent,3.75,Spaces per Unit,6.75,Spaces per Unit,Yes,No,5.0,Stories,,,,,,,,,,,Allowed/Conditional,Sale/rent cost does not exceed the maximum price for a household with a gross annual income that does not exceed 80% of the median income for the Burlington-South Burlington Metropolitan Statistical Area. Total Annual cost of ownership or rent does not exceed 30% of household's income at 80% of the median income for the Burlington-South Burlington Metropolitan Statistical Area.  ,No,,,,,0.75,Spaces per Unit,1.5,Spaces per Unit,Yes,No,,,,,,,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.4,15.0,30.0,10.0,30.0,40.0,70.0,4.5,8.25,t,f,5.0,,,,,,15.0,,,,,,t,3.0,t,f,
C1-AIR,Completed,2023-12-01,In Progress,2024-02-25,Vermont,Chittenden County,South Burlington,,Commercial 1 with Airport-Related Uses District,2023-08-02,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
C1-AUTO,Completed,2023-12-01,In Progress,2024-02-25,Vermont,Chittenden County,South Burlington,,Commercial 1 with Automobile Sales District,2023-08-02,,Yes,No,No,Mixed with Residential,No,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,0.24,Acres per 3-Family,15.0,Units per Acre,30.0,Feet,15.0,Feet,30.0,Feet,40.0,Percent,70,Percent,2.25,Spaces per Unit,4.5,Spaces per Unit,Yes,No,5.0,Stories,,,,,,,,,No,No,0.32,Acres per 4+-Family,15.0,Units per Acre,30.0,Feet,15.0,Feet,30.0,Feet,40.0,Percent,70,Percent,3.75,Spaces per Unit,6.75,Spaces per Unit,Yes,No,5.0,Stories,,,,,,,,,,,Allowed/Conditional,Sale/rent cost does not exceed the maximum price for a household with a gross annual income that does not exceed 80% of the median income for the Burlington-South Burlington Metropolitan Statistical Area. Total Annual cost of ownership or rent does not exceed 30% of household's income at 80% of the median income for the Burlington-South Burlington Metropolitan Statistical Area.  ,No,,,15.0,Units per Acre,0.75,Spaces per Unit,1.5,Spaces per Unit,Yes,No,,,,,,,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.4,15.0,30.0,15.0,30.0,40.0,70.0,4.5,8.25,t,f,5.0,,,,,,15.0,,,,,,t,3.0,t,f,
C1-LR,Completed,2023-12-01,In Progress,2024-02-25,Vermont,Chittenden County,South Burlington,,Commercial 1 with Limited Retail District,2023-08-02,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,0.14,Acres,30.0,Feet,10.0,Feet,30.0,Feet,30.0,Percent,40,Percent,,,4.0,Stories,Flat roof: 25; pitched: 28,Alternatives,,,,,No,No,0.18,Acres per 2-Family,12.0,Units per Acre,30.0,Feet,10.0,Feet,30.0,Feet,30.0,Percent,40,Percent,,,,,4.0,Stories,Flat roof: 25; pitched: 28,Alternatives,,,,,No,No,0.24,Acres per 3-Family,12.0,Units per Acre,30.0,Feet,10.0,Feet,30.0,Feet,40.0,Percent,70,Percent,2.25,Spaces per Unit,4.5,Spaces per Unit,Yes,No,,,Flat roof: 35; pitched: 40,Alternatives,,,,,,,No,No,0.32,Acres per 4+-Family,12.0,Units per Acre,30.0,Feet,10.0,Feet,30.0,Feet,40.0,Percent,70,Percent,3.75,Spaces per Unit,5.25,Spaces per Unit,Yes,No,,,Flat roof: 35; pitched: 40,Alternatives,,,,,,,,,Allowed/Conditional,Sale/rent cost does not exceed the maximum price for a household with a gross annual income that does not exceed 80% of the median income for the Burlington-South Burlington Metropolitan Statistical Area. Total Annual cost of ownership or rent does not exceed 30% of household's income at 80% of the median income for the Burlington-South Burlington Metropolitan Statistical Area.  ,No,,,12.0,Units per Acre,0.75,Spaces per Unit,1.5,Spaces per Unit,Yes,No,,,,,,,Allowed/Conditional,Yes,No,Yes,No,,,0.75,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Max 2 stories facing street, 3 below roofline, and one roofline story for all residential treatments.",f,f,0.4,12.0,30.0,10.0,30.0,40.0,70.0,4.5,8.25,t,f,,35.0,,,,,12.0,,,,,,t,1.0,t,f,
C2,Completed,2023-12-01,In Progress,2024-02-25,Vermont,Chittenden County,South Burlington,,Commercial 2 District,2023-08-02,,Yes,No,No,Mixed with Residential,No,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,0.41,Acres per 3-Family,7.0,Units per Acre,30.0,Feet,10.0,Feet,30.0,Feet,40.0,Percent,70,Percent,2.25,Spaces per Unit,4.5,Spaces per Unit,Yes,No,,,"Flat: 35, Pitched: 40",Alternatives,,,,,,,No,No,0.55,Acres per 4+-Family,7.0,Units per Acre,30.0,Feet,10.0,Feet,30.0,Feet,40.0,Percent,70,Percent,3.75,Spaces per Unit,6.75,Spaces per Unit,Yes,No,,,"Flat: 35, Pitched: 40",Alternatives,,,,,,,,,Allowed/Conditional,Sale/rent cost does not exceed the maximum price for a household with a gross annual income that does not exceed 80% of the median income for the Burlington-South Burlington Metropolitan Statistical Area. Total Annual cost of ownership or rent does not exceed 30% of household's income at 80% of the median income for the Burlington-South Burlington Metropolitan Statistical Area.  ,No,,,7.0,Units per Acre,0.75,Spaces per Unit,1.5,Spaces per Unit,Yes,No,,,,,,,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.69,7.0,30.0,10.0,30.0,40.0,70.0,4.5,8.25,t,f,,35.0,,,,,7.0,,,,,,t,3.0,t,f,
FOO,Completed,2024-02-01,In Progress,2024-02-25,Vermont,Chittenden County,South Burlington,,Floodplain Overlay District,2023-08-02,,Yes,No,Yes,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
