ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR_UNITS,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD_MIN_LOT,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
CB,Completed,2024-02-29,Published,2024-03-01,Vermont,Lamoille County,Morristown,,Central Business,2024-02-27,,Yes,No,No,Mixed with Residential,No,No,Public Hearing,Public Hearing,Allowed/Conditional,Public Hearing,0.03,Acres,,,,,,,,,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.03,Acres per 2-Family,,,,,,,,,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.03,Acres per 3-Family,,,,,,,,,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,0.03,Acres per 4+-Family,,,,,,,,,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,,,,,,,,"50-ft minimum setback from a shoreline.
Buildings over 35-feet may be permitted subject to Conditional Use Review and a Public Hearing.
",f,f,,,,,,,,,,f,f,,,,,,,,20.0,20.0,20.0,20.0,20.0,t,2.0,t,t,
COM,Completed,2024-02-29,Published,2024-03-01,Vermont,Lamoille County,Morristown,,Commercial,2024-02-27,,Yes,No,No,Mixed with Residential,No,No,Prohibited,Public Hearing,Public Hearing,Public Hearing,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,0.23,Acres per 2-Family,0.23,Units per Acre,30.0,Feet,5.0,Feet,5.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.23,Acres per 3-Family,0.23,Units per Acre,30.0,Feet,5.0,Feet,5.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,Stories,35.0,Feet,,,,,,,No,No,0.23,Acres per 4+-Family,0.23,Units per Acre,30.0,Feet,5.0,Feet,5.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,0.23,Acres,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,,,,,Public Hearing,No,,,,,,,,"50-ft minimum setback from a shoreline.
Buildings over 50-feet may be permitted subject to Conditional Use Review and a Public Hearing.
3+ Family use is only allowed when a Business Services, Restaurant, or Retail Sales of Goods & Services use, or a combination thereof, is provided on at least 50% of the ground/first floor of the building.",f,f,,,,,,,,,,f,f,,,,,,,,,50.0,50.0,50.0,50.0,t,2.0,t,t,
ERA,Completed,2024-03-01,Published,2024-03-01,Vermont,Lamoille County,Morristown,,Environmental Resource Area,2024-02-27,,Yes,No,Yes,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Overlay only. Any use permitted or conditionally permitted in the underlying district requires review and a public hearing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHA,Completed,2024-03-01,Published,2024-03-01,Vermont,Lamoille County,Morristown,,Flood Hazard Area,2024-02-27,,Yes,No,Yes,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Overlay only. Any use permitted or conditionally permitted in the underlying district requires review and a public hearing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDR,Completed,2024-03-01,Published,2024-03-01,Vermont,Lamoille County,Morristown,,High Density Residential,2024-02-27,,Yes,No,No,Mixed with Residential,No,No,Public Hearing,Allowed/Conditional,Public Hearing,Public Hearing,0.05,Acres,,,,,10.0,Feet,,,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.05,Acres per 2-Family,,,,,,,,,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.05,Acres per 3-Family,,,,,,,,,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,0.05,Acres per 4+-Family,,,,,,,10.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,,,,,Public Hearing,No,,,,,,,,"50 ft minimum setback from a shoreline.
Buildings over 35 ft may be permitted subject to Conditional Use review and a Public Hearing.
4,000 sq ft. of land area per dwelling unit is required on Brooklyn St. ",f,f,,,,,,,,,,f,f,,,,,,,0.05,20.0,20.0,20.0,20.0,20.0,t,2.0,t,t,
HOS,Completed,2024-03-01,Published,2024-03-01,Vermont,Lamoille County,Morristown,,Hospital,2024-02-27,,Yes,No,No,Mixed with Residential,No,No,Public Hearing,Public Hearing,Public Hearing,Public Hearing,0.18,Acres,35.0,Feet,10.0,Feet,10.0,Feet,,,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.18,Acres per 2-Family,,,35.0,Feet,10.0,Feet,10.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.18,Acres per 3-Family,,,35.0,Feet,10.0,Feet,10.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,0.18,Acres per 4+-Family,,,35.0,Feet,10.0,Feet,10.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,,,,,Public Hearing,No,,,,,,,,"50 ft minimum setback from a shoreline.
3+ Family Housing is only permitted as part of a health care facility.
Buildings over 35 ft may be permitted subject to Conditional Use Review and a Public Hearing.",f,f,,,,,,,,,,f,f,,,,,,,,50.0,50.0,50.0,50.0,50.0,t,2.0,t,t,
IND,Completed,2024-03-01,Published,2024-03-01,Vermont,Lamoille County,Morristown,,Industrial,2024-02-27,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,,,,,Public Hearing,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDR,Completed,2024-03-01,Published,2024-03-01,Vermont,Lamoille County,Morristown,,Low Density Residential,2024-02-27,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.23,Acres,35.0,Feet,10.0,Feet,15.0,Feet,,,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,,,,,Public Hearing,No,,,,,,,,"District is subdivided into 3 separate (mapped) geographies called ""Development Classes"" - Areas of LDR Zone with Class 2 Development require a 15,000 sq ft minimum lot size per family, and areas of the LDR Zone relying on Class 3 Development require a 25,000 sq ft minimum lot size per family.
50 ft minimum setback from a Shoreline

Structures over 35-feet may be permitted subject to Conditional Use Review and a Public Hearing",f,f,,,,,,,,,,f,f,,,,,,,,50.0,,,,,t,2.0,t,t,
MDR,Completed,2024-03-01,Published,2024-03-01,Vermont,Lamoille County,Morristown,,Medium Density Residential,2024-02-27,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Public Hearing,Prohibited,Prohibited,0.09,Acres,25.0,Feet,5.0,Feet,10.0,Feet,,,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.09,Acres per 2-Family,,,25.0,Feet,5.0,Feet,15.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,,,,,Public Hearing,No,,,,,,,,"50 ft minimum setback from a shoreline.
Buildings over 35 ft may be permitted subject to Conditional Use review and a Public Hearing.",f,f,,,,,,,,,,,,,,,,,,,50.0,50.0,,,,t,2.0,t,t,
MOR,Completed,2024-03-01,Published,2024-03-01,Vermont,Lamoille County,Morristown,,Mixed Office Residential,2024-02-27,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.09,Acres,35.0,Feet,5.0,Feet,10.0,Feet,,,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.09,Acres per 2-Family,,,35.0,Feet,5.0,Feet,10.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,,,,,Public Hearing,No,,,,,,,,"50 ft minimum setback from a shoreline.
Buildings over 35 feet may be permitted subject to Conditional Use Review and a Public Hearing.",f,f,,,,,,,,,,f,f,,,,,,,,50.0,50.0,,,,t,2.0,t,t,
