ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD_MIN_LOT,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
AIR,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Middlebury,,Airport District,2023-08-11,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Middlebury,,Agricultural/Rural District,2023-08-11,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,Town water & onsite septic: 1 ac; well & onsite septic 2 ac,Contextual,75.0,Feet,25.0,Feet,25.0,Feet,,,,,2.0,Spaces per Unit,2.0,Stories,35.0,Feet,,,,,No,No,town water & onsite septic 1 ac; well & onsite septic 2 ac,Contextual,town water & onsite septic 0.5 ac; well & onsite septic 1 ac,Contextual,75.0,Feet,25.0,Feet,25.0,Feet,,,,,2.0,Spaces per Unit,2.0,Spaces per Unit,2.0,Stories,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,town water & onsite septic 1 ac; well & onsite septic 2 ac,Contextual,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,2.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Maximum building footprint 4,000 sf. A two story residence may include a partial third floor under the roof slope. Development is limited by residential density of parcel areas per Schedule A in Section 624 of the Middlebury Zoning Regulations.",,,,,,,,,,,,,,,,,,,,1.0,200.0,200.0,,,,f,5.0,t,t,
CBD,Completed,2023-09-19,Published,2024-02-02,Vermont,Addison County,Middlebury,,Central Business District,2023-08-11,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.09,Acres,,,,,,,100.0,Percent,,,1.0,Spaces per Unit,6.0,Stories,70.0,Feet,,,,,No,No,0.09,Acres per 2-Family,22,Units per Acre,,,,,,,100.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,6.0,Stories,70.0,Feet,,,,,No,No,0.09,Acres per 3-Family,33.0,Units per Acre,,,,,,,100.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,6.0,Stories,70.0,Feet,,,,,,,No,No,0.09,Acres per 4+-Family,44.0,Units per Acre,,,,,,,100.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,6.0,Stories,70.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,"Flagging for review (will ask zoning administrator): Is there a maximum residential density? Is there a minimum lot size for 3+ homes? Would also like internal review on density.

ES - See the table in Section 622.III.D - sf and duplex require the same min lot size. My read on min. lot size is that it remains the 4,000SF for 3+ family as well, see section 747: ""In the MU, HI and CBD Districts, subject to conditional use approval in accordance with Section 540, dwelling units may be added notwithstanding lot area. The other dimensional requirements of Section 620 remain in effect and may constrain the development potential of the parcel.""  Basically I think conditional use approval is the process by which appropriateness of proposed density over 3 families is determined. And of course maximum building footprint plays a role here too. 
Let's confirm with the zoning administrator. 

This is a reasonable interpretation of the regs.  BH 09/18/2023","Maximum building footprint 12,000sf. On Main St, Merchant's Row, Park St, street level uses must be active only & at least 30ft deep - residential use at street level is not permitted. Drive through facilities prohibited. 4+ unit residences require site plan review in order to get a permit.",f,f,0.09,55.0,,,,100.0,,1.0,1.0,f,f,6.0,70.0,,,,,11.0,40.0,40.0,40.0,40.0,40.0,f,5.0,t,t,
FEH,Completed,2023-08-14,Published,2024-02-02,Vermont,Addison County,Middlebury,,Fluvial Erosion Hazard Overlay,2023-08-11,,Yes,No,Yes,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Development in this area must not increase the susceptibility of the subject or other properties to fluvial erosion damage or put an undue burden on emergency service providers during/after fluvial erosion events. It must not increase the potential of materials to be swept into the stream or onto land that would cause damage to other properties from fluvial erosion. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOR,Completed,2023-08-14,Published,2024-02-02,Vermont,Addison County,Middlebury,,Forest/Conservation District,2023-08-11,,Yes,No,No,Nonresidential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,25,Acres,125.0,Feet,100.0,Feet,100.0,Feet,,,,,2.0,Spaces per Unit,2.0,Stories,35.0,Feet,,,,,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,25,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,2.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,Single family homes are permitted per site plan review.,,,,,,,,,,,,,,,,,,,,0.04,600.0,,,,,f,5.0,t,t,
GC,Completed,2023-09-18,Published,2024-02-02,Vermont,Addison County,Middlebury,,General Commercial District,2023-08-11,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,Completed,2023-08-11,Published,2024-02-02,Vermont,Addison County,Middlebury,,Heritage Industrial District,2023-08-11,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,Acres,,,10.0,Feet,10.0,Feet,90.0,Percent,,,1.0,Spaces per Unit,3.0,Stories,50.0,Feet,,,,,No,No,0.23,Acres per 2-Family,8.7,Units per Acre,,,10.0,Feet,10.0,Feet,90.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,3.0,Stories,50.0,Feet,,,,,No,No,0.69,Acres per 3-Family,4.3,Units per Acre,,,10.0,Feet,10.0,Feet,90.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,3.0,Stories,50.0,Feet,,,,,,,No,No,0.92,Acres per 4+-Family,4.3,Units per Acre,,,10.0,Feet,10.0,Feet,90.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,3.0,Stories,50.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,0.23,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,2.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Maximum building footprint 18,000sf. Drive through facilities prohibited. 3+ unit residences require site plan review in order to get a permit. ",f,f,1.15,4.3,,10.0,10.0,90.0,,1.0,1.0,f,f,3.0,50.0,,,,,4.3,100.0,100.0,100.0,100.0,100.0,t,5.0,t,t,
IND,Completed,2023-08-14,Published,2024-02-02,Vermont,Addison County,Middlebury,,Industrial District,2023-08-11,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS,Completed,2023-08-14,Published,2024-02-02,Vermont,Addison County,Middlebury,,Institutional District,2023-08-11,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,Acres,15.0,Feet,10.0,Feet,10.0,Feet,60.0,Percent,,,2.0,Spaces per Unit,4.0,Stories,60.0,Feet,,,,,No,No,0.23,Acres per 2-Family,8.7,Units per Acre,15.0,Feet,10.0,Feet,10.0,Feet,60.0,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,4.0,Stories,60.0,Feet,,,,,No,No,0.69,Acres per 3-Family,4.3,Units per Acre,15.0,Feet,10.0,Feet,10.0,Feet,60.0,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,4.0,Stories,60.0,Feet,,,,,,,No,No,0.92,Acres per 4+-Family,4.3,Units per Acre,15.0,Feet,10.0,Feet,10.0,Feet,60.0,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,4.0,Stories,60.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,0.23,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,2.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"District primarily consists of Middlebury College and UVM Porter Medical Center. 4 or more unit residences and student residences are permitted under site plan review. Maximum building footprint 18,000 sf. ",f,f,1.15,4.3,15.0,10.0,10.0,60.0,,2.0,2.0,f,f,4.0,60.0,,,,,4.3,100.0,100.0,100.0,100.0,100.0,f,5.0,t,t,
MU,Completed,2023-09-18,Published,2024-02-02,Vermont,Addison County,Middlebury,,Mixed Use District,2023-08-11,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,Acres,10.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,3.0,Stories,50.0,Feet,,,,,No,No,0.23,Acres per 2-Family,8.7,Units per Acre,10.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,3.0,Stories,50.0,Feet,,,,,No,No,0.23,Acres per 3-Family,4.3,Units per Acre,10.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,3.0,Stories,50.0,Feet,,,,,,,No,No,0.23,Acres per 4+-Family,4.3,Units per Acre,10.0,Feet,10.0,Feet,10.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,3.0,Stories,50.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,0.23,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,90.0,Square Feet,2.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,Flagging this for a density check!,"Maximum  building footprint 24,000 sf. 3+ unit residences require site plan review in order to get a permit. Minimum lot area 2,178 per dwelling in 3+ unit residences.",f,f,0.25,4.3,10.0,10.0,10.0,80.0,,1.0,1.0,f,f,3.0,50.0,,,,,4.3,100.0,100.0,100.0,100.0,100.0,f,5.0,t,t,
