ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD_MIN_LOT,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
CON-25,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Ripton,,Conservation,2023-08-18,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"This district is intended to limit development on National Forest owned and privately owned lands remote from existing roads and managed primarily for forestry. Uses in this district should be limited to forestry, agriculture, and open land recreation. The construction of buildings should be discouraged and allowed only if approved after conditional use review.",f,f,,,,,,,,,,,,,,,,,,0.04,,,,,,f,,f,,
CORR,Completed,2023-08-24,Published,2024-02-02,Vermont,Addison County,Ripton,,Flood and River Corridor Overlay Zone,2023-08-18,,Yes,No,Yes,Nonresidential,No,No,Overlay,Overlay,Overlay,Overlay,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"This district, formerly known as the fluvial erosion hazard overlay zone, overlays portions of zoning district along rivers or other water bodies that are prone to flooding and flood-related erosion. The district avoids or minimizes loss of life and property and extraordinary public expenditure and demands on public services by limiting new development within mapped erosion hazard areas. Where possible, the district permits stream channel migration and adjustment, aiming to reestablish a natural flow equilibrium, stabilize riverbanks, and avoid degrading stream channelization.",f,f,,,,,,,,,,f,f,,,,,,,,,,,,,f,,t,,
FLO,Completed,2023-08-24,Published,2024-02-02,Vermont,Addison County,Ripton,,Flood Hazard Overlay Zone,2023-08-18,,Yes,No,Yes,Nonresidential,No,No,Overlay,Overlay,Overlay,Overlay,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"This district overlays portions of zoning districts along rivers or other water bodies that are prone to flooding. The district encourages design and construction of development in flood prone areas that minimize or eliminate the potential for damage to life and property, disruptions of commerce, impairment of the tax base, undue public expenditure, and demand on public services. The district makes the State and the Town of
Ripton eligible for federal flood insurance, disaster recovery and hazard mitigation funds.  Standards are the same as the underlying districts except that proposed construction or development must receive conditional use approval of the Zoning Board of Adjustment.",f,f,,,,,,,,,,,,,,,,,,,,,,,,f,,t,,
HDR-2,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Ripton,,High Density Residential,2023-08-18,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,2.0,Acres,50.0,Feet,30.0,Feet,50.0,Feet,,Percent,7.0,Percent,2.0,Spaces per Unit,,,35.0,Feet,,Ratio,,Square Feet,No,No,2.0,Acres per 2-Family,1.0,Units per Acre,50.0,Feet,30.0,Feet,50.0,Feet,,Percent,7.0,Percent,,Spaces per Unit,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,2.0,Acres per 3-Family,1.5,Units per Acre,50.0,Feet,30.0,Feet,50.0,Feet,,Percent,7.0,Percent,,Spaces per Unit,2.0,Spaces per Unit,No,No,,Stories,35.0,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,2.0,Acres per 4+-Family,2.0,Units per Acre,50.0,Feet,30.0,Feet,50.0,Feet,,Percent,7.0,Percent,,Spaces per Unit,2.0,Spaces per Unit,No,No,,Stories,35.0,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,2.0,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,500.0,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,2.0,Acres per PRD,,,,,,"This district includes the light soil land areas immediately adjacent to the village area that are served by existing town roads. The purpose of this district is to guide higher density development to locate close to existing village services and, therefore, to avoid the widespread construction of new roads, and to use soils best suited to development.",f,f,2.0,2.5,50.0,30.0,50.0,,7.0,,2.0,f,f,,35.0,,,,,0.5,200.0,200.0,200.0,200.0,200.0,f,,t,t,
Historic,Completed,2023-08-24,Published,2024-02-02,Vermont,Addison County,Ripton,,Historic District,2023-08-18,,Yes,No,Yes,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,The Historic District contains structures of historic and architectural significance to Ripton. The purpose of the district is to preserve and enhance these structures along with landscape characteristics. The Historic District overlays all of the NC-1 district and portions of the HDR-2 district.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-5,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Ripton,,Institutional,2023-08-18,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,5.0,Acres,100.0,Feet,30.0,Feet,50.0,Feet,,Percent,3.0,Percent,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,5.0,Acres per 2-Family,0.4,Units per Acre,100.0,Feet,30.0,Feet,50.0,Feet,,Percent,3.0,Percent,,Spaces per Unit,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,5.0,Acres per 3-Family,0.6,Units per Acre,100.0,Feet,30.0,Feet,50.0,Feet,,Percent,3.0,Percent,,Spaces per Unit,2.0,Spaces per Unit,No,No,,Stories,35.0,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,5.0,Acres per 4+-Family,0.8,Units per Acre,100.0,Feet,30.0,Feet,50.0,Feet,,Percent,3.0,Percent,,Spaces per Unit,2.0,Spaces per Unit,No,No,,Stories,35.0,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,5.0,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,500.0,Square Feet,1.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Land primarily owned by Middlebury College.  Mostly the Bread Loaf campus. Land containing public and private institutional buildings, structures and contiguous open spaces are included in this district. Land uses within this district should be limited to educational, recreational, municipal, agricultural and forest uses.",f,f,5.0,1.0,100.0,30.0,50.0,,3.0,,2.0,f,f,,35.0,,,,,0.2,250.0,250.0,250.0,250.0,250.0,f,,t,t,
LDR-10,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Ripton,,Low Density Residential,2023-08-17,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,10.0,Acres,50.0,Feet,30.0,Feet,50.0,Feet,,,2.0,Percent,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,10.0,Acres per 2-Family,0.2,Units per Acre,50.0,Feet,30.0,Feet,50.0,Feet,,,2.0,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,10.0,Acres per Development,0.2,Units per Acre,2.0,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,10.0,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,500.0,Square Feet,1.0,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"This district is designated along active town highways outside the village area where soil conditions are not well suited for higher density under the standards of the Department of Environmental Conservation Environmental Protection Rules relating to subdivisions. The purpose of this district is to allow the opportunity to develop land on existing roadways.

ADUs - cannot exceed 30 percent of the total habitable floor area of the single family dwelling, or 500 square feet of living area, whichever is larger.",f,f,,,,,,,,,,,,,,,,,,0.1,400.0,400.0,,,,f,,f,f,
MDR-5,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Ripton,,Medium Density Residential,2023-08-18,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,5.0,Acres,50.0,Feet,30.0,Feet,50.0,Feet,,Percent,3.0,Percent,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,5.0,Acres per 2-Family,0.4,Units per Acre,50.0,Feet,30.0,Feet,50.0,Feet,,Percent,3.0,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,5.0,Acres per 3-Family,0.6,Units per Acre,50.0,Feet,30.0,Feet,50.0,Feet,,Percent,3.0,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,Stories,35.0,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,5.0,Acres per 4+-Family,0.8,Units per Acre,50.0,Feet,30.0,Feet,50.0,Feet,,Percent,3.0,Percent,,,2.0,Spaces per Unit,No,No,,Stories,35.0,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,5.0,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,500.0,Square Feet,1.0,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"This district occurs where substantial areas of light soil suitable for development occur along active town roads outside the village area. The purposes of this district are to encourage development to use existing town highways, especially where these highways form efficient loops, and to use soils most suited to development.",f,f,5.0,1.0,50.0,30.0,50.0,,3.0,,2.0,f,f,,35.0,,,,,0.2,400.0,400.0,400.0,400.0,400.0,f,,t,t,
NC-1,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Ripton,,Neighborhood Commercial,2023-08-18,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,1.0,Acres,30.0,Feet,30.0,Feet,30.0,Feet,,Percent,25.0,Percent,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,1.0,Acres per 2-Family,2.0,Units per Acre,30.0,Feet,30.0,Feet,30.0,Feet,,Percent,25.0,Percent,,Spaces per Unit,2.0,Spaces per Unit,,Stories,35.0,Feet,,Ratio,,Square Feet,No,No,1.0,Acres per 3-Family,3.0,Units per Acre,30.0,Feet,30.0,Feet,30.0,Feet,,Percent,25.0,Percent,,Spaces per Unit,2.0,Spaces per Unit,No,No,,Stories,35.0,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,1.0,Acres per 4+-Family,4.0,Units per Acre,30.0,Feet,30.0,Feet,30.0,Feet,,Percent,25.0,Percent,,Spaces per Unit,2.0,Spaces per Unit,No,No,,Stories,35.0,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,1.0,Acres,2.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,500.0,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,1.0,Acres per PRD,,Units per Acre,,Units per PRD,,"This district is in the village area along Vermont Route 125 where there is a mixture of existing, small-scale residential, public and commercial uses. The intent of this district is to continue these uses and permit modest expansions of these uses or similar new developments along the village's main street. Light soils suitable for development are well distributed in the district.",f,f,1.0,5.0,30.0,30.0,30.0,,25.0,,2.0,f,f,,35.0,,,,,1.0,100.0,100.0,100.0,100.0,100.0,f,,t,t,
RARE,Completed,2023-08-24,Published,2024-02-02,Vermont,Addison County,Ripton,,Rare Species Overlay Zone,2023-08-18,,Yes,No,Yes,Nonresidential,No,No,Overlay,Overlay,Overlay,Overlay,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,,,No,,,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"This overlay zone protects important areas of habitat known to be occupied by Appalachian Jacob’s ladder, a rare and threatened plant species in Vermont, from development under the authority of 24 V.S.A §4414(2). The overlay zone contains a unique concentration of sites of this species. The Rare Plant Conservation Overlay Zone contains 30 locations where Appalachian Jacob’s ladder occurs or has occurred since 2000. The perimeter of this overlay zone (see Map 1) includes all sites presently known in this Appalachian Jacob’s ladder population. It includes a 50-foot buffer around the outer margin of each site.

Proposed development within this overlay zone will be subject to conditional use review by the Ripton Zoning Board of Adjustment. Additionally, several activities will be prohibited in portions of the overlay zone within known Appalachian Jacob’s Ladder sites or their 50-foot buffers without specific written authorization of the VT Agency of Natural Resources (ANR) or the U.S. Forest Service. A botanist or someone with demonstrated expertise in plant identification designated by ANR on private land, or by a botanist designated by the U.S. Forest Service on the Green Mountain National Forest shall confirm presence or absence of Appalachian Jacob’s Ladder. Prohibited activities in areas occupied by Appalachian Jacob’s Ladder include development, including drainage ditching or piping, excavation, construction of roads, logging roads, driveways, or trails, demolition or construction of structures, heavy equipment use, or use of a site or portion of a site as part of a building envelope for subdivision or PUD purposes.",f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,
