ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD_MIN_LOT,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
AO,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Vergennes,,Archaeological Overlay District,2023-08-21,,Yes,No,Yes,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,The purpose of this overlay district is to encourage public access to archeological remains in Vergennes by allowing a municipal designee observational access to development sites prior to and during construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBD,Completed,2023-08-25,Published,2024-02-02,Vermont,Addison County,Vergennes,,Central Business District,2023-08-21,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,PUDs in this district are not allowed to include residential units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,
COM,Completed,2023-08-21,Published,2024-02-02,Vermont,Addison County,Vergennes,,Commercial District,2023-08-21,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,PUDs in this district are not allowed to include residential units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,
FHO,Completed,2023-08-21,Published,2024-02-02,Vermont,Addison County,Vergennes,,Flood Hazard Overlay District,2023-08-21,,Yes,No,Yes,Nonresidential,No,No,Overlay,Overlay,Overlay,Overlay,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Includes areas denoted as flood hazard areas on FEMA FIRM maps from Sept. 1986 or that are within 100ft from the center of any stream/reach of stream not mapped by FEMA but noted as a special flood hazard area on the city's Official Flood Hazard Area Map. New development is permitted under conditional use review, provided that it meets the conditions and flood safety specifications of Article XVI in the town zoning regulations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDR,Completed,2023-08-21,Published,2024-02-02,Vermont,Addison County,Vergennes,,High Density Residential District,2023-08-21,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,0.2,Acres,5,Feet,12 feet total (0ft minimum on side),Contextual,6,Feet,,,100,Percent,1.0,Spaces per Unit,,,60.0,Feet,,,,,No,No,0.34,Acres per 2-Family,5.88,Units per Acre,5,Feet,12 ft total (0 ft minimum on side),Contextual,6,Feet,,,100,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,60.0,Feet,,,,,No,No,0.48,Acres per 3-Family,6.25,Units per Acre,5,Feet,12 ft total (0 ft minimum on side),Contextual,20,Feet,,,100,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,60.0,Feet,,,,,,,No,No,0.64,Acres per 4+-Family,6.25,Units per Acre,5,Feet,12 ft total (0 ft minimum on side),Contextual,20,Feet,,,100,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,60.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,No,No,Yes,No,0.2,Acres,1.0,Parking Spaces Add'l to Main Unit,No,40% if attached; 60% if detached,Contextual,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Minimum lot depth 100 ft for single-unit residences; 150ft for 2+ unit residences. Maximum accessory dwelling unit height 24 ft. A variety of density bonuses are available for PUDs that have applicable units (affordable or workforce housing, housing for the elderly or people with disabilities) or that meet certain environmental standards (LEED certification or alternative energy efficiency standard). Bonuses are scaled based on the extent to which these initiatives are met. Bonuses may not be combined.",f,f,0.8,6.25,5.0,12.0,20.0,,100.0,1.0,1.0,f,f,,60.0,,,,,5.0,60.0,60.0,90.0,90.0,90.0,f,,t,t,
HN,Completed,2023-08-21,Published,2024-02-02,Vermont,Addison County,Vergennes,,Historic Neighborhood District,2023-08-21,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,0.17,Acres,,,5,Feet,5,Feet,,,100,Percent,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.17,Acres per 2-Family,11.76,Units per Acre,,,5,Feet,5,Feet,,,100,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.17,Acres per 3-Family,17.64,Units per Acre,,,5,Feet,5,Feet,,,100,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,0.23,Acres per 4+-Family,17.4,Units per Acre,,,5,Feet,5,Feet,,,100,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,No,No,Yes,No,0.17,Acres,1.0,Parking Spaces Add'l to Main Unit,No,40% if attached; 60% if detached,Contextual,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Minimum lot depth 99ft. Maximum accessory dwelling unit height 24ft. A variety of density bonuses are available for PUDs that have applicable units (affordable or workforce housing, housing for the elderly or people with disabilities) or that meet certain environmental standards (LEED certification or alternative energy efficiency standard). Bonuses are scaled based on the extent to which these initiatives are met. Bonuses may not be combined. Development and renovations must be consistent with the general scale and character of the neighborhood.",f,f,0.29,17.2,,5.0,5.0,,100.0,1.0,1.0,f,f,,35.0,,,,,5.88,60.0,60.0,60.0,60.0,60.0,t,3.0,t,t,
IND,Completed,2023-08-21,Published,2024-02-02,Vermont,Addison County,Vergennes,,Industrial District,2023-08-21,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,PUDs in this district may not include residential units.,,,,,,,,,,,,,,,,,,,,,,,,,,f,,t,t,
LDR,Completed,2023-08-21,Published,2024-02-02,Vermont,Addison County,Vergennes,,Low Density Residential District,2023-08-21,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.46,Acres,20,Feet,20,Feet,20,Feet,,,20,Percent,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,No,No,Yes,No,0.46,Acres,1.0,Parking Spaces Add'l to Main Unit,No,40% if attached; 60% if detached,Contextual,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Maximum residential density 0.5 units/acre. Minimum lot depth 125ft. Maximum accessory dwelling unit height 24ft. PUD development required, unless residential use is adjunct to agricultural use. A variety of density bonuses are available for PUDs that have applicable units (affordable or workforce housing, housing for the elderly or people with disabilities) or that meet certain environmental standards (LEED certification or alternative energy efficiency standard). Bonuses are scaled based on the extent to which these initiatives are met. Bonuses may not be combined.",,,,,,,,,,,,,,,,,,,,0.5,100.0,,,,,t,,t,t,
MDR,Completed,2023-08-21,Published,2024-02-02,Vermont,Addison County,Vergennes,,Medium Density Residential District,2023-08-21,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,0.34,Acres,30,Feet,15,Feet,15,Feet,,,25,Percent,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.57,Acres per 2-Family,3.58,Units per Acre,30,Feet,15,Feet,15,Feet,,,25,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.8,Acres per 3-Family,0.75,Units per Acre,30,Feet,25,Feet,25,Feet,,,100,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,No,No,1,Acres per 4+-Family,0.25,Units per Acre,30,Feet,25,Feet,25,Feet,,,25,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,No,No,No,No,0.34,Acres,1.0,Parking Spaces Add'l to Main Unit,No,40% if attached; 60% if detached,Contextual,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Minimum lot depth 100 ft for 1-2 unit residences, 150ft for 3-4 unit residences. Maximum accessory dwelling unit height 24 ft. A variety of density bonuses are available for PUDs that have applicable units (affordable or workforce housing, housing for the elderly or people with disabilities) or that meet certain environmental standards (LEED certification or alternative energy efficiency standard). Bonuses are scaled based on the extent to which these initiatives are met. Bonuses may not be combined.",f,f,1.26,3.96,30.0,25.0,25.0,,25.0,1.0,1.0,f,f,,35.0,,,,,2.9,100.0,100.0,100.0,100.0,100.0,f,,t,t,
NG,Completed,2023-08-21,Published,2024-02-02,Vermont,Addison County,Vergennes,,Northern Gateway District,2023-08-21,,Yes,No,No,Mixed with Residential,No,No,Prohibited,Prohibited,Public Hearing,Public Hearing,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,0.48,Acres per 3-Family,6.25,Units per Acre,25,Feet,25,Feet,25,Feet,,,80,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,60.0,Feet,,,,,,,No,No,0.64,Acres per 4+-Family,6.25,Units per Acre,25,Feet,25,Feet,25,Feet,,,80,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,60.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,"Multifamily homes are permitted under conditional use review as part of a PUD only. Minimum lot depth 150ft. Minimum lot area 15,000 sf; maximum residential density 1 unit per 7,000 sf. A variety of density bonuses are available for PUDs that have applicable units (affordable or workforce housing, housing for the elderly or people with disabilities) or that meet certain environmental standards (LEED certification or alternative energy efficiency standard). Bonuses are scaled based on the extent to which these initiatives are met. Bonuses may not be combined.",f,f,0.8,6.25,25.0,25.0,25.0,,80.0,1.0,1.0,f,f,,60.0,,,,,6.25,,,100.0,100.0,100.0,t,,t,t,
