ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,Most Common Nonresidential Use Permitted,AFF_DIST,ELD_DIST,Internal Notes,Visible Atlas Notes,1FDP,1-Family Min. Lot Size,1-Family Min. Lot Size Units,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1-Family Max Lot Coverage - Buildings,1-Family Max Lot Coverage - Buildings Units,1-Family Max Lot Coverage - Buildings & Impervious Surface,1-Family Max Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. Parking,1-Family Min. Parking Units,1-Family Max Stories,1-Family Max Stories Units,1-Family Max Height,1-Family Max Height Units,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2FDP,2-Family Affordable Only,2-Family Elderly Only,2-Family Min Lot Size,2-Family Min Lot Size Units,2-Family Max Density,2-Family Max Density Units,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2-Family Max Lot Coverage Buildings,2-Family Max Lot Coverage Buildings Units,2-Family Max Lot Coverage Buildings & Impervious,2-Family Max Lot Coverage Buildings & Impervious Units,2-Family Min Parking Per Studio/1BR,2-Family Min Parking Per Studio/1BR Units,2-Family Min Parking Per 2+ BR,2-Family Min Parking Per 2+ BR Units,2-Family Max Stories,2-Family Max Stories Units,2-Family Max Height,2-Family Max Height Units,2F_FTA,2F_FTA_UNITS,2-Family Min Unit Size,2-Family Min Unit Size Units,3FDP,3-Family Affordable Only,3-Family Elderly Only,3-Family Min Lot Size,3-Family Min Lot Size Units,3-Family Max Density,3-Family Max Density Units,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3-Family Max Lot Coverage Buildings,3-Family Max Lot Coverage Buildings Units,3-Family Max Lot Coverage Buildings & Impervious,3-Family Max Lot Coverage Buildings & Impervious Units,3-Family Min Parking Per Studio/1BR,3-Family Min Parking Per Studio/1BR Units,3-Family Min Parking Per 2+ BR,3-Family Min Parking Per 2+ BR Units,3-Family Sewer/Water Required,3-Family Public Transit Required,3-Family Max Stories,3-Family Max Stories Units,3-Family Max Height,3-Family Max Height Units,3F_FTA,3F_FTA_UNITS,3-Family Min Unit Size,3-Family Min Unit Size Units,3-Family Max Bedrooms,3-Family Max Bedrooms Units,4FDP,4+-Family Affordable Only,4+-Family Elderly Only,4+-Family Min Lot Size,4+-Family Min Lot Size Units,4+-Family Max Density,4+-Family Max Density Units,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4+-Family Max Lot Coverage Buildings,4+-Family Max Lot Coverage Buildings Units,4+-Family Max Lot Coverage Buildings & Impervious,4+-Family Max Lot Coverage Buildings & Impervious Units,4+-Family Min Parking Per Studio/1BR,4+-Family Min Parking Per Studio/1BR Units,4+-Family Min Parking Per 2+ BR,4+-Family Min Parking Per 2+ BR Units,4+-Family Sewer/Water Required,4+-Family Public Transit Required,4+-Family Max Stories,4+-Family Max Stories Units,4+-Family Max Height,4+-Family Max Height Units,4F_FTA,4F_FTA_UNITS,4+-Family Min Unit Size,4+-Family Min Unit Size Units,4+-Family Max Bedrooms,4+-Family Max Bedrooms Units,4+-Family Max Units per Building,4+-Family Max Units per Building Units,Affordable Housing Treatment,Affordable Housing Definition,Affordable Elderly Only,Affordable Min Lot Size,Affordable Min Lot Size Units,Affordable Max Density,Affordable Max Density Units,Affordable Min Parking Per Studio/1BR,Affordable Min Parking Per Studio/1BR Units,Affordable Min Parking Per 2+ BR,Affordable Min Parking Per 2+ BR Units,Affordable Sewer/Water Required,Affordable Public Transit Required,Affordable Min Unit Size,Affordable Min Unit Size Units,Affordable Max Bedrooms,Affordable Max Bedrooms Units,Affordable Max Units per Building,Affordable Max Units per Building Units,ADU Treatment,ADU Employee/Family Required,ADU Renter Prohibited,ADU_OWNER_REQD,ADU Elderly Only,ADU Min Lot Size,ADU Min Lot Size Units,ADU Min Parking,ADU Min Parking Units,ADU Only Primary Structure,ADU Max Size (% of Main),ADU Max Size (% of Main) Units,ADU Max Size (sq ft),ADU Max Size (sq ft) Units,ADU Max Bedrooms,ADU Max Bedrooms Units,PRD Treatment,PRD Mobile or Manufactured,PRD Min Development Size,PRD Min Development Size Units,PRD Max Density,PRD Max Density Units,PRD Max Units,PRD Max Units Units,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
DRO,Completed,2024-05-09,Published,2024-05-10,Vermont,Bennington County,Dorset,,Design Review Overlay District,2024-04-17,,Yes,No,Yes,Overlay not Affecting Use,,No,No,,,Overlay,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Overlay,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Public Hearing,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Public Hearing,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHO,Completed,2024-05-10,Published,2024-05-10,Vermont,Bennington County,Dorset,,Flood Hazard Overlay District,2024-04-17,,Yes,No,Yes,Mixed with Residential,Mixed - Specified Commercial Uses,No,No,,Flood Hazard Overlay District is split between Floodway and Flood Fringe. New residential development is prohibited in the Floodway. New residential development within the Village & Business zones is permitted in the Flood Fringe with additional stipulations. ,Overlay,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Overlay,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Overlay,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Overlay,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,Completed,2024-05-03,Published,2024-05-10,Vermont,Bennington County,Dorset,,General Business District,2024-04-17,,Yes,No,No,Nonresidential,Mixed - Industrial-Commercial,No,No,,,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,f,,f,,
RMU,Completed,2024-05-03,Published,2024-05-10,Vermont,Bennington County,Dorset,,Rural Mixed Use District,2024-04-17,,Yes,No,No,Mixed with Residential,Agricultural-Industrial,No,No,,,Allowed/Conditional,2.0,Acres,40.0,Feet,30.0,Feet,30.0,Feet,50.0,Percent,50.0,Percent,1.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,2.0,Acres per 2-Family,1.0,Units per Acre,40.0,Feet,30.0,Feet,30.0,Feet,50.0,Percent,50.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,3.0,Acres per 3-Family,1.0,Units per Acre,40.0,Feet,30.0,Feet,30.0,Feet,50.0,Percent,50.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,Public Hearing,No,No,4.0,Acres per 4+-Family,1.0,Units per Acre,40.0,Feet,30.0,Feet,30.0,Feet,50.0,Percent,50.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Public Hearing,Yes,3.0,Acres per PRD,1.0,Units per Acre,,,f,f,5.0,1.0,40.0,30.0,30.0,50.0,50.0,1.0,1.0,f,f,,35.0,,,,,1.0,180.0,180.0,180.0,180.0,180.0,t,,t,t,
RR,Completed,2024-05-03,Published,2024-05-10,Vermont,Bennington County,Dorset,,Rural Residential District,2024-04-17,,Yes,No,No,Primarily Residential,,No,No,,,Allowed/Conditional,2.75,Acres,40.0,Feet,30.0,Feet,30.0,Feet,10.0,Percent,10.0,Percent,1.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,3.0,Acres per 2-Family,0.67,Units per Acre,40.0,Feet,30.0,Feet,30.0,Feet,10.0,Percent,10.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Public Hearing,Yes,3.0,Acres per PRD,0.67,Units per Acre,,,,,,,,,,,,,,,,,,,,,,0.67,240.0,240.0,,,,t,,t,t,
RRP,Completed,2024-05-03,Published,2024-05-10,Vermont,Bennington County,Dorset,,Rural Resource Protection District,2024-04-17,,Yes,No,No,Mixed with Residential,Cultural/Entertainment/Tourist,No,No,,,Allowed/Conditional,30.0,Acres,50.0,Feet,50.0,Feet,50.0,Feet,1.0,Percent,1.0,Percent,1.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,30.0,Acres per 2-Family,0.1,Units per Acre,50.0,Feet,50.0,Feet,50.0,Feet,1.0,Percent,1.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Public Hearing,Yes,3.0,Acres per PRD,0.1,Units per Acre,,,,,,,,,,,,,,,,,,,,,,0.1,75.0,75.0,,,,t,,t,t,
SWO,Completed,2024-05-10,Published,2024-05-10,Vermont,Bennington County,Dorset,,Source Water Protection Overlay District,2024-04-17,,Yes,No,Yes,Overlay not Affecting Use,,No,No,,,Overlay,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Overlay,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Overlay,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Overlay,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VB,Completed,2024-05-03,Published,2024-05-10,Vermont,Bennington County,Dorset,,Village Business District,2024-04-17,,Yes,No,No,Mixed with Residential,Retail/Service,No,No,,,Allowed/Conditional,0.23,Acres,5.0,Feet,10.0,Feet,10.0,Feet,60.0,Percent,60.0,Percent,1.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,0.23,Acres per 2-Family,8.0,Units per Acre,5.0,Feet,10.0,Feet,10.0,Feet,60.0,Percent,60.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,0.34,Acres per 3-Family,8.0,Units per Acre,5.0,Feet,10.0,Feet,10.0,Feet,60.0,Percent,60.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,Public Hearing,No,No,0.46,Acres per 4+-Family,8.0,Units per Acre,5.0,Feet,10.0,Feet,10.0,Feet,60.0,Percent,60.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Public Hearing,Yes,3.0,Acres per PRD,8.0,Units per Acre,,,f,f,0.57,8.0,5.0,10.0,10.0,60.0,60.0,1.0,1.0,f,f,,35.0,,,,,8.0,75.0,75.0,75.0,75.0,75.0,f,,t,t,
VMU,Completed,2024-05-03,Published,2024-05-10,Vermont,Bennington County,Dorset,,Village Mixed Use District,2024-04-17,,Yes,No,No,Mixed with Residential,Retail/Service,No,No,,,Allowed/Conditional,0.46,Acres,10.0,Feet,15.0,Feet,15.0,Feet,60.0,Percent,60.0,Percent,1.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,0.46,Acres per 2-Family,8.0,Units per Acre,10.0,Feet,15.0,Feet,15.0,Feet,60.0,Percent,60.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,0.46,Acres per 3-Family,8.0,Units per Acre,10.0,Feet,15.0,Feet,15.0,Feet,60.0,Percent,60.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,Public Hearing,No,No,0.46,Acres per 4+-Family,8.0,Units per Acre,10.0,Feet,15.0,Feet,15.0,Feet,60.0,Percent,60.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Public Hearing,Yes,3.0,Acres per PRD,8.0,Units per Acre,,,f,f,0.57,8.0,10.0,15.0,15.0,60.0,60.0,1.0,1.0,f,f,,35.0,,,,,8.0,90.0,90.0,90.0,90.0,90.0,f,,t,t,
VR,Completed,2024-05-03,Published,2024-05-10,Vermont,Bennington County,Dorset,,Village Residential District,2024-04-17,,Yes,No,No,Primarily Residential,,No,No,,,Allowed/Conditional,0.46,Acres,20.0,Feet,15.0,Feet,15.0,Feet,50.0,Percent,50.0,Percent,1.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,0.46,Acres per 2-Family,4.0,Units per Acre,20.0,Feet,15.0,Feet,15.0,Feet,50.0,Percent,50.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,0.69,Acres per 3-Family,4.0,Units per Acre,20.0,Feet,15.0,Feet,15.0,Feet,50.0,Percent,50.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,Public Hearing,No,No,0.92,Acres per 4+-Family,4.0,Units per Acre,20.0,Feet,15.0,Feet,15.0,Feet,50.0,Percent,50.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Public Hearing,Yes,3.0,Acres per PRD,4.0,Units per Acre,,,f,f,1.15,4.0,20.0,15.0,15.0,50.0,50.0,1.0,1.0,f,f,,35.0,,,,,4.0,90.0,90.0,90.0,90.0,90.0,f,,t,t,
