ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,Most Common Nonresidential Use Permitted,AFF_DIST,ELD_DIST,Internal Notes,Visible Atlas Notes,1FDP,1-Family Min. Lot Size,1-Family Min. Lot Size Units,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1-Family Max Lot Coverage - Buildings,1-Family Max Lot Coverage - Buildings Units,1-Family Max Lot Coverage - Buildings & Impervious Surface,1-Family Max Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. Parking,1-Family Min. Parking Units,1-Family Max Stories,1-Family Max Stories Units,1-Family Max Height,1-Family Max Height Units,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2FDP,2-Family Affordable Only,2-Family Elderly Only,2-Family Min Lot Size,2-Family Min Lot Size Units,2-Family Max Density,2-Family Max Density Units,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2-Family Max Lot Coverage Buildings,2-Family Max Lot Coverage Buildings Units,2-Family Max Lot Coverage Buildings & Impervious,2-Family Max Lot Coverage Buildings & Impervious Units,2-Family Min Parking Per Studio/1BR,2-Family Min Parking Per Studio/1BR Units,2-Family Min Parking Per 2+ BR,2-Family Min Parking Per 2+ BR Units,2-Family Max Stories,2-Family Max Stories Units,2-Family Max Height,2-Family Max Height Units,2F_FTA,2F_FTA_UNITS,2-Family Min Unit Size,2-Family Min Unit Size Units,3FDP,3-Family Affordable Only,3-Family Elderly Only,3-Family Min Lot Size,3-Family Min Lot Size Units,3-Family Max Density,3-Family Max Density Units,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3-Family Max Lot Coverage Buildings,3-Family Max Lot Coverage Buildings Units,3-Family Max Lot Coverage Buildings & Impervious,3-Family Max Lot Coverage Buildings & Impervious Units,3-Family Min Parking Per Studio/1BR,3-Family Min Parking Per Studio/1BR Units,3-Family Min Parking Per 2+ BR,3-Family Min Parking Per 2+ BR Units,3-Family Sewer/Water Required,3-Family Public Transit Required,3-Family Max Stories,3-Family Max Stories Units,3-Family Max Height,3-Family Max Height Units,3F_FTA,3F_FTA_UNITS,3-Family Min Unit Size,3-Family Min Unit Size Units,3-Family Max Bedrooms,3-Family Max Bedrooms Units,4FDP,4+-Family Affordable Only,4+-Family Elderly Only,4+-Family Min Lot Size,4+-Family Min Lot Size Units,4+-Family Max Density,4+-Family Max Density Units,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4+-Family Max Lot Coverage Buildings,4+-Family Max Lot Coverage Buildings Units,4+-Family Max Lot Coverage Buildings & Impervious,4+-Family Max Lot Coverage Buildings & Impervious Units,4+-Family Min Parking Per Studio/1BR,4+-Family Min Parking Per Studio/1BR Units,4+-Family Min Parking Per 2+ BR,4+-Family Min Parking Per 2+ BR Units,4+-Family Sewer/Water Required,4+-Family Public Transit Required,4+-Family Max Stories,4+-Family Max Stories Units,4+-Family Max Height,4+-Family Max Height Units,4F_FTA,4F_FTA_UNITS,4+-Family Min Unit Size,4+-Family Min Unit Size Units,4+-Family Max Bedrooms,4+-Family Max Bedrooms Units,4+-Family Max Units per Building,4+-Family Max Units per Building Units,Affordable Housing Treatment,Affordable Housing Definition,Affordable Elderly Only,Affordable Min Lot Size,Affordable Min Lot Size Units,Affordable Max Density,Affordable Max Density Units,Affordable Min Parking Per Studio/1BR,Affordable Min Parking Per Studio/1BR Units,Affordable Min Parking Per 2+ BR,Affordable Min Parking Per 2+ BR Units,Affordable Sewer/Water Required,Affordable Public Transit Required,Affordable Min Unit Size,Affordable Min Unit Size Units,Affordable Max Bedrooms,Affordable Max Bedrooms Units,Affordable Max Units per Building,Affordable Max Units per Building Units,ADU Treatment,ADU Employee/Family Required,ADU Renter Prohibited,ADU_OWNER_REQD,ADU Elderly Only,ADU Min Lot Size,ADU Min Lot Size Units,ADU Min Parking,ADU Min Parking Units,ADU Only Primary Structure,ADU Max Size (% of Main),ADU Max Size (% of Main) Units,ADU Max Size (sq ft),ADU Max Size (sq ft) Units,ADU Max Bedrooms,ADU Max Bedrooms Units,PRD Treatment,PRD Mobile or Manufactured,PRD Min Development Size,PRD Min Development Size Units,PRD Max Density,PRD Max Density Units,PRD Max Units,PRD Max Units Units,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
APO,Completed,2024-04-16,Published,2024-04-24,Vermont,Bennington County,Manchester,,Aquifer Protection Overlay District,2023-09-05,,Yes,No,Yes,Overlay not Affecting Use,,No,No,,"APO prohibits certain non-residential uses which may contaminate groundwater (e.g. fueling station, carwash, landfill, dry cleaning facility). APO also prohibits any development which makes over 50% of the lot area impervious and requires additional drainage calculations for developments which make over 20% of the lot area impervious. ",Overlay,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Overlay,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Overlay,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Overlay,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DN,Completed,2024-04-16,Published,2024-04-24,Vermont,Bennington County,Manchester,,Downtown District,2023-09-05,,Yes,No,No,Mixed with Residential,Mixed - Specified Commercial Uses,No,No,,,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Allowed/Conditional,No,No,0.07,Acres per 3-Family,,,,,,,10 ft if abutting residential or mixed use district,Contextual,100.0,Percent,100.0,Percent,1.0,Spaces per Unit,1,Spaces per Unit,Yes,No,,,40,Feet,,,150sf (studio); 220sf (1br); 220sf + 70sf per additional br (>1br) ,Contextual,,,Allowed/Conditional,No,No,0.07,Acres per 4+-Family,,,,,,,Zero ft or 10 ft if abutting residential or mixed use district,Contextual,100.0,Percent,100.0,Percent,1.0,Spaces per Unit,1,Spaces per Unit,Yes,No,,,40,Feet,,,150sf (studio); 220sf (1br); 220sf + 70sf per additional br (>1br) ,Contextual,,,,,Allowed/Conditional,,No,0.07,Acres per Development,,,1.0,Spaces per Unit,0.98,Spaces per Unit,Yes,No,150sf (studio); 220sf (1br); 220sf + 70sf per additional br (>1br) ,Contextual,,,,,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Allowed/Conditional,No,0.07,Acres per PRD,,,,,f,f,0.07,,,,,100.0,100.0,1.0,1.0,t,f,,40.0,,150.0,,,,,,50.0,50.0,50.0,f,,t,f,
DRO,Completed,2024-04-23,Published,2024-04-24,Vermont,Bennington County,Manchester,,Design Review Overlay District,2023-09-05,,Yes,No,Yes,Overlay not Affecting Use,,No,No,,,Overlay,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Overlay,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Public Hearing,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Public Hearing,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Completed,2024-04-23,Published,2024-04-24,Vermont,Bennington County,Manchester,,Forest Conservation District,2023-09-05,,Yes,No,No,Nonresidential,Cultural/Entertainment/Tourist,No,No,,,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHO,Completed,2024-04-23,Published,2024-04-24,Vermont,Bennington County,Manchester,,Flood Hazard Overlay District,2023-09-05,,Yes,No,Yes,Nonresidential,Agricultural-Industrial,No,No,,,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU1,Completed,2024-04-23,Published,2024-04-24,Vermont,Bennington County,Manchester,,Mixed Use 1 District,2023-09-05,,Yes,No,No,Mixed with Residential,Mixed - Specified Commercial Uses,No,No,,,Allowed/Conditional,0.09,Acres,10.0,Feet,10.0,Feet,10 ft or 20 ft if abutting residential use or district,Contextual,,,85.0,Percent,1 per unit (1br); 1.5 per unit (2br); 2 per unit (general residential),Contextual,,,30,Feet,,,150sf (studio); 220sf (1br) + 70sf per additional br,Contextual,Allowed/Conditional,No,No,0.18,Acres per 2-Family,10,Units per Acre,10.0,Feet,10.0,Feet,10 ft or 20 ft if abutting residential use or district,Contextual,,,85.0,Percent,1.0,Spaces per Unit,1.5 per unit (2br); 2 per unit (general residential),Contextual,,,30,Feet,,,150sf (studio); 220sf (1 br) + 70sf per additional br,Contextual,Allowed/Conditional,No,No,0.28,Acres per 3-Family,10,Units per Acre,10.0,Feet,10.0,Feet,10 ft or 20 ft if abutting residential use or district,Contextual,,,85.0,Percent,1.0,Spaces per Unit,1.5 per unit (2br); 2 per unit (general residential),Contextual,Yes,No,,,30,Feet,,,150sf (studio); 220sf (1br); 220sf + 70sf per additional br (>1br) ,Contextual,,,Allowed/Conditional,No,No,0.37,Acres per 4+-Family,10,Units per Acre,10.0,Feet,10.0,Feet,10 ft or 20 ft if abutting residential district,Contextual,,,85.0,Percent,1.0,Spaces per Unit,1.5 per unit (2br); 2 per unit (general residential),Contextual,Yes,No,,,30,Feet,,,150sf (studio); 220sf (1br); 220sf + 70sf per additional br (>1br) ,Contextual,,,,,Allowed/Conditional,"Affordable housing shall include either of the following:
(1) Housing that is owned by inhabitants whose gross annual household income does not exceed 80% of the county median income, as defined by the United States Department of Housing and Urban Development, and the total annual cost of the housing, including principal, interest, taxes and insurance, is not more than 30% of the household’s gross annual income; or
(2) Housing that is rented by inhabitants whose gross annual household income does not exceed 65% of the county median income, as defined by the United States Department of Housing and Urban Development, and the total annual cost of the housing, including rent, utilities, and condominium association fees, is not more than 30% of the household’s gross annual income.",No,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,150sf (studio); 220sf (1br); 220sf + 70sf per additional br (>1br) ,Contextual,,,4 units per building (for plots outside the sewer area); no max otherwise,Contextual,Allowed/Conditional,No,No,Yes,No,0.09,Acres,,,No,30.0,Percent of Main Unit,,,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,,,,,,f,f,0.46,10.0,10.0,10.0,10.0,85.0,85.0,1.0,1.5,t,f,,30.0,,150.0,,,10.0,65.0,65.0,65.0,65.0,65.0,f,,t,f,
MU2,Completed,2024-04-23,Published,2024-04-24,Vermont,Bennington County,Manchester,,Mixed Use 2 District,2023-09-05,,Yes,No,No,Mixed with Residential,Mixed - Industrial-Commercial,No,No,,,Allowed/Conditional,0.28,Acres,15.0,Feet,20.0,Feet,10 ft or 20 ft if abutting residential use or district,Contextual,40.0,Percent,75.0,Percent,1 per unit (1br); 1.5 per unit (2br); 2 per unit (general residential),Contextual,,,30 ft or 40 ft w/ 75% under-building parking,Contextual,,,150sf (studio); 220sf (1br) + 70sf per additional br,Contextual,Allowed/Conditional,No,No,0.28,Acres per 2-Family,10; 50% bonus for 75% under-building parking,Contextual,15.0,Feet,20.0,Feet,10 ft or 20 ft if abutting residential use or district,Contextual,40.0,Percent,75.0,Percent,1.0,Spaces per Unit,1.5 per unit (2br); 2 per unit (general residential),Contextual,,,30 ft or 40 ft w/ 75% under-building parking,Contextual,,,150sf (studio); 220sf (1 br) + 70sf per additional br,Contextual,Allowed/Conditional,No,No,0.28,Acres per 3-Family,10; 50% bonus for 75% under-building parking,Contextual,15.0,Feet,20.0,Feet,10 ft or 20 ft if abutting residential use or district,Contextual,40.0,Percent,75.0,Percent,1.0,Spaces per Unit,1.5 per unit (2br); 2 per unit (general residential),Contextual,No,No,,,30 ft or 40 ft w/ 75% under-building parking,Contextual,,,150sf (studio); 220sf (1br); 220sf + 70sf per additional br (>1br) ,Contextual,,,Allowed/Conditional,No,No,0.37,Acres per 4+-Family,10; 50% bonus for 75% under-building parking,Contextual,15.0,Feet,20.0,Feet,10 ft or 20 ft if abutting residential use or district,Contextual,40.0,Percent,75.0,Percent,1.0,Spaces per Unit,1.5 per unit (2br); 2 per unit (general residential),Contextual,No,No,,,30 ft or 40 ft w/ 75% under-building parking,Contextual,,,150sf (studio); 220sf (1br); 220sf + 70sf per additional br (>1br) ,Contextual,,,,,Allowed/Conditional,"Affordable housing shall include either of the following:
(1) Housing that is owned by inhabitants whose gross annual household income does not exceed 80% of the county median income, as defined by the United States Department of Housing and Urban Development, and the total annual cost of the housing, including principal, interest, taxes and insurance, is not more than 30% of the household’s gross annual income; or
(2) Housing that is rented by inhabitants whose gross annual household income does not exceed 65% of the county median income, as defined by the United States Department of Housing and Urban Development, and the total annual cost of the housing, including rent, utilities, and condominium association fees, is not more than 30% of the household’s gross annual income.",No,,,10; 50% bonus for 75% under-building parking,Contextual,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,150sf (studio); 220sf (1br); 220sf + 70sf per additional br (>1br) ,Contextual,,,4 units per building (for plots outside the sewer area); no max otherwise,Contextual,Allowed/Conditional,No,No,Yes,No,0.28,Acres,,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,,,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,,,,,,f,f,0.46,10.0,15.0,20.0,10.0,40.0,75.0,1.0,1.5,f,f,,30.0,,150.0,,,10.0,90.0,90.0,90.0,90.0,90.0,f,,t,f,
MU3,Completed,2024-04-23,Published,2024-04-24,Vermont,Bennington County,Manchester,,Mixed Use 3 District,2023-09-05,,Yes,No,No,Mixed with Residential,Cultural/Entertainment/Tourist,No,No,,,Allowed/Conditional,1.0,Acres,30.0,Feet,20.0,Feet,10 ft or 20 ft if abutting residential use or district,Contextual,,,50.0,Percent,1 per unit (1br); 1.5 per unit (2br); 2 per unit (general residential),Contextual,,,30,Feet,,,150sf (studio); 220sf (1br) + 70sf per additional br,Contextual,Allowed/Conditional,No,No,2.0,Acres per 2-Family,1ac; 50% bonus for 50% protection,Contextual,30.0,Feet,20.0,Feet,10 ft or 20 ft if abutting residential use or district,Contextual,,,50.0,Percent,1.0,Contextual,1.5 per unit (2br); 2 per unit (general residential),Contextual,,,30,Feet,,,150sf (studio); 220sf (1 br) + 70sf per additional br,Contextual,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,"Affordable housing shall include either of the following:
(1) Housing that is owned by inhabitants whose gross annual household income does not exceed 80% of the county median income, as defined by the United States Department of Housing and Urban Development, and the total annual cost of the housing, including principal, interest, taxes and insurance, is not more than 30% of the household’s gross annual income; or
(2) Housing that is rented by inhabitants whose gross annual household income does not exceed 65% of the county median income, as defined by the United States Department of Housing and Urban Development, and the total annual cost of the housing, including rent, utilities, and condominium association fees, is not more than 30% of the household’s gross annual income.",No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,1.0,Acres,,,No,30.0,Percent of Main Unit,,,1.0,Bedrooms per Unit,Allowed/Conditional,No,,,1ac; 50% bonus for 50% protection,Contextual,,,,,,,,,,,,,,,,,,,,,,1.0,150.0,150.0,,,,f,,t,f,
OI,Completed,2024-04-23,Published,2024-04-24,Vermont,Bennington County,Manchester,,Office Industrial District,2023-09-05,,Yes,No,No,Nonresidential,Office,No,No,,,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,Completed,2024-04-23,Published,2024-04-24,Vermont,Bennington County,Manchester,,Residential 1 District,2023-09-05,,Yes,No,No,Primarily Residential,,No,No,,,Allowed/Conditional,1.0,Acres,30.0,Feet,15.0,Feet,20,Feet,15.0,Percent,50.0,Percent,1 per unit (1br); 1.5 per unit (2br); 2 per unit (general residential),Contextual,,,30,Feet,,,150sf (studio); 220sf (1br) + 70sf per additional br,Contextual,Allowed/Conditional,No,No,2.0,Acres per 2-Family,1,Units per Acre,30.0,Feet,15.0,Feet,20,Feet,15.0,Percent,50.0,Percent,1.0,Spaces per Unit,1.5 per unit (2br); 2 per unit (general residential),Contextual,,,30,Feet,,,150sf (studio); 220sf (1 br) + 70sf per additional br,Contextual,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,1.0,Acres,,,No,30.0,Percent of Main Unit,,,1.0,Bedrooms per Unit,Allowed/Conditional,No,,,1 unit per acre; density bonus may be added for Net Zero Energy Buildings,Contextual,,,,,,,,,,,,,,,,,,,,,,1.0,120.0,120.0,,,,f,,t,f,
