ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD_MIN_LOT,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
AR,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex,,Agricultural - Residential,2023-07-29,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,3.0,Acres,50.0,Feet,20.0,Feet,25.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,,,40.0,Feet,,,500.0,Square Feet,No,No,3.0,Acres per 2-Family,,,50.0,Feet,20.0,Feet,25.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,4.6,Spaces per Unit,,,40.0,Feet,,,350.0,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,No,Yes,No,,,,Parking Spaces Add'l to Main Unit,Yes,30.0,Percent of Main Unit,,,,,Allowed/Conditional,Yes,,,,,,,,,f,f,,,,,,,,,,,,,,,,,,0.33,200.0,200.0,200.0,200.0,200.0,f,,t,f,Essex_Agricultural - Residential
B1,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex,,Retail - Business,2023-07-29,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,0.45,Acres per 3-Family,,,50.0,Feet,,,,,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,No,No,0.45,Acres per 4+-Family,,,50.0,Feet,,,,,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Allowed/Conditional,No,3.0,Acres per PRD,,,,,,,f,f,0.45,,50.0,,,,,,,f,f,,,,,,,2.22,,,,,,f,,f,f,Essex_Retail - Business
C1,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex,,Conservation,2023-07-29,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,10.0,Acres,50.0,Feet,25.0,Feet,25.0,Feet,70.0,Percent,,,2.3,Spaces per Unit,2.0,Stories,25.0,Feet,,,,,No,No,10.0,Acres per 2-Family,,,50.0,Feet,25.0,Feet,25.0,Feet,70.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,2.0,Stories,25.0,Feet,,,,,No,No,10.0,Acres per 3-Family,,,50.0,Feet,25.0,Feet,25.0,Feet,70.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,2.0,Stories,25.0,Feet,,,,,,,No,No,10.0,Acres per 4+-Family,,,50.0,Feet,25.0,Feet,25.0,Feet,70.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,2.0,Stories,25.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Allowed/Conditional,Yes,10.0,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,10.0,,50.0,25.0,25.0,70.0,,2.3,1.67,f,f,2.0,25.0,,,,,0.1,200.0,200.0,200.0,200.0,200.0,t,,t,f,Essex_Conservation
C2,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex,,Floodplain,2023-07-29,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,,,,,,,,,,,,,,,,,,,,,,,,f,,f,f,Essex_Floodplain
CTR,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex,,Center,2023-07-29,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,Acres,30.0,Feet,10.0,Feet,15.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,,,40.0,Feet,,,,,No,No,0.03,Acres per 2-Family,,,30.0,Feet,10.0,Feet,15.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,,,40.0,Feet,,,,,No,No,0.03,Acres per 3-Family,,,30.0,Feet,10.0,Feet,15.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,No,No,0.03,Acres per 4+-Family,,,30.0,Feet,10.0,Feet,15.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,4.0,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,,,,,,,,,,,,,,,,,,4.34,75.0,75.0,75.0,75.0,,f,,t,f,Essex_Center
HP-DC,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex,,Historic Preservation - Design Control,2023-07-29,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.46,Acres,,,,,,,40.0,Percent,,,2.3,Spaces per Unit,,,40.0,Feet,,,,,No,No,0.46,Acres per 2-Family,2.18,Units per Acre,,,,,,,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,,,40.0,Feet,,,,,No,No,0.46,Acres per 3-Family,2.18,Units per Acre,,,,,,,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,No,No,0.46,Acres per 4+-Family,2.18,Units per Acre,,,,,,,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,,Stories,40.0,Feet,,,,,,,,,Allowed/Conditional,,No,0.46,Acres per Development,2.18,Units per Acre,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,,,,,,,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.46,2.18,,,,40.0,,2.3,1.67,f,f,,40.0,,,,,2.17,,,,,,f,,t,f,Essex_Historic Preservation - Design Control
I1,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex,,Industrial,2023-07-29,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,t,f,Essex_Industrial
MXD,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex,,Mixed Use,2023-07-29,,No,No,No,Mixed with Residential,No,No,Prohibited,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,0.23,Acres per 2-Family,,,40.0,Feet,15.0,Feet,20.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,,,40.0,Feet,,,,,No,No,0.23,Acres per 3-Family,,,40.0,Feet,15.0,Feet,20.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,No,No,0.23,Acres per 4+-Family,,,40.0,Feet,15.0,Feet,20.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.23,,40.0,15.0,20.0,40.0,,2.3,1.67,f,f,,40.0,,,,,4.35,,100.0,100.0,100.0,100.0,f,,t,f,Essex_Mixed Use
MXDC,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex,,Mixed Use Commercial,2023-07-29,,Yes,No,No,Mixed with Residential,No,No,Prohibited,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,0.16,Acres per 2-Family,,,36.0,Feet,,,,,70.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,2.0,Stories,25.0,Feet,,,,,No,No,0.16,Acres per 3-Family,,,36.0,Feet,,,,,70.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,2.0,Stories,25.0,Feet,,,,,,,No,No,0.16,Acres per 4+-Family,,,36.0,Feet,,,,,70.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,2.0,Stories,25.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.16,,36.0,,,70.0,,2.3,1.67,f,f,2.0,25.0,,,,,6.25,,50.0,50.0,50.0,50.0,f,,t,f,Essex_Mixed Use Commercial
MXD-PUD,Completed,2023-11-14,Published,2024-02-02,Vermont,Chittenden County,Essex,,Mixed Use - Planned Unit Development,2023-07-29,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,1.46,Acres,40.0,Feet,15.0,Feet,20.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,1.0,Stories,40.0,Feet,,,,,No,No,0.46,Acres per 2-Family,,,40.0,Feet,15.0,Feet,20.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,,,40.0,Feet,,,,,No,No,0.46,Acres per 3-Family,,,40.0,Feet,15.0,Feet,20.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,No,No,0.46,Acres per 4+-Family,,,40.0,Feet,15.0,Feet,20.0,Feet,40.0,Percent,,,2.3,Spaces per Unit,1.67,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.46,,40.0,15.0,20.0,40.0,,2.3,1.67,f,f,,40.0,,,,,2.17,100.0,100.0,100.0,100.0,100.0,f,,t,f,Essex_Mixed Use - Planned Unit Development
