ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,1F_MIN_LOT,1F_MIN_LOT_UNITS,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1F_MAX_LOT_BLDG,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP,1F_MAX_LOT_IMP_UNITS,1F_PARK,1F_PARK_UNITS,1F_STORIES,1F_STORIES_UNITS,1F_HEIGHT,1F_HEIGHT_UNITS,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MIN_LOT_UNITS,2F_MAX_DENS,2F_MAX_DENS_UNITS,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2F_MAX_LOT_BLDG,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR,2F_PARK_1BR_UNITS,2F_PARK_2BR,2F_PARK_2BR_UNITS,2F_STORIES,2F_STORIES_UNITS,2F_HEIGHT,2F_HEIGHT_UNITS,2F_FTA,2F_FTA_UNITS,2F_MIN_UNIT,2F_MIN_UNIT_UNITS,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MIN_LOT_UNITS,3F_MAX_DENS,3F_MAX_DENS_UNITS,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3F_MAX_LOT_BLDG,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR,3F_PARK_1BR_UNITS,3F_PARK_2BR,3F_PARK_2BR_UNITS,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_STORIES_UNITS,3F_HEIGHT,3F_HEIGHT_UNITS,3F_FTA,3F_FTA_UNITS,3F_MIN_UNIT,3F_MIN_UNIT_UNITS,3F_BEDROOMS,3F_BEDROOMS_UNITS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MIN_LOT_UNITS,4F_MAX_DENS,4F_MAX_DENS_UNITS,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4F_MAX_LOT_BLDG,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR,4F_PARK_1BR_UNITS,4F_PARK_2BR,4F_PARK_2BR_UNITS,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_STORIES_UNITS,4F_HEIGHT,4F_HEIGHT_UNITS,4F_FTA,4F_FTA_UNITS,4F_MIN_UNIT,4F_MIN_UNIT_UNITS,4F_BEDROOMS,4F_BEDROOMS_UNITS,4F_MAX_UNITS,4F_MAX_UNITS_UNITS,AFFDP,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MIN_LOT_UNITS,AFF_MAX_DENS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR,AFF_PARK_1BR_UNITS,AFF_PARK_2BR,AFF_PARK_2BR,AFF_CNXN_H2O,AFF_CNXN_TRANSIT,AFF_MIN_UNIT,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS,AFF_BEDROOMS_UNITS,AFF_MAX_UNITS,AFF_MAX_UNIT_UNITS,ADUDP,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_MIN_LOT_UNITS,ADU_PARK,ADU_PARK_UNITS,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS,ADU_BEDROOMS_UNITS,PRDDP,PRD_MHP,PRD_MIN_LOT,PRD_MIN_LOT_UNITS,PRD_MAX_DENS,PRD_MAX_DENS_UNITS,PRD_MAX_UNITS,PRD_MAX_UNITS_UNITS,SPNOTES,TTIPNOTES,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
CB,Completed,2024-03-01,Published,2024-03-01,Vermont,Franklin County,Swanton,,Central Business,2024-02-20,,Yes,No,No,Mixed with Residential,No,No,Prohibited,Prohibited,Public Hearing,Public Hearing,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,0.25,Acres per 3-Family,4.0,Units per Acre,,,5,Feet,15,Feet,75,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,No,No,0.25,Acres per 4+-Family,4.0,Units per Acre,,,5,Feet,15,Feet,75,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.25,4.0,,5.0,15.0,75.0,,2.0,2.0,f,f,,40.0,,,,,,,,70.0,70.0,70.0,,,f,,
CLI,Completed,2024-03-01,Published,2024-03-01,Vermont,Franklin County,Swanton,,Commercial/Light Industrial,2024-02-20,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED,Completed,2024-03-01,Published,2024-03-01,Vermont,Franklin County,Swanton,,Federal Land,2024-02-20,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHO,Completed,2024-03-01,Published,2024-03-01,Vermont,Franklin County,Swanton,,Flood Hazard Overlay,2024-02-27,,Yes,No,Yes,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,No,No,Yes,No,,,,,No,,,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,New residential structures require a public hearing in the Special Flood Hazard Area and are prohibited in the Floodway. Substantial improvement of existing structures requires a public hearing in the whole district.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,Completed,2024-03-01,Published,2024-03-01,Vermont,Franklin County,Swanton,,Industrial,2024-02-20,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASO,Completed,2024-03-01,Published,2024-03-01,Vermont,Franklin County,Swanton,,Native American Sites Overlay,2024-02-25,,Yes,No,Yes,Mixed with Residential,No,No,Overlay,Overlay,Overlay,Overlay,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,No,No,Yes,No,,,,,No,,,,,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,All allowable residential development subject to public hearing. More restrictive rules apply between base district and overlay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,Completed,2024-03-01,Published,2024-03-01,Vermont,Franklin County,Swanton,,Neighborhood Commercial,2024-02-20,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,0.25,Acres,30.0,Feet,15,Feet,15,Feet,30,Percent,,,2.0,Spaces per Unit,2.5,Stories,35.0,Feet,,,,,No,No,0.25,Acres per 2-Family,4.0,Units per Acre,30.0,Feet,15,Feet,15,Feet,30,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,2.5,Stories,35.0,Feet,,,,,No,No,0.25,Acres per 3-Family,4.0,Units per Acre,30.0,Feet,15,Feet,15,Feet,30,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,2.5,Stories,35.0,Feet,,,,,,,No,No,0.25,Acres per 4+-Family,4.0,Units per Acre,30.0,Feet,15,Feet,15,Feet,30,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,2.5,Stories,35.0,Feet,,,,,,,,,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,1.0,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.25,4.0,30.0,15.0,15.0,30.0,,2.0,2.0,f,f,2.5,35.0,,,,,,70.0,70.0,70.0,70.0,70.0,f,,t,t,
NCL,Completed,2024-03-01,Published,2024-03-01,Vermont,Franklin County,Swanton,,Neighborhood Commercial Light,2024-02-20,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,0.25,Acres,30.0,Feet,15,Feet,15,Feet,30,Percent,,,2.0,Spaces per Unit,2.5,Stories,35.0,Feet,,,,,No,No,0.5,Acres per 2-Family,4.0,Units per Acre,30.0,Feet,15,Feet,15,Feet,30,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,2.5,Stories,35.0,Feet,,,,,No,No,0.75,Acres per 3-Family,4.0,Units per Acre,30.0,Feet,15,Feet,15,Feet,30,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,2.5,Stories,35.0,Feet,,,,,,,No,No,1,Acres per 4+-Family,4.0,Units per Acre,30.0,Feet,15,Feet,15,Feet,30,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,2.5,Stories,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,1.0,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,1.25,4.0,30.0,15.0,15.0,30.0,,2.0,2.0,f,f,2.5,35.0,,,,,,70.0,70.0,70.0,70.0,70.0,f,,t,t,
R1,Completed,2024-03-01,Published,2024-03-01,Vermont,Franklin County,Swanton,,Agricultural/Residential,2024-02-20,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Public Hearing,Prohibited,Prohibited,1,Acres,50.0,Feet,50,Feet,50,Feet,15,Percent,,,2.0,Spaces per Unit,2.5,Stories,35.0,Feet,,,,,No,No,1,Acres per 2-Family,,,50.0,Feet,50,Feet,50,Feet,15,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,2.5,Stories,35.0,Feet,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,1.0,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,200.0,200.0,,,,f,,t,t,
R3,Completed,2024-03-01,Published,2024-03-01,Vermont,Franklin County,Swanton,,Moderate Density Residential,2024-02-20,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,1,Acres,50.0,Feet,30,Feet,50,Feet,15,Percent,,,2.0,Spaces per Unit,2.5,Stories,35.0,Feet,,,,,No,No,1,Acres per 2-Family,,Units per Acre,50.0,Feet,30,Feet,50,Feet,15,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,2.5,Stories,35.0,Feet,,,,,No,No,1,Acres per 3-Family,,,50.0,Feet,30,Feet,50,Feet,15,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,2.5,Stories,35.0,Feet,,,,,,,No,No,1,Acres per 4+-Family,,,50.0,Feet,30,Feet,50,Feet,15,Percent,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,2.5,Stories,35.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,1.0,Bedrooms per Unit,Public Hearing,Yes,10.0,Acres per PRD,6.4,Units per Acre,,Units per PRD,,,f,f,1.0,,50.0,30.0,50.0,15.0,,2.0,2.0,f,f,2.5,35.0,,,,,,150.0,150.0,150.0,150.0,150.0,f,,t,t,
