ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,Most Common Nonresidential Use Permitted,AFF_DIST,ELD_DIST,Internal Notes,Visible Atlas Notes,1FDP,1-Family Min. Lot Size,1-Family Min. Lot Size Units,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1-Family Max Lot Coverage - Buildings,1-Family Max Lot Coverage - Buildings Units,1-Family Max Lot Coverage - Buildings & Impervious Surface,1-Family Max Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. Parking,1-Family Min. Parking Units,1-Family Max Stories,1-Family Max Stories Units,1-Family Max Height,1-Family Max Height Units,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2FDP,2-Family Affordable Only,2-Family Elderly Only,2-Family Min Lot Size,2-Family Min Lot Size Units,2-Family Max Density,2-Family Max Density Units,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2-Family Max Lot Coverage Buildings,2-Family Max Lot Coverage Buildings Units,2-Family Max Lot Coverage Buildings & Impervious,2-Family Max Lot Coverage Buildings & Impervious Units,2-Family Min Parking Per Studio/1BR,2-Family Min Parking Per Studio/1BR Units,2-Family Min Parking Per 2+ BR,2-Family Min Parking Per 2+ BR Units,2-Family Max Stories,2-Family Max Stories Units,2-Family Max Height,2-Family Max Height Units,2F_FTA,2F_FTA_UNITS,2-Family Min Unit Size,2-Family Min Unit Size Units,3FDP,3-Family Affordable Only,3-Family Elderly Only,3-Family Min Lot Size,3-Family Min Lot Size Units,3-Family Max Density,3-Family Max Density Units,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3-Family Max Lot Coverage Buildings,3-Family Max Lot Coverage Buildings Units,3-Family Max Lot Coverage Buildings & Impervious,3-Family Max Lot Coverage Buildings & Impervious Units,3-Family Min Parking Per Studio/1BR,3-Family Min Parking Per Studio/1BR Units,3-Family Min Parking Per 2+ BR,3-Family Min Parking Per 2+ BR Units,3-Family Sewer/Water Required,3-Family Public Transit Required,3-Family Max Stories,3-Family Max Stories Units,3-Family Max Height,3-Family Max Height Units,3F_FTA,3F_FTA_UNITS,3-Family Min Unit Size,3-Family Min Unit Size Units,3-Family Max Bedrooms,3-Family Max Bedrooms Units,4FDP,4+-Family Affordable Only,4+-Family Elderly Only,4+-Family Min Lot Size,4+-Family Min Lot Size Units,4+-Family Max Density,4+-Family Max Density Units,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4+-Family Max Lot Coverage Buildings,4+-Family Max Lot Coverage Buildings Units,4+-Family Max Lot Coverage Buildings & Impervious,4+-Family Max Lot Coverage Buildings & Impervious Units,4+-Family Min Parking Per Studio/1BR,4+-Family Min Parking Per Studio/1BR Units,4+-Family Min Parking Per 2+ BR,4+-Family Min Parking Per 2+ BR Units,4+-Family Sewer/Water Required,4+-Family Public Transit Required,4+-Family Max Stories,4+-Family Max Stories Units,4+-Family Max Height,4+-Family Max Height Units,4F_FTA,4F_FTA_UNITS,4+-Family Min Unit Size,4+-Family Min Unit Size Units,4+-Family Max Bedrooms,4+-Family Max Bedrooms Units,4+-Family Max Units per Building,4+-Family Max Units per Building Units,Affordable Housing Treatment,Affordable Housing Definition,Affordable Elderly Only,Affordable Min Lot Size,Affordable Min Lot Size Units,Affordable Max Density,Affordable Max Density Units,Affordable Min Parking Per Studio/1BR,Affordable Min Parking Per Studio/1BR Units,Affordable Min Parking Per 2+ BR,Affordable Min Parking Per 2+ BR Units,Affordable Sewer/Water Required,Affordable Public Transit Required,Affordable Min Unit Size,Affordable Min Unit Size Units,Affordable Max Bedrooms,Affordable Max Bedrooms Units,Affordable Max Units per Building,Affordable Max Units per Building Units,ADU Treatment,ADU Employee/Family Required,ADU Renter Prohibited,ADU_OWNER_REQD,ADU Elderly Only,ADU Min Lot Size,ADU Min Lot Size Units,ADU Min Parking,ADU Min Parking Units,ADU Only Primary Structure,ADU Max Size (% of Main),ADU Max Size (% of Main) Units,ADU Max Size (sq ft),ADU Max Size (sq ft) Units,ADU Max Bedrooms,ADU Max Bedrooms Units,PRD Treatment,PRD Mobile or Manufactured,PRD Min Development Size,PRD Min Development Size Units,PRD Max Density,PRD Max Density Units,PRD Max Units,PRD Max Units Units,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
A,Completed,2024-05-31,Published,2024-06-01,Vermont,Washington County,East Montpelier,,Commercial District,2024-05-29,,Yes,No,No,Mixed with Residential,Retail/Service,Yes,No,Site plan approval has public hearings.,,Public Hearing,1.0,Acres,40.0,Feet,15.0,Feet,15.0,Feet,,,,,2.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,1.0,Acres per 2-Family,,,40.0,Feet,15.0,Feet,15.0,Feet,,,,,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,1.0,Acres per 3-Family,,,40.0,Feet,15.0,Feet,15.0,Feet,,,,,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,Public Hearing,No,No,1.0,Acres per 4+-Family,,,40.0,Feet,15.0,Feet,15.0,Feet,,,,,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,,,Public Hearing,No,,,DRB can permit a density of up to 25% over base district density,Contextual,,,f,f,1.0,,40.0,15.0,15.0,,,1.3,1.3,t,f,,35.0,,,,,,150.0,150.0,150.0,150.0,150.0,f,,t,t,
B,Completed,2024-05-31,Published,2024-06-01,Vermont,Washington County,East Montpelier,,Industrial District,2024-05-29,,Yes,No,No,Mixed with Residential,Agricultural-Industrial,No,No,Site plan approval has public hearings.,,Public Hearing,1.0,Acres,40.0,Feet,15.0,Feet,15.0,Feet,,,,,2.0,Spaces per Unit,,,35.0,Feet,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,,,Public Hearing,No,,,DRB can permit a density of up to 25% over base district density,Contextual,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,f,,t,t,
C,Completed,2024-05-31,Published,2024-06-01,Vermont,Washington County,East Montpelier,,Residential-Commercial District,2024-05-29,,Yes,No,No,Mixed with Residential,Retail/Service,No,No,Site plan approval has public hearings.,,Allowed/Conditional,1.0,Acres,40.0,Feet,15.0,Feet,15.0,Feet,,,,,2.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,1.0,Acres per 2-Family,,,40.0,Feet,15.0,Feet,15.0,Feet,,,,,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,1.0,Acres per 3-Family,,,40.0,Feet,15.0,Feet,15.0,Feet,,,,,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,Public Hearing,No,No,1.0,Acres per 4+-Family,,,40.0,Feet,15.0,Feet,15.0,Feet,,,,,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,,,Public Hearing,Yes,,,DRB can permit a density of up to 25% over base district density,Contextual,,,f,f,1.0,,40.0,15.0,15.0,,,1.3,1.3,t,f,,35.0,,,,,,150.0,150.0,150.0,150.0,150.0,f,,t,t,
D,Completed,2024-05-31,Published,2024-06-01,Vermont,Washington County,East Montpelier,,Rural Residential-Agricultural District,2024-05-29,,Yes,No,No,Mixed with Residential,Agricultural-Industrial,No,No,Site plan approval has public hearings.,Multi-family developments with more than 6 dwelling units require conditional use approval.,Allowed/Conditional,3.0,Acres,40.0,Feet,25.0,Feet,25.0,Feet,,,,,2.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,2.0,Acres per 2-Family,,,40.0,Feet,25.0,Feet,25.0,Feet,,,,,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,3.0,Acres per 3-Family,,,40.0,Feet,25.0,Feet,25.0,Feet,,,,,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,Public Hearing,No,No,3.0,Acres per 4+-Family,,,40.0,Feet,25.0,Feet,25.0,Feet,,,,,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,6.0,Units per Building,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,,,Public Hearing,Yes,,,DRB can permit a density of up to 25% over base district density,Contextual,,,f,f,3.0,,40.0,25.0,25.0,,,1.3,1.3,t,f,,35.0,,,,6.0,,250.0,250.0,250.0,250.0,250.0,f,,t,t,
E,Completed,2024-05-31,Published,2024-06-01,Vermont,Washington County,East Montpelier,,Agricultural-Forest Conservation District,2024-05-29,,Yes,No,No,Primarily Residential,,No,No,Site plan approval has public hearings.,,Allowed/Conditional,7.0,Acres,40.0,Feet,25.0,Feet,24.99,Feet,,,,,2.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,7.0,Acres per 2-Family,0.14,Units per Acre,40.0,Feet,25.0,Feet,25.0,Feet,,,,,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,7.0,Acres per 3-Family,0.14,Units per Acre,40.0,Feet,25.0,Feet,25.0,Feet,,,,,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,Public Hearing,No,No,7.0,Acres per 4+-Family,0.14,Units per Acre,40.0,Feet,25.0,Feet,25.0,Feet,,,,,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,,,Public Hearing,Yes,,,DRB can permit a density of up to 25% over base district density,Contextual,,,f,f,7.0,0.14,40.0,25.0,25.0,,,1.3,1.3,t,f,,35.0,,,,,0.14,350.0,350.0,350.0,350.0,350.0,f,,t,t,
High Elevation Overlay,Completed,2024-05-31,Published,2024-06-01,Vermont,Washington County,East Montpelier,,High Elevation Overlay Protection District,2024-05-29,,Yes,No,Yes,Nonresidential,Open Space/Light Recreation,No,No,,,Prohibited,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Prohibited,,No,,,,,,,,,No,No,,,,,,,Prohibited,No,No,No,No,,,,,No,,,,,,,Prohibited,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
VMU,Completed,2024-05-31,Published,2024-06-01,Vermont,Washington County,East Montpelier,,Village Mixed Use District,2024-05-29,,Yes,No,No,Mixed with Residential,Retail/Service,No,No,Site plan approval has public hearings.,Lot Coverage (Buildings and Impervious Surfaces): 80% for lots <0.25 acres; 70% or 0.2 acres for lots >=0.25 & <0.5 acres; 60% or 0.35 acres for lots >=0.5 & <1 acre; 45% or 0.6 acres for lots >1 acre.,Allowed/Conditional,0.5,Acres,40.0,Feet,10.0,Feet,10.0,Feet,,,See Visible Atlas Notes,Contextual,2.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,0.5,Acres per 2-Family,,,40.0,Feet,10.0,Feet,10.0,Feet,,,See Visible Atlas Notes,Contextual,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,0.5,Acres per 3-Family,,,40.0,Feet,10.0,Feet,10.0,Feet,,,See Visible Atlas Notes,Contextual,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,Public Hearing,No,No,0.5,Acres per 4+-Family,,,40.0,Feet,10.0,Feet,10.0,Feet,,,See Visible Atlas Notes,Contextual,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,,,Public Hearing,No,,,DRB can permit a density of up to 100% over base district density,Contextual,,,f,f,0.5,,40.0,10.0,10.0,,,1.3,1.3,t,f,,35.0,,,,,,50.0,50.0,50.0,50.0,50.0,f,,t,t,
VR,Completed,2024-05-31,Published,2024-06-01,Vermont,Washington County,East Montpelier,,Village Residential District,2024-05-29,,Yes,No,No,Primarily Residential,,No,No,Site plan approval has public hearings.,,Allowed/Conditional,1.0,Acres,40.0,Feet,15.0,Feet,15.0,Feet,,,,,2.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,1.0,Acres per 2-Family,,,40.0,Feet,15.0,Feet,15.0,Feet,,,,,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,1.0,Acres per 3-Family,,,40.0,Feet,15.0,Feet,15.0,Feet,,,,,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,Public Hearing,No,No,1.0,Acres per 4+-Family,,,40.0,Feet,15.0,Feet,15.0,Feet,,,,,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,Yes,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,,,Public Hearing,Yes,,,DRB can permit a density of up to 100% over base district density,Contextual,,,f,f,0.5,,40.0,15.0,15.0,,,1.3,1.3,t,f,,35.0,,,,,,100.0,100.0,100.0,100.0,100.0,f,,t,t,
VRMD,Completed,2024-05-31,Published,2024-06-01,Vermont,Washington County,East Montpelier,,Village Residential Medium Density District,2024-05-29,,Yes,No,No,Primarily Residential,,No,No,Site plan approval has public hearings.,Lot Coverage (Buildings and Impervious Surfaces): 80% for lots <0.25 acres; 70% or 0.2 acres for lots >=0.25 & <0.5 acres; 60% or 0.35 acres for lots >=0.5 & <1 acre; 45% or 0.6 acres for lots >1 acre.,Allowed/Conditional,0.5,Acres,40.0,Feet,10.0,Feet,10.0,Feet,,,See Visible Atlas Notes,Contextual,2.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,0.5,Acres per 2-Family,,,40.0,Feet,10.0,Feet,10.0,Feet,,,See Visible Atlas Notes,Contextual,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,0.5,Acres per 3-Family,,,40.0,Feet,10.0,Feet,10.0,Feet,,,See Visible Atlas Notes,Contextual,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,Public Hearing,No,No,0.5,Acres per 4+-Family,,,40.0,Feet,10.0,Feet,10.0,Feet,,,See Visible Atlas Notes,Contextual,1.3,Spaces per Unit,1.3,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,6.0,Units per Building,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,,,Public Hearing,No,,,DRB can permit a density of up to 100% over base district density,Contextual,,,f,f,0.5,,40.0,10.0,10.0,,,1.3,1.3,t,f,,35.0,,,,6.0,,75.0,75.0,75.0,75.0,75.0,f,,t,t,
Wetland Overlay,Completed,2024-05-31,Published,2024-06-01,Vermont,Washington County,East Montpelier,,Wetlands Overlay Protection District,2024-05-29,,Yes,No,Yes,Nonresidential,Open Space/Light Recreation,No,No,,"ADUs ""[...] associated with a use currently in a wetland that cannot be accommodated outside the mapped wetland area"" (East Montpelier Land Use and Development Regulations, Page 21) are conditionally permitted.",Prohibited,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Prohibited,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,1200.0,Square Feet,,,Prohibited,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
