ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,Most Common Nonresidential Use Permitted,AFF_DIST,ELD_DIST,Internal Notes,Visible Atlas Notes,1FDP,1-Family Min. Lot Size,1-Family Min. Lot Size Units,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1-Family Max Lot Coverage - Buildings,1-Family Max Lot Coverage - Buildings Units,1-Family Max Lot Coverage - Buildings & Impervious Surface,1-Family Max Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. Parking,1-Family Min. Parking Units,1-Family Max Stories,1-Family Max Stories Units,1-Family Max Height,1-Family Max Height Units,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2FDP,2-Family Affordable Only,2-Family Elderly Only,2-Family Min Lot Size,2-Family Min Lot Size Units,2-Family Max Density,2-Family Max Density Units,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2-Family Max Lot Coverage Buildings,2-Family Max Lot Coverage Buildings Units,2-Family Max Lot Coverage Buildings & Impervious,2-Family Max Lot Coverage Buildings & Impervious Units,2-Family Min Parking Per Studio/1BR,2-Family Min Parking Per Studio/1BR Units,2-Family Min Parking Per 2+ BR,2-Family Min Parking Per 2+ BR Units,2-Family Max Stories,2-Family Max Stories Units,2-Family Max Height,2-Family Max Height Units,2F_FTA,2F_FTA_UNITS,2-Family Min Unit Size,2-Family Min Unit Size Units,3FDP,3-Family Affordable Only,3-Family Elderly Only,3-Family Min Lot Size,3-Family Min Lot Size Units,3-Family Max Density,3-Family Max Density Units,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3-Family Max Lot Coverage Buildings,3-Family Max Lot Coverage Buildings Units,3-Family Max Lot Coverage Buildings & Impervious,3-Family Max Lot Coverage Buildings & Impervious Units,3-Family Min Parking Per Studio/1BR,3-Family Min Parking Per Studio/1BR Units,3-Family Min Parking Per 2+ BR,3-Family Min Parking Per 2+ BR Units,3-Family Sewer/Water Required,3-Family Public Transit Required,3-Family Max Stories,3-Family Max Stories Units,3-Family Max Height,3-Family Max Height Units,3F_FTA,3F_FTA_UNITS,3-Family Min Unit Size,3-Family Min Unit Size Units,3-Family Max Bedrooms,3-Family Max Bedrooms Units,4FDP,4+-Family Affordable Only,4+-Family Elderly Only,4+-Family Min Lot Size,4+-Family Min Lot Size Units,4+-Family Max Density,4+-Family Max Density Units,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4+-Family Max Lot Coverage Buildings,4+-Family Max Lot Coverage Buildings Units,4+-Family Max Lot Coverage Buildings & Impervious,4+-Family Max Lot Coverage Buildings & Impervious Units,4+-Family Min Parking Per Studio/1BR,4+-Family Min Parking Per Studio/1BR Units,4+-Family Min Parking Per 2+ BR,4+-Family Min Parking Per 2+ BR Units,4+-Family Sewer/Water Required,4+-Family Public Transit Required,4+-Family Max Stories,4+-Family Max Stories Units,4+-Family Max Height,4+-Family Max Height Units,4F_FTA,4F_FTA_UNITS,4+-Family Min Unit Size,4+-Family Min Unit Size Units,4+-Family Max Bedrooms,4+-Family Max Bedrooms Units,4+-Family Max Units per Building,4+-Family Max Units per Building Units,Affordable Housing Treatment,Affordable Housing Definition,Affordable Elderly Only,Affordable Min Lot Size,Affordable Min Lot Size Units,Affordable Max Density,Affordable Max Density Units,Affordable Min Parking Per Studio/1BR,Affordable Min Parking Per Studio/1BR Units,Affordable Min Parking Per 2+ BR,Affordable Min Parking Per 2+ BR Units,Affordable Sewer/Water Required,Affordable Public Transit Required,Affordable Min Unit Size,Affordable Min Unit Size Units,Affordable Max Bedrooms,Affordable Max Bedrooms Units,Affordable Max Units per Building,Affordable Max Units per Building Units,ADU Treatment,ADU Employee/Family Required,ADU Renter Prohibited,ADU_OWNER_REQD,ADU Elderly Only,ADU Min Lot Size,ADU Min Lot Size Units,ADU Min Parking,ADU Min Parking Units,ADU Only Primary Structure,ADU Max Size (% of Main),ADU Max Size (% of Main) Units,ADU Max Size (sq ft),ADU Max Size (sq ft) Units,ADU Max Bedrooms,ADU Max Bedrooms Units,PRD Treatment,PRD Mobile or Manufactured,PRD Min Development Size,PRD Min Development Size Units,PRD Max Density,PRD Max Density Units,PRD Max Units,PRD Max Units Units,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
AR,Completed,2024-06-05,Published,2024-06-06,Vermont,Washington County,Waitsfield,,Agricultural-Residential District,2024-06-04,,Yes,No,No,Mixed with Residential,Agricultural-Industrial,No,No,,,Allowed/Conditional,1.0,Acres,75,Feet,25.0,Feet,25.0,Feet,,,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,Allowed/Conditional,No,No,1.0,Acres per 2-Family,2.0,Units per Acre,75,Feet,25.0,Feet,25.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,1.0,Acres per 3-Family,3.0,Units per Acre,75,Feet,25.0,Feet,25.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,Public Hearing,No,No,1.0,Acres per 4+-Family,4.0,Units per Acre,75,Feet,25.0,Feet,25.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,1.0,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Public Hearing,Yes,5.0,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARO,Completed,2024-06-05,Published,2024-06-06,Vermont,Washington County,Waitsfield,,Adaptive Redevelopment Overlay District,2024-06-04,,Yes,No,Yes,Primarily Residential,,No,No,Only Planned Unit Development is allowed in this area.,,Prohibited,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Hearing,No,No,15.0,Acres per 3-Family,,,225,Feet,100.0,Feet,100.0,Feet,,,30.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,,,40.0,Feet,,,,,,,Public Hearing,No,No,15.0,Acres per 4+-Family,,,225,Feet,100.0,Feet,100.0,Feet,,,30.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,,,40.0,Feet,,,,,,,,,Public Hearing,"Housing that is either (1) owned by its inhabitants, whose gross annual household income does not exceed 80 percent of the area median income, as defined by the United States Department of Housing and Urban Development for Washington County, VT, and the total annual cost of the housing, including principal, interest, taxes and insurance, is not more than 30 percent of the household’s gross annual income; or (2) rented by its inhabitants whose gross annual household income does not exceed 65 percent of the area median income, as defined by the United States Department of Housing and Urban Development for Washington County, VT, and the total annual cost of the housing, including rent, utilities, and condominium association fees, is not more than 30 percent of the household’s gross annual income.",No,15.0,Acres per Development,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,,,,,,,Allowed/Conditional,No,No,No,No,15.0,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Public Hearing,Yes,15.0,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEHO,Completed,2024-06-05,Published,2024-06-06,Vermont,Washington County,Waitsfield,,Fluvial Erosion Hazard Area Overlay District,2024-06-04,,Yes,No,Yes,Nonresidential,Agricultural-Industrial,No,No,,,Prohibited,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Not Mentioned,No,No,No,No,,,,,No,,,,,,,Prohibited,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHO,Completed,2024-06-05,Published,2024-06-06,Vermont,Washington County,Waitsfield,,Flood Hazard Area Overlay District,2024-06-04,,Yes,No,Yes,Nonresidential,Agricultural-Industrial,No,No,,,Prohibited,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Not Mentioned,No,No,No,No,,,,,No,,,,,,,Prohibited,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR,Completed,2024-06-05,Published,2024-06-06,Vermont,Washington County,Waitsfield,,Forest Reserve District,2024-06-04,,Yes,No,No,Mixed with Residential,Agricultural-Industrial,No,No,,"Lots that have been sufficiently reviewed under Waitsfield Subdivision Regulations as of January 1, 2002 may be issued a permit for building. Otherwise, a public hearing is required.",Allowed/Conditional,25.0,Acres,,,,,,,,,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Public Hearing,No,No,No,No,25.0,Acres,1.0,Parking Spaces Add'l to Main Unit,No,,,1700.0,Square Feet,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,
HWVO,Completed,2024-06-05,Published,2024-06-06,Vermont,Washington County,Waitsfield,,Historic Waitsfield Village Overlay District,2024-06-04,,Yes,No,Yes,Mixed with Residential,Institutional/Government,No,No,,,Allowed/Conditional,0.2,Acres,35,Feet,10.0,Feet,25.0,Feet,50.0,Percent,,,1.0,Spaces per Unit,3.0,Stories,40.0,Feet,,,,,Allowed/Conditional,No,No,0.2,Acres per 2-Family,10.0,Units per Acre,35,Feet,10.0,Feet,25.0,Feet,75.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,3.0,Stories,40.0,Feet,,,,,Allowed/Conditional,No,No,0.2,Acres per 3-Family,15.0,Units per Acre,35,Feet,10.0,Feet,25.0,Feet,75.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,Yes,3.0,Stories,40.0,Feet,,,,,,,Allowed/Conditional,No,No,0.2,Acres per 4+-Family,20.0,Units per Acre,35,Feet,10.0,Feet,25.0,Feet,75.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,3.0,Stories,40.0,Feet,,,,,,,,,Public Hearing,,No,0.2,Acres per Development,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,,,,,50% of units in a PUD,Contextual,Allowed/Conditional,No,No,No,No,0.2,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Public Hearing,Yes,5.0,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,Completed,2024-06-05,Published,2024-06-06,Vermont,Washington County,Waitsfield,,Industrial District,2024-06-04,,Yes,No,No,Nonresidential,Agricultural-Industrial,No,No,,,Prohibited,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Public Hearing,No,No,No,No,0.23,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Prohibited,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV,Completed,2024-06-05,Published,2024-06-06,Vermont,Washington County,Waitsfield,,Irasville Village District,2024-06-04,,Yes,No,No,Mixed with Residential,Retail/Service,Yes,No,,,Allowed/Conditional,0.2,Acres,25,Feet,15.0,Feet,25.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,2.0,Stories,35.0,Feet,,,,,Allowed/Conditional,No,No,0.2,Acres per 2-Family,10.0,Units per Acre,25,Feet,15.0,Feet,25.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,3.0,Stories,40.0,Feet,,,,,Allowed/Conditional,No,No,0.2,Acres per 3-Family,15.0,Units per Acre,25,Feet,15.0,Feet,25.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,Yes,3.0,Stories,40.0,Feet,,,,,,,Allowed/Conditional,No,No,0.2,Acres per 4+-Family,20.0,Units per Acre,25,Feet,15.0,Feet,25.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,3.0,Stories,40.0,Feet,,,,,,,,,Public Hearing,,No,0.2,Acres per Development,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,,,,,50% of units in a PUD,Contextual,Allowed/Conditional,No,No,No,No,0.2,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Public Hearing,Yes,5.0,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB,Completed,2024-06-05,Published,2024-06-06,Vermont,Washington County,Waitsfield,,Limited Business District,2024-06-04,,Yes,No,No,Mixed with Residential,Office,No,No,,There is a maximum of 50% affordable housing units in a PUD.,Public Hearing,1.0,Acres,100 from Route 100; 50 otherwise,Alternatives,25.0,Feet,25.0,Feet,25.0,Percent,,,1.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,1.0,Acres per 2-Family,2.0,Units per Acre,100 from Route 100; 50 otherwise,Alternatives,25.0,Feet,25.0,Feet,25.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,,,,,Public Hearing,No,No,1.0,Acres per 3-Family,3.0,Units per Acre,100 from Route 100; 50 otherwise,Alternatives,25.0,Feet,25.0,Feet,25.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,Yes,,,35.0,Feet,,,,,,,Public Hearing,No,No,1.0,Acres per 4+-Family,4.0,Units per Acre,100 from Route 100; 50 otherwise,Alternatives,25.0,Feet,25.0,Feet,25.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,,,35.0,Feet,,,,,,,,,Public Hearing,,No,1.0,Acres per Development,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,,,,,,,Public Hearing,No,No,No,No,1.0,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Public Hearing,Yes,5.0,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VB,Completed,2024-06-05,Published,2024-06-06,Vermont,Washington County,Waitsfield,,Village Business District,2024-06-04,,Yes,No,No,Mixed with Residential,Retail/Service,No,No,,,Allowed/Conditional,0.2,Acres,25,Feet,10.0,Feet,10.0,Feet,75.0,Percent,,,1.0,Spaces per Unit,3.0,Stories,40.0,Feet,,,,,Allowed/Conditional,No,No,0.2,Acres per 2-Family,10.0,Units per Acre,25,Feet,10.0,Feet,10.0,Feet,75.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,3.0,Stories,40.0,Feet,,,,,Allowed/Conditional,No,No,0.2,Acres per 3-Family,15.0,Units per Acre,25,Feet,10.0,Feet,10.0,Feet,75.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,Yes,3.0,Stories,40.0,Feet,,,,,,,Allowed/Conditional,No,No,0.2,Acres per 4+-Family,20.0,Units per Acre,25,Feet,10.0,Feet,10.0,Feet,75.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,3.0,Stories,40.0,Feet,,,,,,,,,Public Hearing,,No,0.2,Acres per Development,,,1.0,Spaces per Unit,1.0,Spaces per Unit,Yes,No,,,,,50% of units in a PUD,Contextual,Allowed/Conditional,No,No,No,No,0.2,Acres,1.0,Parking Spaces Add'l to Main Unit,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Public Hearing,Yes,5.0,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
