ABB_DIST_NAME,STAT,LAST_UPDATE,JXTN_STAT,Jurisdiction Last Updated,STATE,COUNTY,JXTN,PARENT_JXTN,DIST_NAME,BYLAW_EFF,CHANGE_EXP,DIST_MAP,EXT_DIST,OVER,DIST_TYPE,Most Common Nonresidential Use Permitted,AFF_DIST,ELD_DIST,Internal Notes,Visible Atlas Notes,1FDP,1-Family Min. Lot Size,1-Family Min. Lot Size Units,1F_FSET,1F_FSET_UNITS,1F_SSET,1F_SSET_UNITS,1F_RSET,1F_RSET_UNITS,1-Family Max Lot Coverage - Buildings,1-Family Max Lot Coverage - Buildings Units,1-Family Max Lot Coverage - Buildings & Impervious Surface,1-Family Max Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. Parking,1-Family Min. Parking Units,1-Family Max Stories,1-Family Max Stories Units,1-Family Max Height,1-Family Max Height Units,1F_FTA,1F_FTA_UNITS,1F_MIN_UNIT,1F_MIN_UNIT_UNITS,2FDP,2-Family Affordable Only,2-Family Elderly Only,2-Family Min Lot Size,2-Family Min Lot Size Units,2-Family Max Density,2-Family Max Density Units,2F_FSET,2F_FSET_UNITS,2F_SSET,2F_SSET_UNITS,2F_RSET,2F_RSET_UNITS,2-Family Max Lot Coverage Buildings,2-Family Max Lot Coverage Buildings Units,2-Family Max Lot Coverage Buildings & Impervious,2-Family Max Lot Coverage Buildings & Impervious Units,2-Family Min Parking Per Studio/1BR,2-Family Min Parking Per Studio/1BR Units,2-Family Min Parking Per 2+ BR,2-Family Min Parking Per 2+ BR Units,2-Family Max Stories,2-Family Max Stories Units,2-Family Max Height,2-Family Max Height Units,2F_FTA,2F_FTA_UNITS,2-Family Min Unit Size,2-Family Min Unit Size Units,3FDP,3-Family Affordable Only,3-Family Elderly Only,3-Family Min Lot Size,3-Family Min Lot Size Units,3-Family Max Density,3-Family Max Density Units,3F_FSET,3F_FSET_UNITS,3F_SSET,3F_SSET_UNITS,3F_RSET,3F_RSET_UNITS,3-Family Max Lot Coverage Buildings,3-Family Max Lot Coverage Buildings Units,3-Family Max Lot Coverage Buildings & Impervious,3-Family Max Lot Coverage Buildings & Impervious Units,3-Family Min Parking Per Studio/1BR,3-Family Min Parking Per Studio/1BR Units,3-Family Min Parking Per 2+ BR,3-Family Min Parking Per 2+ BR Units,3-Family Sewer/Water Required,3-Family Public Transit Required,3-Family Max Stories,3-Family Max Stories Units,3-Family Max Height,3-Family Max Height Units,3F_FTA,3F_FTA_UNITS,3-Family Min Unit Size,3-Family Min Unit Size Units,3-Family Max Bedrooms,3-Family Max Bedrooms Units,4FDP,4+-Family Affordable Only,4+-Family Elderly Only,4+-Family Min Lot Size,4+-Family Min Lot Size Units,4+-Family Max Density,4+-Family Max Density Units,4F_FSET,4F_FSET_UNITS,4F_SSET,4F_SSET_UNITS,4F_RSET,4F_RSET_UNITS,4+-Family Max Lot Coverage Buildings,4+-Family Max Lot Coverage Buildings Units,4+-Family Max Lot Coverage Buildings & Impervious,4+-Family Max Lot Coverage Buildings & Impervious Units,4+-Family Min Parking Per Studio/1BR,4+-Family Min Parking Per Studio/1BR Units,4+-Family Min Parking Per 2+ BR,4+-Family Min Parking Per 2+ BR Units,4+-Family Sewer/Water Required,4+-Family Public Transit Required,4+-Family Max Stories,4+-Family Max Stories Units,4+-Family Max Height,4+-Family Max Height Units,4F_FTA,4F_FTA_UNITS,4+-Family Min Unit Size,4+-Family Min Unit Size Units,4+-Family Max Bedrooms,4+-Family Max Bedrooms Units,4+-Family Max Units per Building,4+-Family Max Units per Building Units,Affordable Housing Treatment,Affordable Housing Definition,Affordable Elderly Only,Affordable Min Lot Size,Affordable Min Lot Size Units,Affordable Max Density,Affordable Max Density Units,Affordable Min Parking Per Studio/1BR,Affordable Min Parking Per Studio/1BR Units,Affordable Min Parking Per 2+ BR,Affordable Min Parking Per 2+ BR Units,Affordable Sewer/Water Required,Affordable Public Transit Required,Affordable Min Unit Size,Affordable Min Unit Size Units,Affordable Max Bedrooms,Affordable Max Bedrooms Units,Affordable Max Units per Building,Affordable Max Units per Building Units,ADU Treatment,ADU Employee/Family Required,ADU Renter Prohibited,ADU_OWNER_REQD,ADU Elderly Only,ADU Min Lot Size,ADU Min Lot Size Units,ADU Min Parking,ADU Min Parking Units,ADU Only Primary Structure,ADU Max Size (% of Main),ADU Max Size (% of Main) Units,ADU Max Size (sq ft),ADU Max Size (sq ft) Units,ADU Max Bedrooms,ADU Max Bedrooms Units,PRD Treatment,PRD Mobile or Manufactured,PRD Min Development Size,PRD Min Development Size Units,PRD Max Density,PRD Max Density Units,PRD Max Units,PRD Max Units Units,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNITS,BASE_DENS,1F_FRONT,2F_FRONT,3F_FRONT,4F_FRONT,5F_FRONT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,GIS_ID
BCC,Completed,2024-06-07,Published,2024-06-13,Vermont,Windsor County,Barnard,,Barnard Chateauguary Conservation,2024-06-07,,Yes,No,No,Mixed with Residential,Open Space/Light Recreation,No,No,"""Dwelling, Multi-Unit - A building designed for, or occupied solely as, a dwelling of either three (3) or (4) households living independently of each other"" (page 54).",,Allowed/Conditional,27.0,Acres,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,40.0,Feet,,,,,Allowed/Conditional,No,No,27.0,Acres per 2-Family,,,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,,,40.0,Feet,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,,,No,50.0,Percent of Main Unit,1500.0,Square Feet,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,,,,,,,,
BV,Completed,2024-06-07,Published,2024-06-13,Vermont,Windsor County,Barnard,,Barnard Village,2024-06-07,,Yes,No,No,Mixed with Residential,Retail/Service,No,No,"""Dwelling, Multi-Unit - A building designed for, or occupied solely as, a dwelling of either three (3) or (4) households living independently of each other"" (page 54).",,Allowed/Conditional,1.0,Acres,50.0,Feet,15.0,Feet,15.0,Feet,,,,,,,,,40.0,Feet,,,,,Allowed/Conditional,No,No,1.0,Acres per 2-Family,,,50.0,Feet,15.0,Feet,15.0,Feet,,,,,,,,,,,40.0,Feet,,,,,Public Hearing,No,No,1.0,Acres per 3-Family,,,50.0,Feet,15.0,Feet,15.0,Feet,,,,,,,,,No,No,,,40.0,Feet,,,,,,,Public Hearing,No,No,1.0,Acres per 4+-Family,,,50.0,Feet,15.0,Feet,15.0,Feet,,,,,,,,,No,No,,,40.0,Feet,,,,,,,4.0,Units per Building,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,,,No,50.0,Percent of Main Unit,1500.0,Square Feet,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,,,,,,
COM,Completed,2024-06-07,Published,2024-06-13,Vermont,Windsor County,Barnard,,Commercial,2024-06-07,,Yes,No,No,Mixed with Residential,Agricultural-Industrial,No,No,"""Dwelling, Multi-Unit - A building designed for, or occupied solely as, a dwelling of either three (3) or (4) households living independently of each other"" (page 54).",,Allowed/Conditional,2.0,Acres,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,40.0,Feet,,,,,Allowed/Conditional,No,No,2.0,Acres per 2-Family,,,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,,,40.0,Feet,,,,,Public Hearing,No,No,2.0,Acres per 3-Family,,,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,No,No,,,40.0,Feet,,,,,,,Public Hearing,No,No,2.0,Acres per 4+-Family,,,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,No,No,,,40.0,Feet,,,,,,,4.0,Units per Building,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,,,No,50.0,Percent of Main Unit,1500.0,Square Feet,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,50.0,,,,,,
EBC,Completed,2024-06-07,Published,2024-06-13,Vermont,Windsor County,Barnard,,East Barnard Conservation,2024-06-07,,Yes,No,No,Mixed with Residential,Open Space/Light Recreation,No,No,,,Allowed/Conditional,10.0,Acres,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,40.0,Feet,,,,,Allowed/Conditional,No,No,10.0,Acres per 2-Family,,,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,,,40.0,Feet,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,,,No,50.0,Percent of Main Unit,1500.0,Square Feet,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,,,,,,,,
EBV,Completed,2024-06-07,Published,2024-06-13,Vermont,Windsor County,Barnard,,East Barnard Village,2024-06-07,,Yes,No,No,Mixed with Residential,Retail/Service,No,No,"""Dwelling, Multi-Unit - A building designed for, or occupied solely as, a dwelling of either three (3) or (4) households living independently of each other"" (page 54).",,Allowed/Conditional,1.0,Acres,50.0,Feet,15.0,Feet,15.0,Feet,,,,,,,,,40.0,Feet,,,,,Allowed/Conditional,No,No,1.0,Acres per 2-Family,,,50.0,Feet,15.0,Feet,15.0,Feet,,,,,,,,,,,40.0,Feet,,,,,Public Hearing,No,No,1.0,Acres per 3-Family,,,50.0,Feet,15.0,Feet,15.0,Feet,,,,,,,,,No,No,,,40.0,Feet,,,,,,,Public Hearing,No,No,1.0,Acres per 4+-Family,,,50.0,Feet,15.0,Feet,15.0,Feet,,,,,,,,,No,No,,,40.0,Feet,,,,,,,4.0,Units per Building,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,,,No,50.0,Percent of Main Unit,1500.0,Square Feet,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,,,,,,
FHO,Completed,2024-06-07,Published,2024-06-13,Vermont,Windsor County,Barnard,,Flood Hazard Overlay,2024-06-07,,Yes,No,Yes,Nonresidential,Open Space/Light Recreation,No,No,,"""The following are prohibited: a) New residential or non-residential structures (including the placement of manufactured homes);"" (Page 16)",Prohibited,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Prohibited,No,No,No,No,,,,,No,,,,,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAM,Completed,2024-06-07,Published,2024-06-13,Vermont,Windsor County,Barnard,,Hamlet,2024-06-07,,Yes,No,No,Mixed with Residential,Retail/Service,No,No,"""Dwelling, Multi-Unit - A building designed for, or occupied solely as, a dwelling of either three (3) or (4) households living independently of each other"" (page 54).",,Allowed/Conditional,1.0,Acres,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,40.0,Feet,,,,,Allowed/Conditional,No,No,1.0,Acres per 2-Family,,,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,,,40.0,Feet,,,,,Public Hearing,No,No,1.0,Acres per 3-Family,,,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,No,No,,,40.0,Feet,,,,,,,Public Hearing,No,No,1.0,Acres per 4+-Family,,,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,No,No,,,40.0,Feet,,,,,,,4.0,Units per Building,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,,,No,50.0,Percent of Main Unit,1500.0,Square Feet,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,50.0,,,,,,
LAK,Completed,2024-06-07,Published,2024-06-13,Vermont,Windsor County,Barnard,,Lakeshore,2024-06-07,,Yes,No,No,Primarily Residential,,No,No,,,Public Hearing,2.0,Acres,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,30.0,Feet,,,,,Public Hearing,No,No,2.0,Acres per 2-Family,,,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,,,30.0,Feet,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Public Hearing,No,No,No,No,,,,,No,50.0,Percent of Main Unit,1500.0,Square Feet,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,,,,,,,,
PVO,Completed,2024-06-07,Published,2024-06-13,Vermont,Windsor County,Barnard,,Prosper Valley Overlay,2024-06-07,,Yes,No,Yes,Overlay not Affecting Use,,No,No,,"""Except agricultural structures, no buildings or roads are allowed to intrude more than 100 feet into open fields. Notwithstanding any other provision of this regulation, no structure may break the silhouette of a ridgeline as seen from a public highway in leaf-off conditions"" (Page 16)",Overlay,,,,,,,,,,,,,,,,,,,,,,,Overlay,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Overlay,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Overlay,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Not Mentioned,No,No,No,No,,,,,No,,,,,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFF,Completed,2024-06-07,Published,2024-06-13,Vermont,Windsor County,Barnard,,"Rural, Forest, and Farmlands",2024-06-07,,Yes,No,No,Mixed with Residential,Agricultural-Industrial,No,No,,,Allowed/Conditional,2.0,Acres,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,40.0,Feet,,,,,Allowed/Conditional,No,No,2.0,Acres per 2-Family,,,50.0,Feet,30.0,Feet,30.0,Feet,,,,,,,,,,,40.0,Feet,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,,,No,50.0,Percent of Main Unit,1500.0,Square Feet,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,,,,,,,,
SLO,Completed,2024-06-07,Published,2024-06-13,Vermont,Windsor County,Barnard,,Silver Lake Watershed Overlay,2024-06-07,,Yes,No,Yes,Overlay not Affecting Use,,No,No,,"""Within the overlay outside of the village district, no land disturbance is allowed within a stream buffer extending 35 horizontal feet from a river or perennial stream except for accepted agricultural and forestry practices, road and driveway crossings, crossings to access fields, permitted septic repairs, utility crossings, crossings by recreational trails, removal of debris necessary to rectify a natural catastrophe, stream restoration projects in accordance with a plan approved by the Vermont Agency of Natural Resources, and maintenance of existing structures. The creation of new lawn areas is not permitted within a stream buffer, but vegetation may be pruned and dead or hazard trees removed as long as the overall forest canopy is maintained, and openings of the forest canopy may be created by removal of vegetation not to exceed 5% of the stream buffer area"" (Pages 15 and 16).",Overlay,,,,,,,,,,,,,,,,,,,,,,,Overlay,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Overlay,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Overlay,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Not Mentioned,No,No,No,No,,,,,No,,,,,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
