ABB_DIST_NAME,COUNTY,JXTN,DIST_NAME,DIST_MAP,OVER,EXT_DIST,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,5FDP,ADUDP,AFFDP,PRDDP,NOTES,1F_MIN_LOT,1F_FSET,1F_SSET,1F_RSET,1F_FRONT,1F_MAX_LOT_BLDG,1F_MAX_LOT_IMP,1F_PARK,1F_STORIES,1F_HEIGHT,1F_FTA,1F_MIN_UNIT,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MAX_DENS,2F_FSET,2F_SSET,2F_RSET,2F_FRONT,2F_MAX_LOT_BLDG,2F_MAX_LOT_IMP,2F_PARK_1BR,2F_PARK_2BR,2F_STORIES,2F_HEIGHT,2F_FTA,2F_MIN_UNIT,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MAX_DENS,3F_FSET,3F_SSET,3F_RSET,3F_FRONT,3F_MAX_LOT_BLDG,3F_MAX_LOT_IMP,3F_PARK_1BR,3F_PARK_2BR,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_HEIGHT,3F_FTA,3F_MIN_UNIT,3F_BEDROOMS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MAX_DENS,4F_FSET,4F_SSET,4F_RSET,4F_FRONT,4F_MAX_LOT_BLDG,4F_MAX_LOT_IMP,4F_PARK_1BR,4F_PARK_2BR,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_HEIGHT,4F_FTA,4F_MIN_UNIT,4F_BEDROOMS,4F_MAX_UNIT,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_FRONT,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNIT,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MAX_DENS,AFF_PARK_1BR,AFF_PARK_2BR,AFF_MIN_UNIT,AFF_BEDROOMS,AFF_MAX_UNIT,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_PARK,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_SIZE,ADU_BEDROOMS,PRD_MHP,PRD_MIN_LOT,PRD_MAX_DENS,PRD_MAX_UNIT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,BASE_DENS,1F_MIN_LOT_UNITS,1F_FSET_UNITS,1F_SSET_UNITS,1F_RSET_UNITS,1F_FRONT_UNITS,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP_UNITS,1F_PARK_UNITS,1F_STORIES_UNITS,1F_HEIGHT_UNITS,1F_FTA_UNITS,1F_MIN_UNIT_UNITS,2F_AFF_UNITS,2F_ELD_UNITS,2F_MIN_LOT_UNITS,2F_MAX_DENS_UNITS,2F_FSET_UNITS,2F_SSET_UNITS,2F_RSET_UNITS,2F_FRONT_UNITS,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR_UNITS,2F_PARK_2BR_UNITS,2F_STORIES_UNITS,2F_HEIGHT_UNITS,2F_FTA_UNITS,2F_MIN_UNIT_UNITS,3F_AFF_UNITS,3F_ELD_UNITS,3F_MIN_LOT_UNITS,3F_MAX_DENS_UNITS,3F_FSET_UNITS,3F_SSET_UNITS,3F_RSET_UNITS,3F_FRONT_UNITS,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR_UNITS,3F_PARK_2BR_UNITS,3F_CNXN_H2O_UNITS,3F_CNXN_TRANSIT_UNITS,3F_STORIES_UNITS,3F_HEIGHT_UNITS,3F_FTA_UNITS,3F_MIN_UNIT_UNITS,3F_BEDROOMS_UNITS,4F_AFF_UNITS,4F_ELD_UNITS,4F_MIN_LOT_UNITS,4F_MAX_DENS_UNITS,4F_FSET_UNITS,4F_SSET_UNITS,4F_RSET_UNITS,4F_FRONT_UNITS,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR_UNITS,4F_PARK_2BR_UNITS,4F_CNXN_H2O_UNITS,4F_CNXN_TRANSIT_UNITS,4F_STORIES_UNITS,4F_HEIGHT_UNITS,4F_FTA_UNITS,4F_MIN_UNIT_UNITS,4F_BEDROOMS_UNITS,4F_MAX_UNIT_UNITS,5F_AFF_UNITS,5F_ELD_UNITS,5F_MIN_LOT_UNITS,5F_MAX_DENS_UNITS,5F_FSET_UNITS,5F_SSET_UNITS,5F_RSET_UNITS,5F_FRONT_UNITS,5F_MAX_LOT_BLDG_UNITS,5F_MAX_LOT_IMP_UNITS,5F_PARK_1BR_UNITS,5F_PARK_2BR_UNITS,5F_CNXN_H2O_UNITS,5F_CNXN_TRANSIT_UNITS,5F_STORIES_UNITS,5F_FEET_UNITS,5F_FTA_UNITS,5F_MIN_UNIT_UNITS,5F_BEDROOMS_UNITS,5F_MAX_UNIT_UNITS,AFF_DEF_UNITS,AFF_ELD_ONLY_UNITS,AFF_MIN_LOT_UNITS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR_UNITS,AFF_PARK_2BR_UNITS,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS_UNITS,AFF_MAX_UNIT_UNITS,ADU_EMP_REQD_UNITS,ADU_RENTER_PROH_UNITS,ADU_OWNER_REQD_UNITS,ADU_ELD_UNITS,ADU_MIN_LOT_UNITS,ADU_PARK_UNITS,ADU_PRIM_STRUC_UNITS,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS_UNITS,PRD_MHP_UNITS,PRD_MIN_LOT_UNITS,PRD_MAX_DENS_UNITS,PRD_MAX_UNIT_UNITS,PUD_SUBDV_UNITS,PUD_THRESH_UNITS,PUD_ALLOW_UNITS,PUD_CONSERVE_UNITS,BASE_DENS_UNITS
FH,Orange,Bradford Town,Flood Hazard,Yes,Yes,No,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,Overlay,Overlay,Not Mentioned,Not Mentioned,"New developments prohibited; improvements to existing structures are permitted with public hearing. Buildings must be proven to not increase flooding by more than 1 foot in the community, and structures to be substantially improved must be elevated to 1 foot above base flood elevation; full list of development standards found in Section VII of Flood Hazard Bylaws. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Units Per Acre
I,Orange,Bradford Town,Industrial,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Not Mentioned,PUD permitted uses are the uses permitted in the proposed districts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
I/M,Orange,Bradford Town,Industrial/Mixed Use,Yes,No,No,Mixed with Residential,No,No,Prohibited,Prohibited,Public Hearing,Public Hearing,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,PUD permitted uses are the uses permitted in the proposed districts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,0.46,,40,15,15,60,50,,1,1,,,,35,,,,No,No,0.46,,40,15,15,60,50,,1,1,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,No,0.46,,1,1,,,,,,,,,,,,,,,,,,,,Yes,No,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,Percent,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,Percent,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,,Spaces Per Unit,Spaces Per Unit,,,,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
LDR,Orange,Bradford Town,Low Density Residential,Yes,No,No,Primarily Residential,No,Yes,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Lot size can be waived to no less than 1 acre provided that overall permittable density on the lot stays the same (according to table 7.1),7,70,50,50,200'; avg. lot width if not on public highways,,,1,,35,,,No,No,7,,70,50,50,200'; avg. lot width if not on public highways,,,1,1,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,7,,1,1,,,,No,No,No,No,7,1,no; must be w/in 100' of home,50,,1,,,,,,,Yes,No,,Acres Per Treatment,Feet,Feet,Feet,Contextual,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Feet,Feet,Feet,Contextual,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,,Spaces Per Unit,Spaces Per Unit,,,,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
DWA,Orange,Bradford Town,Deer Wintering Area,Yes,Yes,No,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,Overlay,Overlay,Not Mentioned,Not Mentioned,Administrative officer/board of approval must find that any new development in the DWA has minimized impacts on deer wintering. Administrative officer approval when only a zoning permit is needed for development and BOA when conditional use (public hearing) is needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Units Per Acre
R,Orange,Bradford Town,Residential,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Prohibited,Allowed/Conditional,Allowed/Conditional,Not Mentioned,,1 acre; 0.34/public water; 0.18/public sewer + water,55'; 40'/public water and/or sewer,25'; 10'/public water and/or sewer,25'; 10'/public water and/or sewer,200'; 100'/public water; 80'/public sewer + water,,,1,,35,,,No,No,1 acre; 0.34/public water; 0.18/public sewer + water,,55'; 40'/public water and/or sewer,25'; 10'/public water and/or sewer,25'; 10'/public water and/or sewer,200'; 100'/public water; 80'/public sewer + water,,,1,1,,35,,,No,No,1 acre; 0.34/public water; 0.18/public sewer + water,,55'; 40'/public water and/or sewer,25'; 10'/public water and/or sewer,25'; 10'/public water and/or sewer,200'; 100'/public water; 80'/public sewer + water,,,1,1,,,,35,,,,No,No,1 acre; 0.34/public water; 0.18/public sewer + water,,55'; 40'/public water and/or sewer,25'; 10'/public water and/or sewer,25'; 10'/public water and/or sewer,200'; 100'/public water; 80'/public sewer + water,,,1,1,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,No,1 acre; 0.34/public water; 0.18/public sewer + water,,1,1,,,,No,No,No,No,1 acre; 0.34/public water; 0.18/public sewer + water,1,no; must be w/in 100' of home,50,,1,,,,,,,Yes,No,,Contextual,Contextual,Contextual,Contextual,Contextual,,,Spaces Per Unit,,Feet,,,,,Contextual,,Contextual,Contextual,Contextual,Contextual,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Contextual,,Contextual,Contextual,Contextual,Contextual,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Contextual,,Contextual,Contextual,Contextual,Contextual,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,Contextual,,Spaces Per Unit,Spaces Per Unit,,,,,,,,Contextual,Spaces Per Unit,,Percent,,Bedrooms Per Unit,,,,,,,,,
RS,Orange,Bradford Town,Residential Service,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,,0.14,40,10'; at least 20' between structures,10'; at least 20' between structures,60,70,,1,,35,,,No,No,0.14,,40,10'; at least 20' between structures,10'; at least 20' between structures,60,70,,1,1,,35,,,,,0.14,,40,10'; at least 20' between structures,10'; at least 20' between structures,60,70,,1,1,,,,35,,,,,,0.14,,40,10'; at least 20' between structures,10'; at least 20' between structures,60,70,,1,1,,,,35,,,,,,,0.14,,40,10'; at least 20' between structures,10'; at least 20' between structures,60,70,,1,1,,,,35,,,,,,No,0.14,,1,1,,,,No,No,No,No,0.14,1,no; must be w/in 100' of home,50,,1,,,,,,,Yes,No,,Acres Per Treatment,Feet,Contextual,Contextual,Feet,Percent,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,,Contextual,Contextual,Feet,Percent,,Spaces Per Unit,Spaces Per Unit,,Feet,,,No,No,Acres Per Treatment,,Feet,Contextual,Contextual,Feet,Percent,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,No,No,Acres Per Treatment,,Feet,Contextual,Contextual,Feet,Percent,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,No,No,Acres Per Treatment,,Feet,Contextual,Contextual,Feet,Percent,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,,Spaces Per Unit,Spaces Per Unit,,,,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,,Bedrooms Per Unit,,,,,,,,,
VHD,Orange,Bradford Town,Historic District,Yes,Yes,No,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,Overlay,Overlay,Not Mentioned,Not Mentioned,"Any changes to existing structures must be approved by the planning commission, including additions, alterations, demolition, and relocation of the structure. Change of use/occupancy and routine repairs not affecting the outside of the structure do not require approval. Specific details found in Section 3.13 of bylaws.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR,Orange,Bradford Town,Village Residential,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,,0.14,40,10'; at least 20' between structures,10'; at least 20' between structures,60,70,,1,,35,,,No,No,0.14,,40,10'; at least 20' between structures,10'; at least 20' between structures,60,70,,1,1,,35,,,No,No,0.14,,40,10'; at least 20' between structures,10'; at least 20' between structures,60,70,,1,1,,,,35,,,,No,No,0.14,,40,10'; at least 20' between structures,10'; at least 20' between structures,60,70,,1,1,,,,35,,,,,No,No,0.14,,40,10'; at least 20' between structures,10'; at least 20' between structures,60,70,,1,1,,,,35,,,,,,No,0.14,,1,1,,,,No,No,No,No,0.14,1,no; must be w/in 100' of home,50,,1,,,,,,,Yes,No,,Acres Per Treatment,Feet,Contextual,Contextual,Feet,Percent,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Feet,Contextual,Contextual,Feet,Percent,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Feet,Contextual,Contextual,Feet,Percent,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,,Feet,Contextual,Contextual,Feet,Percent,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,,Feet,Contextual,Contextual,Feet,Percent,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,,Spaces Per Unit,Spaces Per Unit,,,,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,,Bedrooms Per Unit,,,,,,,,,
WET,Orange,Bradford Town,Wetlands,Yes,Yes,No,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,Overlay,Overlay,Not Mentioned,Not Mentioned,The overlay consists of designated wetlands and 50' surrounding the wetlands. Any development w/in this overlay must be issued a state wetlands permit prior to construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
