ABB_DIST_NAME,COUNTY,JXTN,DIST_NAME,DIST_MAP,OVER,EXT_DIST,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,5FDP,ADUDP,AFFDP,PRDDP,NOTES,1F_MIN_LOT,1F_FSET,1F_SSET,1F_RSET,1F_FRONT,1F_MAX_LOT_BLDG,1F_MAX_LOT_IMP,1F_PARK,1F_STORIES,1F_HEIGHT,1F_FTA,1F_MIN_UNIT,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MAX_DENS,2F_FSET,2F_SSET,2F_RSET,2F_FRONT,2F_MAX_LOT_BLDG,2F_MAX_LOT_IMP,2F_PARK_1BR,2F_PARK_2BR,2F_STORIES,2F_HEIGHT,2F_FTA,2F_MIN_UNIT,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MAX_DENS,3F_FSET,3F_SSET,3F_RSET,3F_FRONT,3F_MAX_LOT_BLDG,3F_MAX_LOT_IMP,3F_PARK_1BR,3F_PARK_2BR,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_HEIGHT,3F_FTA,3F_MIN_UNIT,3F_BEDROOMS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MAX_DENS,4F_FSET,4F_SSET,4F_RSET,4F_FRONT,4F_MAX_LOT_BLDG,4F_MAX_LOT_IMP,4F_PARK_1BR,4F_PARK_2BR,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_HEIGHT,4F_FTA,4F_MIN_UNIT,4F_BEDROOMS,4F_MAX_UNIT,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_FRONT,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNIT,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MAX_DENS,AFF_PARK_1BR,AFF_PARK_2BR,AFF_MIN_UNIT,AFF_BEDROOMS,AFF_MAX_UNIT,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_PARK,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_SIZE,ADU_BEDROOMS,PRD_MHP,PRD_MIN_LOT,PRD_MAX_DENS,PRD_MAX_UNIT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,BASE_DENS,1F_MIN_LOT_UNITS,1F_FSET_UNITS,1F_SSET_UNITS,1F_RSET_UNITS,1F_FRONT_UNITS,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP_UNITS,1F_PARK_UNITS,1F_STORIES_UNITS,1F_HEIGHT_UNITS,1F_FTA_UNITS,1F_MIN_UNIT_UNITS,2F_AFF_UNITS,2F_ELD_UNITS,2F_MIN_LOT_UNITS,2F_MAX_DENS_UNITS,2F_FSET_UNITS,2F_SSET_UNITS,2F_RSET_UNITS,2F_FRONT_UNITS,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR_UNITS,2F_PARK_2BR_UNITS,2F_STORIES_UNITS,2F_HEIGHT_UNITS,2F_FTA_UNITS,2F_MIN_UNIT_UNITS,3F_AFF_UNITS,3F_ELD_UNITS,3F_MIN_LOT_UNITS,3F_MAX_DENS_UNITS,3F_FSET_UNITS,3F_SSET_UNITS,3F_RSET_UNITS,3F_FRONT_UNITS,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR_UNITS,3F_PARK_2BR_UNITS,3F_CNXN_H2O_UNITS,3F_CNXN_TRANSIT_UNITS,3F_STORIES_UNITS,3F_HEIGHT_UNITS,3F_FTA_UNITS,3F_MIN_UNIT_UNITS,3F_BEDROOMS_UNITS,4F_AFF_UNITS,4F_ELD_UNITS,4F_MIN_LOT_UNITS,4F_MAX_DENS_UNITS,4F_FSET_UNITS,4F_SSET_UNITS,4F_RSET_UNITS,4F_FRONT_UNITS,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR_UNITS,4F_PARK_2BR_UNITS,4F_CNXN_H2O_UNITS,4F_CNXN_TRANSIT_UNITS,4F_STORIES_UNITS,4F_HEIGHT_UNITS,4F_FTA_UNITS,4F_MIN_UNIT_UNITS,4F_BEDROOMS_UNITS,4F_MAX_UNIT_UNITS,5F_AFF_UNITS,5F_ELD_UNITS,5F_MIN_LOT_UNITS,5F_MAX_DENS_UNITS,5F_FSET_UNITS,5F_SSET_UNITS,5F_RSET_UNITS,5F_FRONT_UNITS,5F_MAX_LOT_BLDG_UNITS,5F_MAX_LOT_IMP_UNITS,5F_PARK_1BR_UNITS,5F_PARK_2BR_UNITS,5F_CNXN_H2O_UNITS,5F_CNXN_TRANSIT_UNITS,5F_STORIES_UNITS,5F_FEET_UNITS,5F_FTA_UNITS,5F_MIN_UNIT_UNITS,5F_BEDROOMS_UNITS,5F_MAX_UNIT_UNITS,AFF_DEF_UNITS,AFF_ELD_ONLY_UNITS,AFF_MIN_LOT_UNITS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR_UNITS,AFF_PARK_2BR_UNITS,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS_UNITS,AFF_MAX_UNIT_UNITS,ADU_EMP_REQD_UNITS,ADU_RENTER_PROH_UNITS,ADU_OWNER_REQD_UNITS,ADU_ELD_UNITS,ADU_MIN_LOT_UNITS,ADU_PARK_UNITS,ADU_PRIM_STRUC_UNITS,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS_UNITS,PRD_MHP_UNITS,PRD_MIN_LOT_UNITS,PRD_MAX_DENS_UNITS,PRD_MAX_UNIT_UNITS,PUD_SUBDV_UNITS,PUD_THRESH_UNITS,PUD_ALLOW_UNITS,PUD_CONSERVE_UNITS,BASE_DENS_UNITS
CD10,Orange,Newbury,Conservation and Natural Resource,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Public Hearing,,10,65,50,50,500,,,,,40,,,No,No,10,,65,50,50,500,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1500,,No,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
FHO,Orange,Newbury,Flood Hazard Overlay,Yes,Yes,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
HAM,Orange,Newbury,Hamlet,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,1,50,25,25,100,,,,,40,,,No,No,1,,50,25,25,100,,,,,,40,,,No,No,1,,50,25,25,100,,,,,,,,40,,,,No,No,1,,50,25,25,100,,,,,,,,40,,,,,No,No,1,,50,25,25,100,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,50,1500,,No,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
IND,Orange,Newbury,Industrial,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
MXU,Orange,Newbury,Mixed Use Commercial,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,2,65,25,25,150,,,,,40,,,No,No,2,,65,25,25,150,,,,,,40,,,No,No,2,,65,25,25,150,,,,,,,,40,,,,No,No,2,,65,25,25,150,,,,,,,,40,,,,,No,No,2,,65,25,25,150,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,50,1500,,Yes,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
NV,Orange,Newbury,Newbury Village,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Public Hearing,,0.5,25,10,10,50,,,,,40,,,No,No,0.5,,25,10,10,50,,,,,,40,,,No,No,0.5,,25,10,10,50,,,,,,,,40,,,,No,No,0.5,,25,10,10,50,,,,,,,,40,,,,,No,No,0.5,,25,10,10,50,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,50,1500,,No,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
R1,Orange,Newbury,Rural 1,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,1,65,25,25,100,,,,,40,,,No,No,1,,65,25,25,100,,,,,,40,,,No,No,1,,65,25,25,100,,,,,,,,40,,,,No,No,1,,65,25,25,100,,,,,,,,40,,,,,No,No,1,,65,25,25,100,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,50,1500,,Yes,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
R2,Orange,Newbury,Rural 2,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,2,65,25,25,200,,,,,40,,,No,No,2,,65,25,25,200,,,,,,40,,,No,No,2,,65,25,25,200,,,,,,,,40,,,,No,No,2,,65,25,25,200,,,,,,,,40,,,,,No,No,2,,65,25,25,200,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,50,1500,,Yes,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
R5,Orange,Newbury,Rural 5,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,5,65,50,50,300,,,,,40,,,No,No,5,,65,50,50,300,,,,,,40,,,No,No,5,,65,50,50,300,,,,,,,,40,,,,No,No,5,,65,50,50,300,,,,,,,,40,,,,,No,No,5,,65,50,50,300,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,50,1500,,Yes,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
SH,Orange,Newbury,Shoreland,Yes,Yes,No,Mixed with Residential,No,No,Public Hearing,Public Hearing,Prohibited,Prohibited,Prohibited,Public Hearing,Not Mentioned,Public Hearing,"1-Family, 2-Family, and ADUs - conditional use approval when within 250 of water. 251-750 feet from water - underlying district regulations apply. ",2,65,10,10,100,,,,,30,,,No,No,2,,65,10,10,100,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1500,,No,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
