ABB_DIST_NAME,COUNTY,JXTN,DIST_NAME,DIST_MAP,OVER,EXT_DIST,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,5FDP,ADUDP,AFFDP,PRDDP,NOTES,1F_MIN_LOT,1F_FSET,1F_SSET,1F_RSET,1F_FRONT,1F_MAX_LOT_BLDG,1F_MAX_LOT_IMP,1F_PARK,1F_STORIES,1F_HEIGHT,1F_FTA,1F_MIN_UNIT,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MAX_DENS,2F_FSET,2F_SSET,2F_RSET,2F_FRONT,2F_MAX_LOT_BLDG,2F_MAX_LOT_IMP,2F_PARK_1BR,2F_PARK_2BR,2F_STORIES,2F_HEIGHT,2F_FTA,2F_MIN_UNIT,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MAX_DENS,3F_FSET,3F_SSET,3F_RSET,3F_FRONT,3F_MAX_LOT_BLDG,3F_MAX_LOT_IMP,3F_PARK_1BR,3F_PARK_2BR,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_HEIGHT,3F_FTA,3F_MIN_UNIT,3F_BEDROOMS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MAX_DENS,4F_FSET,4F_SSET,4F_RSET,4F_FRONT,4F_MAX_LOT_BLDG,4F_MAX_LOT_IMP,4F_PARK_1BR,4F_PARK_2BR,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_HEIGHT,4F_FTA,4F_MIN_UNIT,4F_BEDROOMS,4F_MAX_UNIT,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_FRONT,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNIT,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MAX_DENS,AFF_PARK_1BR,AFF_PARK_2BR,AFF_MIN_UNIT,AFF_BEDROOMS,AFF_MAX_UNIT,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_PARK,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_SIZE,ADU_BEDROOMS,PRD_MHP,PRD_MIN_LOT,PRD_MAX_DENS,PRD_MAX_UNIT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,BASE_DENS,1F_MIN_LOT_UNITS,1F_FSET_UNITS,1F_SSET_UNITS,1F_RSET_UNITS,1F_FRONT_UNITS,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP_UNITS,1F_PARK_UNITS,1F_STORIES_UNITS,1F_HEIGHT_UNITS,1F_FTA_UNITS,1F_MIN_UNIT_UNITS,2F_AFF_UNITS,2F_ELD_UNITS,2F_MIN_LOT_UNITS,2F_MAX_DENS_UNITS,2F_FSET_UNITS,2F_SSET_UNITS,2F_RSET_UNITS,2F_FRONT_UNITS,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR_UNITS,2F_PARK_2BR_UNITS,2F_STORIES_UNITS,2F_HEIGHT_UNITS,2F_FTA_UNITS,2F_MIN_UNIT_UNITS,3F_AFF_UNITS,3F_ELD_UNITS,3F_MIN_LOT_UNITS,3F_MAX_DENS_UNITS,3F_FSET_UNITS,3F_SSET_UNITS,3F_RSET_UNITS,3F_FRONT_UNITS,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR_UNITS,3F_PARK_2BR_UNITS,3F_CNXN_H2O_UNITS,3F_CNXN_TRANSIT_UNITS,3F_STORIES_UNITS,3F_HEIGHT_UNITS,3F_FTA_UNITS,3F_MIN_UNIT_UNITS,3F_BEDROOMS_UNITS,4F_AFF_UNITS,4F_ELD_UNITS,4F_MIN_LOT_UNITS,4F_MAX_DENS_UNITS,4F_FSET_UNITS,4F_SSET_UNITS,4F_RSET_UNITS,4F_FRONT_UNITS,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR_UNITS,4F_PARK_2BR_UNITS,4F_CNXN_H2O_UNITS,4F_CNXN_TRANSIT_UNITS,4F_STORIES_UNITS,4F_HEIGHT_UNITS,4F_FTA_UNITS,4F_MIN_UNIT_UNITS,4F_BEDROOMS_UNITS,4F_MAX_UNIT_UNITS,5F_AFF_UNITS,5F_ELD_UNITS,5F_MIN_LOT_UNITS,5F_MAX_DENS_UNITS,5F_FSET_UNITS,5F_SSET_UNITS,5F_RSET_UNITS,5F_FRONT_UNITS,5F_MAX_LOT_BLDG_UNITS,5F_MAX_LOT_IMP_UNITS,5F_PARK_1BR_UNITS,5F_PARK_2BR_UNITS,5F_CNXN_H2O_UNITS,5F_CNXN_TRANSIT_UNITS,5F_STORIES_UNITS,5F_FEET_UNITS,5F_FTA_UNITS,5F_MIN_UNIT_UNITS,5F_BEDROOMS_UNITS,5F_MAX_UNIT_UNITS,AFF_DEF_UNITS,AFF_ELD_ONLY_UNITS,AFF_MIN_LOT_UNITS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR_UNITS,AFF_PARK_2BR_UNITS,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS_UNITS,AFF_MAX_UNIT_UNITS,ADU_EMP_REQD_UNITS,ADU_RENTER_PROH_UNITS,ADU_OWNER_REQD_UNITS,ADU_ELD_UNITS,ADU_MIN_LOT_UNITS,ADU_PARK_UNITS,ADU_PRIM_STRUC_UNITS,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS_UNITS,PRD_MHP_UNITS,PRD_MIN_LOT_UNITS,PRD_MAX_DENS_UNITS,PRD_MAX_UNIT_UNITS,PUD_SUBDV_UNITS,PUD_THRESH_UNITS,PUD_ALLOW_UNITS,PUD_CONSERVE_UNITS,BASE_DENS_UNITS
UC,Windham,Brattleboro,Urban Center,Yes,No,No,Mixed with Residential,No,No,Public Hearing,Public Hearing,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Prohibited,"No residenital occupancy on the first floor, 15 ft min for setbacks in riparian areas, 2 stories minimum height",0.05,0,0,0,30,,,1,6,,,,No,No,0.05,,0,0,0,30,,,1,1,6,,,,No,No,0.05,,0,0,0,30,,,1,1,Yes,No,6,,,,,No,No,0.05,,0,0,0,30,,,1,1,Yes,Yes,6,,,,,,No,No,0.05,,0,0,0,30,,,1,1,Yes,No,6,,,,,,,,,,,,,,,No,No,Yes,No,,1,No,30,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VC,Windham,Brattleboro,Village Center,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Public Hearing,"2 stories height minimum, setbacks varies based on riparian areas (15 or 25 ft)",0.08,10,6,6,36,80,,1,4,,,,No,No,0.08,,10,6,6,36,80,,1,1,4,,,,No,No,0.08,,10,6,6,36,80,,1,1,Yes,No,4,,,,,No,No,0.08,,10,6,6,36,80,,1,1,Yes,Yes,4,,,,,,No,No,0.08,,10,6,6,36,80,,1,1,Yes,No,4,,,,,,,,,,,,,,,No,No,Yes,No,,1,No,30,900,,Yes,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,Windham,Brattleboro,Service Center,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Public Hearing,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Prohibited,"24 ft height minimum, setbacks varies based on riparian areas (25 or 50 ft)",0.5,20,20,20,90,70,,1,5,,,,No,No,0.5,,20,20,20,90,70,,1,1,5,,,,No,No,0.5,,20,20,20,90,70,,1,1,Yes,No,5,,,,,No,No,0.5,,20,20,20,90,70,,1,1,Yes,Yes,5,,,,,,No,No,0.5,,20,20,20,90,70,,1,1,Yes,No,5,,,,,,,,,,,,,,,No,No,Yes,No,,1,No,30,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,Windham,Brattleboro,Neighborhood Center,Yes,No,No,Mixed with Residential,No,No,Public Hearing,Public Hearing,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Public Hearing,"PRD = Traditional Neighborhood, 24 ft height minimum, setbacks varies based on riparian areas (15 or 25 ft)",0.08,10,6,6,36,80,,1,5,,,,No,No,0.08,,10,6,6,36,80,,1,1,5,,,,No,No,0.08,,10,6,6,36,80,,1,1,Yes,No,5,,,,,No,No,0.08,,10,6,6,36,80,,1,1,Yes,No,5,,,,,,No,No,0.08,,10,6,6,36,80,,1,1,Yes,No,5,,,,,,,,,,,,,,,No,No,Yes,No,,1,No,30,900,,Yes,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU,Windham,Brattleboro,Mixed Use Neightborhod,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Public Hearing,"PRD = Traditional Neighborhood, 2 stories height minimum, setbacks varies based on riparian areas (15 or 25 ft)",0.08,10,6,6,36,80,,1,5,,,,No,No,0.08,,10,6,6,36,80,,1,1,5,,,,No,No,0.08,,10,6,6,36,80,,1,1,Yes,No,5,,,,,No,No,0.08,,10,6,6,36,80,,1,1,Yes,No,5,,,,,,No,No,0.08,,10,6,6,36,80,,1,1,Yes,No,5,,,,,,,,,,,,,,,No,No,Yes,No,,1,No,30,900,,Yes,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-36,Windham,Brattleboro,Resdiential Neighborhood 3600,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Public Hearing,"PRD = Traditional Neighborhood, 2 stories height minimum, setbacks varies based on riparian areas (15 or 25 ft)",0.08,10,6,6,36,80,,1,3,,,,No,No,0.08,,10,6,6,36,80,,1,1,3,,,,No,No,0.08,,10,6,6,36,80,,1,1,No,No,3,,,,,No,No,0.08,,10,6,6,36,80,,1,1,n,n,3,,,,,,No,No,0.08,,10,6,6,36,80,,1,1,n,n,3,,,,,,,,,,,,,,,No,No,Yes,No,,1,No,30,900,,Yes,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-54,Windham,Brattleboro,Resdiential Neighborhood 5400,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Public Hearing,PRD = Traditional Neighborhood,0.12,15,10,10,48,70,,1,3,,,,No,No,0.12,,15,10,10,48,70,,1,1,3,,,,No,No,0.12,,15,10,10,48,70,,1,1,No,No,3,,,,,No,No,0.12,,15,10,10,48,70,,1,1,No,No,3,,,,,,No,No,0.12,,15,10,10,48,70,,1,1,No,No,3,,,,,,,,,,,,,,,No,No,Yes,No,,1,No,30,900,,Yes,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL,Windham,Brattleboro,Rural,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Public Hearing,"PRD = Cottage Cluster, setbacks varies based on riparian areas (50 or 100 ft)",3,40,20,40,300,20,,1,,35,,,No,No,3,0.33,40,20,40,300,20,,1,1,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,,1,No,30,900,,Yes,2,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR,Windham,Brattleboro,Rural Resdiential,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Prohibited,Allowed/Conditional,Not Mentioned,Public Hearing,"PRD = Cottage Cluster, setbacks varies based on riparian areas (25 or 50 ft)",1.5,40,20,40,150,30,,1,,35,,,No,No,1.5,0.67,40,20,40,150,30,,1,1,,35,,,No,No,1.5,0.67,40,20,40,150,30,,1,1,No,No,,35,,,,No,No,1.5,0.67,40,20,40,150,30,,1,1,No,No,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,,1,No,30,900,,Yes,2,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF,Windham,Brattleboro,Waterfront,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Prohibited,setbacks varies based on riparian areas (50 or 100 ft),0.5,20,20,20,90,40,,1,,35,,,No,No,0.5,2,20,20,20,90,40,,1,1,,35,,,No,No,0.5,2,20,20,20,90,40,,1,1,No,No,,35,,,,No,No,0.5,2,20,20,20,90,40,,1,1,No,No,,35,,,,,No,No,0.5,2,20,20,20,90,40,,1,1,No,No,,35,,,,,,,,,,,,,,No,No,Yes,No,,1,No,30,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
