ABB_DIST_NAME,COUNTY,JXTN,DIST_NAME,DIST_MAP,OVER,EXT_DIST,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,5FDP,ADUDP,AFFDP,PRDDP,NOTES,1F_MIN_LOT,1F_FSET,1F_SSET,1F_RSET,1F_FRONT,1F_MAX_LOT_BLDG,1F_MAX_LOT_IMP,1F_PARK,1F_STORIES,1F_HEIGHT,1F_FTA,1F_MIN_UNIT,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MAX_DENS,2F_FSET,2F_SSET,2F_RSET,2F_FRONT,2F_MAX_LOT_BLDG,2F_MAX_LOT_IMP,2F_PARK_1BR,2F_PARK_2BR,2F_STORIES,2F_HEIGHT,2F_FTA,2F_MIN_UNIT,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MAX_DENS,3F_FSET,3F_SSET,3F_RSET,3F_FRONT,3F_MAX_LOT_BLDG,3F_MAX_LOT_IMP,3F_PARK_1BR,3F_PARK_2BR,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_HEIGHT,3F_FTA,3F_MIN_UNIT,3F_BEDROOMS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MAX_DENS,4F_FSET,4F_SSET,4F_RSET,4F_FRONT,4F_MAX_LOT_BLDG,4F_MAX_LOT_IMP,4F_PARK_1BR,4F_PARK_2BR,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_HEIGHT,4F_FTA,4F_MIN_UNIT,4F_BEDROOMS,4F_MAX_UNIT,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_FRONT,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNIT,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MAX_DENS,AFF_PARK_1BR,AFF_PARK_2BR,AFF_MIN_UNIT,AFF_BEDROOMS,AFF_MAX_UNIT,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_PARK,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_SIZE,ADU_BEDROOMS,PRD_MHP,PRD_MIN_LOT,PRD_MAX_DENS,PRD_MAX_UNIT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,BASE_DENS,1F_MIN_LOT_UNITS,1F_FSET_UNITS,1F_SSET_UNITS,1F_RSET_UNITS,1F_FRONT_UNITS,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP_UNITS,1F_PARK_UNITS,1F_STORIES_UNITS,1F_HEIGHT_UNITS,1F_FTA_UNITS,1F_MIN_UNIT_UNITS,2F_AFF_UNITS,2F_ELD_UNITS,2F_MIN_LOT_UNITS,2F_MAX_DENS_UNITS,2F_FSET_UNITS,2F_SSET_UNITS,2F_RSET_UNITS,2F_FRONT_UNITS,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR_UNITS,2F_PARK_2BR_UNITS,2F_STORIES_UNITS,2F_HEIGHT_UNITS,2F_FTA_UNITS,2F_MIN_UNIT_UNITS,3F_AFF_UNITS,3F_ELD_UNITS,3F_MIN_LOT_UNITS,3F_MAX_DENS_UNITS,3F_FSET_UNITS,3F_SSET_UNITS,3F_RSET_UNITS,3F_FRONT_UNITS,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR_UNITS,3F_PARK_2BR_UNITS,3F_CNXN_H2O_UNITS,3F_CNXN_TRANSIT_UNITS,3F_STORIES_UNITS,3F_HEIGHT_UNITS,3F_FTA_UNITS,3F_MIN_UNIT_UNITS,3F_BEDROOMS_UNITS,4F_AFF_UNITS,4F_ELD_UNITS,4F_MIN_LOT_UNITS,4F_MAX_DENS_UNITS,4F_FSET_UNITS,4F_SSET_UNITS,4F_RSET_UNITS,4F_FRONT_UNITS,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR_UNITS,4F_PARK_2BR_UNITS,4F_CNXN_H2O_UNITS,4F_CNXN_TRANSIT_UNITS,4F_STORIES_UNITS,4F_HEIGHT_UNITS,4F_FTA_UNITS,4F_MIN_UNIT_UNITS,4F_BEDROOMS_UNITS,4F_MAX_UNIT_UNITS,5F_AFF_UNITS,5F_ELD_UNITS,5F_MIN_LOT_UNITS,5F_MAX_DENS_UNITS,5F_FSET_UNITS,5F_SSET_UNITS,5F_RSET_UNITS,5F_FRONT_UNITS,5F_MAX_LOT_BLDG_UNITS,5F_MAX_LOT_IMP_UNITS,5F_PARK_1BR_UNITS,5F_PARK_2BR_UNITS,5F_CNXN_H2O_UNITS,5F_CNXN_TRANSIT_UNITS,5F_STORIES_UNITS,5F_FEET_UNITS,5F_FTA_UNITS,5F_MIN_UNIT_UNITS,5F_BEDROOMS_UNITS,5F_MAX_UNIT_UNITS,AFF_DEF_UNITS,AFF_ELD_ONLY_UNITS,AFF_MIN_LOT_UNITS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR_UNITS,AFF_PARK_2BR_UNITS,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS_UNITS,AFF_MAX_UNIT_UNITS,ADU_EMP_REQD_UNITS,ADU_RENTER_PROH_UNITS,ADU_OWNER_REQD_UNITS,ADU_ELD_UNITS,ADU_MIN_LOT_UNITS,ADU_PARK_UNITS,ADU_PRIM_STRUC_UNITS,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS_UNITS,PRD_MHP_UNITS,PRD_MIN_LOT_UNITS,PRD_MAX_DENS_UNITS,PRD_MAX_UNIT_UNITS,PUD_SUBDV_UNITS,PUD_THRESH_UNITS,PUD_ALLOW_UNITS,PUD_CONSERVE_UNITS,BASE_DENS_UNITS
FR,Windsor,Woodstock Town,Forest Reserve,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,28,60,25,25,200,,,2,,35,,,No,No,28,0.07,60,25,25,200,,,2,2,,35,,,No,No,28,0.11,60,25,25,200,,,2,2,Yes,No,,35,,,,No,No,28,0.14,60,25,25,200,,,2,2,Yes,No,,35,,,,,No,No,28,0.18,60,25,25,200,,,2,2,Yes,No,,35,,,,,,,,,,,,,,No,No,No,No,28,2,No,,,,Yes,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,,,,,,,,,,,,Units Per Acre
R-5,Windsor,Woodstock Town,Residential Five Acre,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,5,80 from state route; 60 from town road,25,25,200 from state route; 150 from town road,,,2,,35,,,No,No,5,0.4,80 from state route; 60 from town road,25,25,200 from state route; 150 from town road,,,2,2,,35,,,No,No,5,0.6,80 from state route; 60 from town road,25,25,200 from state route; 150 from town road,,,2,2,Yes,No,,35,,,,No,No,5,0.8,80 from state route; 60 from town road,25,25,200 from state route; 150 from town road,,,2,2,Yes,No,,35,,,,,No,No,5,1,80 from state route; 60 from town road,25,25,200 from state route; 150 from town road,,,2,2,Yes,No,,35,,,,,,,,,,,,,,No,No,No,No,5,2,No,,,,Yes,,,,,,,,,Acres Per Treatment,Alternative,Feet,Feet,Alternative,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Alternative,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Alternative,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,Units Per Acre,Alternative,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Alternative,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,,,,,,,,,,,,Units Per Acre
R-3,Windsor,Woodstock Town,Residential Three Acre,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,3,60,25,25,150 from state route; 50 on cul-de-sac perimeter,,,2,,35,,,No,No,3,0.67,60,25,25,150 from state route; 50 on cul-de-sac perimeter,,,2,2,,35,,,No,No,3,1,60,25,25,150 from state route; 50 on cul-de-sac perimeter,,,2,2,Yes,No,,35,,,,No,No,3,1.33,60,25,25,150 from state route; 50 on cul-de-sac perimeter,,,2,2,Yes,No,,35,,,,,No,No,3,1.33,60,25,25,150 from state route; 50 on cul-de-sac perimeter,,,2,2,Yes,No,,35,,,,,,,,,,,,,,No,No,No,No,3,2,No,,,,Yes,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Alternative,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,,,,,,,,,,,,Units Per Acre
R-1,Windsor,Woodstock Town,Residential One Acre,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,1,80,25,25,100 from state route; 50 from cul-de-sac perimeter,,,2,,35,,,No,No,1,2,80,25,25,100 from state route; 50 from cul-de-sac perimeter,,,2,2,,35,,,No,No,1,3,80,25,25,100 from state route; 50 from cul-de-sac perimeter,,,2,2,Yes,No,,35,,,,No,No,1,4,80,25,25,100 from state route; 50 from cul-de-sac perimeter,,,2,2,Yes,No,,35,,,,,No,No,1,5,80,25,25,100 from state route; 50 from cul-de-sac perimeter,,,2,2,Yes,No,,35,,,,,,,,,,,,,,No,No,No,No,1,2,No,,,,Yes,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Alternative,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,,,,,,,,,,,,Units Per Acre
RLD,Windsor,Woodstock Town,Residential Low Density,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,0.46,50 from state route; 35 from town road,15,25,75,,,2,,35,,,No,No,0.46,4.3,50 from state route; 35 from town road,15,25,75,,,2,2,,35,,,No,No,0.92,3.3,50 from state route; 35 from town road,15,25,75,,,2,2,Yes,No,,35,,,,No,No,0.46,8.7,50 from state route; 35 from town road,15,25,75,,,2,2,Yes,No,,35,,,,,No,No,0.46,10.9,50 from state route; 35 from town road,15,25,75,,,2,2,Yes,No,,35,,,,,,,,,,,,,,No,No,No,No,0.46,2,No,,,,Yes,,,,,,,,,Acres Per Treatment,Alternative,Feet,Feet,Feet,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Alternative,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Alternative,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,Units Per Acre,Alternative,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Alternative,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,,,,,,,,,,,,Units Per Acre
RMD,Windsor,Woodstock Town,Residential Medium Density,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,0.18,35,10,15,50,,,2,,35,,,No,No,0.18,11.1,35,10,15,50,,,2,2,,35,,,No,No,0.37,8.1,35,10,15,50,,,2,2,Yes,No,,35,,,,No,No,0.18,22.2,35,10,15,50,,,2,2,Yes,No,,35,,,,,No,No,0.18,27.8,35,10,15,50,,,2,2,Yes,No,,35,,,,,,,,,,,,,,No,No,No,No,0.18,2,No,,,,Yes,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,,,,,,,,,,,,Units Per Acre
RHD,Windsor,Woodstock Town,Residential High Density,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,0.11,35,10,15,50,,,2,,35,,,No,No,0.11,18.2,35,10,15,50,,,2,2,,35,,,No,No,0.23,13,35,10,15,50,,,2,2,Yes,No,,35,,,,No,No,0.11,36.4,35,10,15,50,,,2,2,Yes,No,,35,,,,,No,No,0.11,45.5,35,10,15,50,,,2,2,Yes,No,,35,,,,,,,,,,,,,,No,No,No,No,0.11,2,No,,,,Yes,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,,,,,,,,,,,,Units Per Acre
R/O,Windsor,Woodstock Town,Residential/Office,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,1,50,25,25,,,,2,,35,,,No,No,1,2,50,25,25,,,,2,2,,35,,,No,No,1,3,50,25,25,,,,2,2,Yes,No,,35,,,,No,No,1,4,50,25,25,,,,2,2,Yes,No,,35,,,,,No,No,1,4,50,25,25,,,,2,2,Yes,No,,35,,,,,,,,,,,,,,No,No,No,No,1,2,No,,,,Yes,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,,,,,,,,,,,,Units Per Acre
HC,Windsor,Woodstock Town,Hamlet/Commercial,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,0.46,50 from state route; 40 from town road,10,15,100 from state route; 75 from town road; 50 from cul-de-sac perimeter,,,2,,35,,,No,No,0.46,4.3,50 from state route; 40 from town road,10,15,100 from state route; 75 from town road; 50 from cul-de-sac perimeter,,,2,2,,35,,,No,No,0.46,6.5,50 from state route; 40 from town road,10,15,100 from state route; 75 from town road; 50 from cul-de-sac perimeter,,,2,2,Yes,No,,35,,,,No,No,0.46,8.7,50 from state route; 40 from town road,10,15,100 from state route; 75 from town road; 50 from cul-de-sac perimeter,,,2,2,Yes,No,,35,,,,,No,No,0.46,10.9,50 from state route; 40 from town road,10,15,100 from state route; 75 from town road; 50 from cul-de-sac perimeter,,,2,2,Yes,No,,35,,,,,,,,,,,,,,No,No,No,No,0.46,2,,,,,Yes,,,,,,,,,Acres Per Treatment,Alternative,Feet,Feet,Alternative,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Alternative,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Alternative,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,Units Per Acre,Alternative,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Alternative,Feet,Feet,Alternative,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,,,,,,,,,,,,Units Per Acre
C/LI,Windsor,Woodstock Town,Commercial/Light Industrial,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Public Hearing,,1,,,,,,,2,,35,,,No,No,1,2,50,25,25,150,,,2,2,,35,,,No,No,1,3,50,25,25,150,,,2,2,Yes,No,,35,,,,No,No,1,4,50,25,25,150,,,2,2,Yes,No,,35,,,,,No,No,1,5,50,25,25,150,,,2,2,Yes,No,,35,,,,,,,,,,,,,,No,No,No,No,1,2,No,,,,Yes,,,,,,,,,Acres Per Treatment,Feet,Feet,Feet,Feet,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,,,,,,,,,,,,Units Per Acre
