ABB_DIST_NAME,COUNTY,JXTN,DIST_NAME,DIST_MAP,OVER,EXT_DIST,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,5FDP,ADUDP,AFFDP,PRDDP,NOTES,1F_MIN_LOT,1F_FSET,1F_SSET,1F_RSET,1F_FRONT,1F_MAX_LOT_BLDG,1F_MAX_LOT_IMP,1F_PARK,1F_STORIES,1F_HEIGHT,1F_FTA,1F_MIN_UNIT,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MAX_DENS,2F_FSET,2F_SSET,2F_RSET,2F_FRONT,2F_MAX_LOT_BLDG,2F_MAX_LOT_IMP,2F_PARK_1BR,2F_PARK_2BR,2F_STORIES,2F_HEIGHT,2F_FTA,2F_MIN_UNIT,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MAX_DENS,3F_FSET,3F_SSET,3F_RSET,3F_FRONT,3F_MAX_LOT_BLDG,3F_MAX_LOT_IMP,3F_PARK_1BR,3F_PARK_2BR,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_HEIGHT,3F_FTA,3F_MIN_UNIT,3F_BEDROOMS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MAX_DENS,4F_FSET,4F_SSET,4F_RSET,4F_FRONT,4F_MAX_LOT_BLDG,4F_MAX_LOT_IMP,4F_PARK_1BR,4F_PARK_2BR,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_HEIGHT,4F_FTA,4F_MIN_UNIT,4F_BEDROOMS,4F_MAX_UNIT,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_FRONT,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNIT,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MAX_DENS,AFF_PARK_1BR,AFF_PARK_2BR,AFF_MIN_UNIT,AFF_BEDROOMS,AFF_MAX_UNIT,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_PARK,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_SIZE,ADU_BEDROOMS,PRD_MHP,PRD_MIN_LOT,PRD_MAX_DENS,PRD_MAX_UNIT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,BASE_DENS,1F_MIN_LOT_UNITS,1F_FSET_UNITS,1F_SSET_UNITS,1F_RSET_UNITS,1F_FRONT_UNITS,1F_MAX_LOT_BLDG_UNITS,1F_MAX_LOT_IMP_UNITS,1F_PARK_UNITS,1F_STORIES_UNITS,1F_HEIGHT_UNITS,1F_FTA_UNITS,1F_MIN_UNIT_UNITS,2F_AFF_UNITS,2F_ELD_UNITS,2F_MIN_LOT_UNITS,2F_MAX_DENS_UNITS,2F_FSET_UNITS,2F_SSET_UNITS,2F_RSET_UNITS,2F_FRONT_UNITS,2F_MAX_LOT_BLDG_UNITS,2F_MAX_LOT_IMP_UNITS,2F_PARK_1BR_UNITS,2F_PARK_2BR_UNITS,2F_STORIES_UNITS,2F_HEIGHT_UNITS,2F_FTA_UNITS,2F_MIN_UNIT_UNITS,3F_AFF_UNITS,3F_ELD_UNITS,3F_MIN_LOT_UNITS,3F_MAX_DENS_UNITS,3F_FSET_UNITS,3F_SSET_UNITS,3F_RSET_UNITS,3F_FRONT_UNITS,3F_MAX_LOT_BLDG_UNITS,3F_MAX_LOT_IMP_UNITS,3F_PARK_1BR_UNITS,3F_PARK_2BR_UNITS,3F_CNXN_H2O_UNITS,3F_CNXN_TRANSIT_UNITS,3F_STORIES_UNITS,3F_HEIGHT_UNITS,3F_FTA_UNITS,3F_MIN_UNIT_UNITS,3F_BEDROOMS_UNITS,4F_AFF_UNITS,4F_ELD_UNITS,4F_MIN_LOT_UNITS,4F_MAX_DENS_UNITS,4F_FSET_UNITS,4F_SSET_UNITS,4F_RSET_UNITS,4F_FRONT_UNITS,4F_MAX_LOT_BLDG_UNITS,4F_MAX_LOT_IMP_UNITS,4F_PARK_1BR_UNITS,4F_PARK_2BR_UNITS,4F_CNXN_H2O_UNITS,4F_CNXN_TRANSIT_UNITS,4F_STORIES_UNITS,4F_HEIGHT_UNITS,4F_FTA_UNITS,4F_MIN_UNIT_UNITS,4F_BEDROOMS_UNITS,4F_MAX_UNIT_UNITS,5F_AFF_UNITS,5F_ELD_UNITS,5F_MIN_LOT_UNITS,5F_MAX_DENS_UNITS,5F_FSET_UNITS,5F_SSET_UNITS,5F_RSET_UNITS,5F_FRONT_UNITS,5F_MAX_LOT_BLDG_UNITS,5F_MAX_LOT_IMP_UNITS,5F_PARK_1BR_UNITS,5F_PARK_2BR_UNITS,5F_CNXN_H2O_UNITS,5F_CNXN_TRANSIT_UNITS,5F_STORIES_UNITS,5F_FEET_UNITS,5F_FTA_UNITS,5F_MIN_UNIT_UNITS,5F_BEDROOMS_UNITS,5F_MAX_UNIT_UNITS,AFF_DEF_UNITS,AFF_ELD_ONLY_UNITS,AFF_MIN_LOT_UNITS,AFF_MAX_DENS_UNITS,AFF_PARK_1BR_UNITS,AFF_PARK_2BR_UNITS,AFF_MIN_UNIT_UNITS,AFF_BEDROOMS_UNITS,AFF_MAX_UNIT_UNITS,ADU_EMP_REQD_UNITS,ADU_RENTER_PROH_UNITS,ADU_OWNER_REQD_UNITS,ADU_ELD_UNITS,ADU_MIN_LOT_UNITS,ADU_PARK_UNITS,ADU_PRIM_STRUC_UNITS,ADU_MAX_PCT_UNITS,ADU_MAX_SIZE_UNITS,ADU_BEDROOMS_UNITS,PRD_MHP_UNITS,PRD_MIN_LOT_UNITS,PRD_MAX_DENS_UNITS,PRD_MAX_UNIT_UNITS,PUD_SUBDV_UNITS,PUD_THRESH_UNITS,PUD_ALLOW_UNITS,PUD_CONSERVE_UNITS,BASE_DENS_UNITS
COM,Windsor,Woodstock,Community,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Not Mentioned,Not Mentioned,Prohibited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Acres Per Treatment,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,Stories,Feet,Ratio,Square Feet,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,Percent,Percent,Spaces Per Unit,Spaces Per Unit,,,Stories,Feet,Ratio,Square Feet,Bedrooms Per Unit,Units Per Building,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
R3,Windsor,Woodstock,Residential Three Acre,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Not Mentioned,Not Mentioned,Public Hearing,,3,"80 ft on Routes 4, 12, or 106; 60 ft otherwise",25,25,"100 feet on Routes 4, 12, and 106; 75 ft along a street; 50 ft at the end of a cul-de-sac",,,2,,35,,,No,No,3,,"80 ft on Routes 4, 12, or 106; 60 ft otherwise",25,25,"100 feet on Routes 4, 12, and 106; 75 ft along a street; 50 ft at the end of a cul-de-sac",,,2,2,,35,,,No,No,3,,"80 ft on Routes 4, 12, or 106; 60 ft otherwise",25,25,"100 feet on Routes 4, 12, and 106; 75 ft along a street; 50 ft at the end of a cul-de-sac",,,2,2,No,No,,35,,,,No,No,3,,"80 ft on Routes 4, 12, or 106; 60 ft otherwise",25,25,"100 feet on Routes 4, 12, and 106; 75 ft along a street; 50 ft at the end of a cul-de-sac",,,2,2,No,No,,35,,,,,No,No,3,,"80 ft on Routes 4, 12, or 106; 60 ft otherwise",25,25,"100 feet on Routes 4, 12, and 106; 75 ft along a street; 50 ft at the end of a cul-de-sac",,,2,2,No,No,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Acres Per Treatment,Contextual,Feet,Feet,Contextual,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Contextual,Feet,Feet,Contextual,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Contextual,Feet,Feet,Contextual,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,,Contextual,Feet,Feet,Contextual,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,,Contextual,Feet,Feet,Contextual,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
R1,Windsor,Woodstock,Residential One Acre,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Not Mentioned,Not Mentioned,Public Hearing,,1,60,25,25, 75 ft along a street; 50 ft at the end of a cul-de-sac,,,2,,35,,,No,No,1,,60,25,25, 75 ft along a street; 50 ft at the end of a cul-de-sac,,,2,2,,35,,,No,No,1,,60,25,25, 75 ft along a street; 50 ft at the end of a cul-de-sac,,,2,2,No,No,,35,,,,No,No,1,,60,25,25, 75 ft along a street; 50 ft at the end of a cul-de-sac,,,2,2,No,No,,35,,,,,No,No,1,,60,25,25, 75 ft along a street; 50 ft at the end of a cul-de-sac,,,2,2,No,No,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Acres Per Treatment,Feet,Feet,Feet,Contextual,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
RLD,Windsor,Woodstock,Residential Low Desnity,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Not Mentioned,Not Mentioned,Public Hearing,,0.46,"50 ft on Routes 4, 12, and 106; 35 ft otherwise",15,25,75,,,2,,35,,,No,No,0.46,,"50 ft on Routes 4, 12, and 106; 35 ft otherwise",15,25,75,,,2,2,,35,,,No,No,0.92,,"50 ft on Routes 4, 12, and 106; 35 ft otherwise",15,25,75,,,2,2,No,No,,35,,,,No,No,0.92,,"50 ft on Routes 4, 12, and 106; 35 ft otherwise",15,25,75,,,2,2,No,No,,35,,,,,No,No,0.92,,"50 ft on Routes 4, 12, and 106; 35 ft otherwise",15,25,75,,,2,2,No,No,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Acres Per Treatment,Contextual,Feet,Feet,Feet,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Contextual,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Contextual,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,,Contextual,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,,Contextual,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
RMD,Windsor,Woodstock,Residential Medium Density,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Not Mentioned,Not Mentioned,Public Hearing,,0.18,"35 ft on Routes 4, 12, and 106; 25 ft otherwise",15,20,50,,,2,,35,,,No,No,0.18,,"35 ft on Routes 4, 12, and 106; 25 ft otherwise",15,20,50,,,2,2,,35,,,No,No,0.37,,"35 ft on Routes 4, 12, and 106; 25 ft otherwise",15,20,50,,,2,2,No,No,,35,,,,No,No,0.37,,"35 ft on Routes 4, 12, and 106; 25 ft otherwise",15,20,50,,,2,2,No,No,,35,,,,,No,No,0.37,,"35 ft on Routes 4, 12, and 106; 25 ft otherwise",15,20,50,,,2,2,No,No,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Acres Per Treatment,Contextual,Feet,Feet,Feet,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Contextual,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Contextual,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,,Contextual,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,,Contextual,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
RHD,Windsor,Woodstock,Residential High Density,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Not Mentioned,Not Mentioned,Public Hearing,,0.125,25,15,20,50,,,2,,35,,,No,No,0.125,,25,15,20,50,,,2,2,,35,,,No,No,0.25,,25,15,20,50,,,2,2,No,No,,35,,,,No,No,0.25,,25,15,20,50,,,2,2,No,No,,35,,,,,No,No,0.25,,25,15,20,50,,,2,2,No,No,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Acres Per Treatment,Feet,Feet,Feet,Feet,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
RO,Windsor,Woodstock,Residential/Office,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Not Mentioned,Not Mentioned,Public Hearing,,0.125,30,15,,75,,,2,,35,,,No,No,0.125,,30,15,,75,,,2,2,,35,,,No,No,0.125,,30,15,,75,,,2,2,No,No,,35,,,,No,No,0.125,,30,15,,75,,,2,2,No,No,,35,,,,,No,No,0.125,,30,15,,75,,,2,2,No,No,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Acres Per Treatment,Feet,Feet,,Feet,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
CC,Windsor,Woodstock,Central Commercial,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Not Mentioned,Not Mentioned,Public Hearing,,0.125,30,,,50,,,2,,35,,,No,No,0.125,,30,,,50,,,2,2,,35,,,No,No,0.125,,30,,,50,,,2,2,No,No,,35,,,,No,No,0.125,,30,,,50,,,2,2,No,No,,35,,,,,No,No,0.125,,30,,,50,,,2,2,No,No,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Yes,,Acres Per Treatment,Feet,,,Feet,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Feet,,,Feet,,,Spaces Per Unit,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,,Feet,,,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,,Feet,,,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,,Feet,,,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
CLI,Windsor,Woodstock,Commercial/Light Industrial,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Not Mentioned,Not Mentioned,Public Hearing,,0.23,30,15,,50,,,2,,35,,,No,No,0.23,8,30,15,,50,,,2,2,35,,,,No,No,0.23,8,30,15,,50,,,2,2,No,No,,35,,,,No,No,0.23,8,30,15,,50,,,2,2,No,No,,35,,,,,No,No,0.23,8,30,15,,50,,,2,2,No,No,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Yes,8,Acres Per Treatment,Feet,Feet,,Feet,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,,Feet,,,Spaces Per Unit,Spaces Per Unit,Feet,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
LC,Windsor,Woodstock,Light Commercial,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Not Mentioned,Not Mentioned,Public Hearing,,0.23,50,15,20,50,,,2,,35,,,No,No,0.23,8,50,15,20,50,,,2,2,35,,,,No,No,0.23,8,50,15,20,50,,,2,2,No,No,,35,,,,No,No,0.23,8,50,15,20,50,,,2,2,No,No,,35,,,,,No,No,0.23,8,50,15,20,50,,,2,2,No,No,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Yes,8,Acres Per Treatment,Feet,Feet,Feet,Feet,,,Spaces Per Unit,,Feet,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,Feet,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Feet,Feet,Feet,Feet,,,Spaces Per Unit,Spaces Per Unit,,,,Feet,,,,,,,Acres Per Treatment,Units Per Acre,Spaces Per Unit,Spaces Per Unit,Square Feet,Bedrooms Per Unit,Units Per Building,,,,,Acres Per Treatment,Spaces Per Unit,,Percent,Square Feet,Bedrooms Per Unit,,Acres Per Treatment,Units Per Acre,,,,,,Units Per Acre
