,Status,Last Updated,Jurisdiction Status,Jurisdiction Last Updated,State,County,Jurisdiction,Parent Jurisdiction,Abbreviated District Name,Full District Name,Effective Start Date,Changed or Expired,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Most Common Nonresidential Use Permitted,Affordable Housing District,Elderly Housing District,Internal Notes,Visible Atlas Notes,1-Family Treatment,1-Family Min. Lot Size,1-Family Min. Lot Size Units,1-Family Front Setback,1-Family Front Setback Units,1-Family Side Setback,1-Family Side Setback Units,1-Family Rear Setback,1-Family Rear Setback Units,1-Family Max Lot Coverage - Buildings,1-Family Max Lot Coverage - Buildings Units,1-Family Max Lot Coverage - Buildings & Impervious Surface,1-Family Max Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. Parking,1-Family Min. Parking Units,1-Family Max Stories,1-Family Max Stories Units,1-Family Max Height,1-Family Max Height Units,1-Family Floor to Area Ratio,1-Family Floor to Area Ratio Units,1-Family Min. Unit Size,1-Family Min. Unit Size Units,2-Family Treatment,2-Family Affordable Only,2-Family Elderly Only,2-Family Min Lot Size,2-Family Min Lot Size Units,2-Family Max Density,2-Family Max Density Units,2-Family Front Setback,2-Family Front Setback Units,2-Family Side Setback,2-Family Side Setback Units,2-Family Rear Setback,2-Family Rear Setback Units,2-Family Max Lot Coverage Buildings,2-Family Max Lot Coverage Buildings Units,2-Family Max Lot Coverage Buildings & Impervious,2-Family Max Lot Coverage Buildings & Impervious Units,2-Family Min Parking Per Studio/1BR,2-Family Min Parking Per Studio/1BR Units,2-Family Min Parking Per 2+ BR,2-Family Min Parking Per 2+ BR Units,2-Family Max Stories,2-Family Max Stories Units,2-Family Max Height,2-Family Max Height Units,2-Family Floor to Area Ratio,2-Family Floor to Area Ratio Units,2-Family Min Unit Size,2-Family Min Unit Size Units,3-Family Treatment,3-Family Affordable Only,3-Family Elderly Only,3-Family Min Lot Size,3-Family Min Lot Size Units,3-Family Max Density,3-Family Max Density Units,3-Family Front Setback,3-Family Front Setback Units,3-Family Side Setback,3-Family Side Setback Units,3-Family Rear Setback,3-Family Rear Setback Units,3-Family Max Lot Coverage Buildings,3-Family Max Lot Coverage Buildings Units,3-Family Max Lot Coverage Buildings & Impervious,3-Family Max Lot Coverage Buildings & Impervious Units,3-Family Min Parking Per Studio/1BR,3-Family Min Parking Per Studio/1BR Units,3-Family Min Parking Per 2+ BR,3-Family Min Parking Per 2+ BR Units,3-Family Sewer/Water Required,3-Family Public Transit Required,3-Family Max Stories,3-Family Max Stories Units,3-Family Max Height,3-Family Max Height Units,3-Family Floor to Area Ratio,3-Family Floor to Area Ratio Units,3-Family Min Unit Size,3-Family Min Unit Size Units,3-Family Max Bedrooms,3-Family Max Bedrooms Units,4+-Family Treatment,4+-Family Affordable Only,4+-Family Elderly Only,4+-Family Min Lot Size,4+-Family Min Lot Size Units,4+-Family Max Density,4+-Family Max Density Units,4+-Family Front Setback,4+-Family Front Setback Units,4+-Family Side Setback,4+-Family Side Setback Units,4+-Family Rear Setback,4+-Family Rear Setback Units,4+-Family Max Lot Coverage Buildings,4+-Family Max Lot Coverage Buildings Units,4+-Family Max Lot Coverage Buildings & Impervious,4+-Family Max Lot Coverage Buildings & Impervious Units,4+-Family Min Parking Per Studio/1BR,4+-Family Min Parking Per Studio/1BR Units,4+-Family Min Parking Per 2+ BR,4+-Family Min Parking Per 2+ BR Units,4+-Family Sewer/Water Required,4+-Family Public Transit Required,4+-Family Max Stories,4+-Family Max Stories Units,4+-Family Max Height,4+-Family Max Height Units,4+-Family Floor to Area Ratio,4+-Family Floor to Area Ratio Units,4+-Family Min Unit Size,4+-Family Min Unit Size Units,4+-Family Max Bedrooms,4+-Family Max Bedrooms Units,4+-Family Max Units per Building,4+-Family Max Units per Building Units,Affordable Housing Treatment,Affordable Housing Definition,Affordable Elderly Only,Affordable Min Lot Size,Affordable Min Lot Size Units,Affordable Max Density,Affordable Max Density Units,Affordable Min Parking Per Studio/1BR,Affordable Min Parking Per Studio/1BR Units,Affordable Min Parking Per 2+ BR,Affordable Min Parking Per 2+ BR Units,Affordable Sewer/Water Required,Affordable Public Transit Required,Affordable Min Unit Size,Affordable Min Unit Size Units,Affordable Max Bedrooms,Affordable Max Bedrooms Units,Affordable Max Units per Building,Affordable Max Units per Building Units,ADU Treatment,ADU Employee/Family Required,ADU Renter Prohibited,ADU Owner Occupancy Required,ADU Elderly Only,ADU Min Lot Size,ADU Min Lot Size Units,ADU Min Parking,ADU Min Parking Units,ADU Only Primary Structure,ADU Max Size (% of Main),ADU Max Size (% of Main) Units,ADU Max Size (sq ft),ADU Max Size (sq ft) Units,ADU Max Bedrooms,ADU Max Bedrooms Units,PRD Treatment,PRD Mobile or Manufactured,PRD Min Development Size,PRD Min Development Size Units,PRD Max Density,PRD Max Density Units,PRD Max Units,PRD Max Units Units,5+Family Affordable Housing Only,5+Family Elderly Housing Only,5+Family Min. Lot (ACRES),5+Family Max. Density (UNITS/ACRE),5+Family Front Setback (# of feet),5+Family Side Setback (# of feet),5+Family Rear Setback (# of feet),5+Family Max. Lot Coverage - Buildings (%),5+Family Max. Lot Coverage - Buildings & Imperviou,5+Family Min. # Parking Spaces Per Studio or 1BR,5+Family Min. # Parking Spaces Per 2+ BR,5+Family Connection to Sewer and/or Water Required,5+Family Connection or Proximity to Public Transit,5+Family Max. Height (# of stories),5+Family Max. Height (# of feet),5+Family Floor to Area Ratio,5+Family Min. Unit Size (SF),5+Family Max. # Bedrooms Per Unit,5+Family Max. # Units Per Building,Base Residential Density (#dwellings/acre),1-Family Lot Frontage Requirement,2-Family Lot Frontage Requirement,3-Family Lot Frontage Requirement,4-Family Lot Frontage Requirement,5+-Family Lot Frontage Requirement,PUD required with Subdivision,PUD Threshold #,PUD allowed,PUD requiring land conservation,Unique GIS schema identifier
0,Completed,2024-05-02,Published,2024-06-05,Vermont,Bennington County,Woodford,,F,Forest,2023-09-05,,No,No,No,Mixed with Residential,Open Space/Light Recreation,No,No,,,Allowed/Conditional,15.0,Acres,40,Feet,30.0,Feet,50.0,Feet,10.0,Percent,,,,,,,30.0,Feet,,,,,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,f,,
1,Completed,2024-06-04,Published,2024-06-05,Vermont,Bennington County,Woodford,,FHO,Flood Hazard Overlay,2023-09-05,,Yes,No,Yes,Overlay not Affecting Use,,No,No,,,Overlay,,,,,,,,,,,,,,,,,,,,,,,Overlay,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Overlay,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Overlay,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Not Mentioned,No,No,No,No,,,,,No,,,,,,,Not Mentioned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Completed,2024-05-02,Published,2024-06-05,Vermont,Bennington County,Woodford,,I/C,Industrial/Commercial,2023-09-05,,No,No,No,Mixed with Residential,Mixed - Industrial-Commercial,No,No,,,Allowed/Conditional,5.0,Acres,50,Feet,50.0,Feet,50.0,Feet,20.0,Percent,,,,,,,,,,,,,Allowed/Conditional,No,No,5.0,Acres per 2-Family,,,50.0,Feet,50.0,Feet,50.0,Feet,20.0,Percent,,,,,,,,,,,,,,,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Public Hearing,No,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,t,,t,,
3,Completed,2024-05-03,Published,2024-06-05,Vermont,Bennington County,Woodford,,R,Recreation,2023-09-05,,No,No,No,Nonresidential,Cultural/Entertainment/Tourist,No,No,,,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
4,Completed,2024-05-03,Published,2024-06-05,Vermont,Bennington County,Woodford,,RC,Roadside Commercial,2023-09-05,,No,No,No,Mixed with Residential,Mixed - Specified Commercial Uses,No,No,,,Allowed/Conditional,2.0,Acres,50,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,30.0,Feet,,,,,Allowed/Conditional,No,No,4.0,Acres per 2-Family,,,50.0,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,,,30.0,Feet,,,,,Public Hearing,No,No,6.0,Acres per 3-Family,,,50.0,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,Public Hearing,No,No,8.0,Acres per 4+-Family,,,50.0,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,f,f,,,50.0,50.0,50.0,10.0,,,,f,f,,30.0,,,,,0.2,,,,,,t,,t,t,
5,Completed,2024-05-04,Published,2024-06-05,Vermont,Bennington County,Woodford,,RR-1,Rural Residential - 1 Acre,2024-05-04,,Yes,No,No,Primarily Residential,,No,No,,"Rural Residential (RR) district mentioned once in bylaws but does not appear on map. RR-1, RR-5, and RR-10 are fully detailed in bylaws and appear on map.",Allowed/Conditional,1.0,Acres,40,Feet,30.0,Feet,40.0,Feet,10.0,Percent,,,,,,,30.0,Feet,,,,,Allowed/Conditional,No,No,1.0,Acres per 2-Family,,,40.0,Feet,30.0,Feet,40.0,Feet,10.0,Percent,,,,,,,,,30.0,Feet,,,,,Public Hearing,No,No,3.0,Acres per 3-Family,,,50.0,Feet,35.0,Feet,35.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,Public Hearing,No,No,3.0,Acres per 4+-Family,,,50.0,Feet,35.0,Feet,35.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Allowed/Conditional,Yes,5.0,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Completed,2024-05-04,Published,2024-06-05,Vermont,Bennington County,Woodford,,RR-10,Rural Residential - 10 Acres,2024-05-04,,Yes,No,No,Primarily Residential,,No,No,,"Rural Residential (RR) district mentioned once in bylaws but does not appear on map. RR-1, RR-5, and RR-10 are fully detailed in bylaws and appear on map.",Allowed/Conditional,10.0,Acres,50,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,30.0,Feet,,,,,Allowed/Conditional,No,No,10.0,Acres per 2-Family,,,50.0,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,,,30.0,Feet,,,,,Public Hearing,No,No,3.0,Acres per 3-Family,,,50.0,Feet,35.0,Feet,35.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,Public Hearing,No,No,3.0,Acres per 4+-Family,,,50.0,Feet,35.0,Feet,35.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Allowed/Conditional,Yes,5.0,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Completed,2024-05-04,Published,2024-06-05,Vermont,Bennington County,Woodford,,RR-5,Rural Residential - 5 Acres,2024-05-04,,Yes,No,No,Primarily Residential,,No,No,,"Rural Residential (RR) district mentioned once in bylaws but does not appear on map. RR-1, RR-5, and RR-10 are fully detailed in bylaws and appear on map.",Allowed/Conditional,5.0,Acres,50,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,30.0,Feet,,,,,Allowed/Conditional,No,No,5.0,Acres per 2-Family,,,50.0,Feet,50.0,Feet,50.0,Feet,10.0,Percent,,,,,,,,,30.0,Feet,,,,,Public Hearing,No,No,3.0,Acres per 3-Family,,,50.0,Feet,35.0,Feet,35.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,Public Hearing,No,No,3.0,Acres per 4+-Family,,,50.0,Feet,35.0,Feet,35.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Allowed/Conditional,Yes,5.0,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Completed,2024-05-04,Published,2024-06-05,Vermont,Bennington County,Woodford,,RR/RC,Rural Residential/Roadside Commercial,2023-09-05,,No,No,No,Mixed with Residential,Mixed - Specified Commercial Uses,No,No,,,Allowed/Conditional,1.0,Acres,40,Feet,30.0,Feet,40.0,Feet,10.0,Percent,,,,,,,30.0,Feet,,,,,Allowed/Conditional,No,No,2.0,Acres per 2-Family,,,40.0,Feet,30.0,Feet,40.0,Feet,10.0,Percent,,,,,,,,,30.0,Feet,,,,,Public Hearing,No,No,3.0,Acres per 3-Family,,,40.0,Feet,30.0,Feet,40.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,Public Hearing,No,No,4.0,Acres per 4+-Family,,,40.0,Feet,30.0,Feet,40.0,Feet,10.0,Percent,,,,,,,No,No,,,30.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Public Hearing,Yes,5.0,Acres per PRD,,,,,f,f,,,40.0,40.0,40.0,10.0,,,,f,f,,30.0,,,,,1.0,,,,,,t,,t,t,
9,Completed,2024-05-03,Published,2024-06-05,Vermont,Bennington County,Woodford,,WLE,Woodford Lake Estates,2023-09-05,,No,No,No,Mixed with Residential,Open Space/Light Recreation,No,No,,,Allowed/Conditional,0.23,Acres,20 from road; 25  from lakefront,Alternatives,20.0,Feet,20.0,Feet,20.0,Percent,10.0,Percent,,,,,30.0,Feet,,,,,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,Yes,Yes,Yes,No,,,,,No,30.0,Percent of Main Unit,600.0,Square Feet,,,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,f,,
