,ABB_DIST_NAME,COUNTY,JXTN,DIST_NAME,DIST_MAP,OVER,EXT_DIST,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,5FDP,ADUDP,AFFDP,PRDDP,NOTES,1F_MIN_LOT,1F_FSET,1F_SSET,1F_RSET,1F_FRONT,1F_MAX_LOT_BLDG,1F_MAX_LOT_IMP,1F_PARK,1F_STORIES,1F_HEIGHT,1F_FTA,1F_MIN_UNIT,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MAX_DENS,2F_FSET,2F_SSET,2F_RSET,2F_FRONT,2F_MAX_LOT_BLDG,2F_MAX_LOT_IMP,2F_PARK_1BR,2F_PARK_2BR,2F_STORIES,2F_HEIGHT,2F_FTA,2F_MIN_UNIT,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MAX_DENS,3F_FSET,3F_SSET,3F_RSET,3F_FRONT,3F_MAX_LOT_BLDG,3F_MAX_LOT_IMP,3F_PARK_1BR,3F_PARK_2BR,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_HEIGHT,3F_FTA,3F_MIN_UNIT,3F_BEDROOMS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MAX_DENS,4F_FSET,4F_SSET,4F_RSET,4F_FRONT,4F_MAX_LOT_BLDG,4F_MAX_LOT_IMP,4F_PARK_1BR,4F_PARK_2BR,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_HEIGHT,4F_FTA,4F_MIN_UNIT,4F_BEDROOMS,4F_MAX_UNIT,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_FRONT,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNIT,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MAX_DENS,AFF_PARK_1BR,AFF_PARK_2BR,AFF_MIN_UNIT,AFF_BEDROOMS,AFF_MAX_UNIT,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_PARK,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_SIZE,ADU_BEDROOMS,PRD_MHP,PRD_MIN_LOT,PRD_MAX_DENS,PRD_MAX_UNIT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,BASE_DENS,1F_MIN_LOT_COND_ALT,1F_FSET_COND_ALT,1F_SSET_COND_ALT,1F_RSET_COND_ALT,1F_FRONT_COND_ALT,1F_MAX_LOT_BLDG_COND_ALT,1F_MAX_LOT_IMP_COND_ALT,1F_PARK_COND_ALT,1F_STORIES_COND_ALT,1F_HEIGHT_COND_ALT,1F_FTA_COND_ALT,1F_MIN_UNIT_COND_ALT,2F_AFF_COND_ALT,2F_ELD_COND_ALT,2F_MIN_LOT_COND_ALT,2F_MAX_DENS_COND_ALT,2F_FSET_COND_ALT,2F_SSET_COND_ALT,2F_RSET_COND_ALT,2F_FRONT_COND_ALT,2F_MAX_LOT_BLDG_COND_ALT,2F_MAX_LOT_IMP_COND_ALT,2F_PARK_1BR_COND_ALT,2F_PARK_2BR_COND_ALT,2F_STORIES_COND_ALT,2F_HEIGHT_COND_ALT,2F_FTA_COND_ALT,2F_MIN_UNIT_COND_ALT,3F_AFF_COND_ALT,3F_ELD_COND_ALT,3F_MIN_LOT_COND_ALT,3F_MAX_DENS_COND_ALT,3F_FSET_COND_ALT,3F_SSET_COND_ALT,3F_RSET_COND_ALT,3F_FRONT_COND_ALT,3F_MAX_LOT_BLDG_COND_ALT,3F_MAX_LOT_IMP_COND_ALT,3F_PARK_1BR_COND_ALT,3F_PARK_2BR_COND_ALT,3F_CNXN_H2O_COND_ALT,3F_CNXN_TRANSIT_COND_ALT,3F_STORIES_COND_ALT,3F_HEIGHT_COND_ALT,3F_FTA_COND_ALT,3F_MIN_UNIT_COND_ALT,3F_BEDROOMS_COND_ALT,4F_AFF_COND_ALT,4F_ELD_COND_ALT,4F_MIN_LOT_COND_ALT,4F_MAX_DENS_COND_ALT,4F_FSET_COND_ALT,4F_SSET_COND_ALT,4F_RSET_COND_ALT,4F_FRONT_COND_ALT,4F_MAX_LOT_BLDG_COND_ALT,4F_MAX_LOT_IMP_COND_ALT,4F_PARK_1BR_COND_ALT,4F_PARK_2BR_COND_ALT,4F_CNXN_H2O_COND_ALT,4F_CNXN_TRANSIT_COND_ALT,4F_STORIES_COND_ALT,4F_HEIGHT_COND_ALT,4F_FTA_COND_ALT,4F_MIN_UNIT_COND_ALT,4F_BEDROOMS_COND_ALT,4F_MAX_UNIT_COND_ALT,5F_AFF_COND_ALT,5F_ELD_COND_ALT,5F_MIN_LOT_COND_ALT,5F_MAX_DENS_COND_ALT,5F_FSET_COND_ALT,5F_SSET_COND_ALT,5F_RSET_COND_ALT,5F_FRONT_COND_ALT,5F_MAX_LOT_BLDG_COND_ALT,5F_MAX_LOT_IMP_COND_ALT,5F_PARK_1BR_COND_ALT,5F_PARK_2BR_COND_ALT,5F_CNXN_H2O_COND_ALT,5F_CNXN_TRANSIT_COND_ALT,5F_STORIES_COND_ALT,5F_FEET_COND_ALT,5F_FTA_COND_ALT,5F_MIN_UNIT_COND_ALT,5F_BEDROOMS_COND_ALT,5F_MAX_UNIT_COND_ALT,AFF_DEF_COND_ALT,AFF_ELD_ONLY_COND_ALT,AFF_MIN_LOT_COND_ALT,AFF_MAX_DENS_COND_ALT,AFF_PARK_1BR_COND_ALT,AFF_PARK_2BR_COND_ALT,AFF_MIN_UNIT_COND_ALT,AFF_BEDROOMS_COND_ALT,AFF_MAX_UNIT_COND_ALT,ADU_EMP_REQD_COND_ALT,ADU_RENTER_PROH_COND_ALT,ADU_OWNER_REQD_COND_ALT,ADU_ELD_COND_ALT,ADU_MIN_LOT_COND_ALT,ADU_PARK_COND_ALT,ADU_PRIM_STRUC_COND_ALT,ADU_MAX_PCT_COND_ALT,ADU_MAX_SIZE_COND_ALT,ADU_BEDROOMS_COND_ALT,PRD_MHP_COND_ALT,PRD_MIN_LOT_COND_ALT,PRD_MAX_DENS_COND_ALT,PRD_MAX_UNIT_COND_ALT,PUD_SUBDV_COND_ALT,PUD_THRESH_COND_ALT,PUD_ALLOW_COND_ALT,PUD_CONSERVE_COND_ALT,BASE_DENS_COND_ALT
0,FH,Orange,Bradford Town,Flood Hazard,Yes,Yes,No,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,Overlay,Overlay,Not Mentioned,Not Mentioned,"New developments prohibited; improvements to existing structures are permitted with public hearing. Buildings must be proven to not increase flooding by more than 1 foot in the community, and structures to be substantially improved must be elevated to 1 foot above base flood elevation; full list of development standards found in Section VII of Flood Hazard Bylaws. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,Orange,Bradford Town,Industrial,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Not Mentioned,PUD permitted uses are the uses permitted in the proposed districts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,I/M,Orange,Bradford Town,Industrial/Mixed Use,Yes,No,No,Mixed with Residential,No,No,Prohibited,Prohibited,Public Hearing,Public Hearing,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,PUD permitted uses are the uses permitted in the proposed districts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,0.46,,40.0,15.0,15.0,60.0,50.0,,1.0,1.0,,,,35.0,,,,No,No,0.46,,40.0,15.0,15.0,60.0,50.0,,1.0,1.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,No,0.46,,1.0,1.0,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LDR,Orange,Bradford Town,Low Density Residential,Yes,No,No,Primarily Residential,No,Yes,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Lot size can be waived to no less than 1 acre provided that overall permittable density on the lot stays the same (according to table 7.1),7.0,70.0,50.0,50.0,,,,1.0,,35.0,,,No,No,7.0,,70.0,50.0,50.0,,,,1.0,1.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,7.0,,1.0,1.0,,,,No,No,No,No,7.0,1.0,,50.0,,1.0,,,,,,,Yes,No,,,,,,200'; avg. lot width if not on public highways,,,,,,,,,,,,,,,200'; avg. lot width if not on public highways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no; must be w/in 100' of home,,,,,,,,,,,,
4,DWA,Orange,Bradford Town,Deer Wintering Area,Yes,Yes,No,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,Overlay,Overlay,Not Mentioned,Not Mentioned,Administrative officer/board of approval must find that any new development in the DWA has minimized impacts on deer wintering. Administrative officer approval when only a zoning permit is needed for development and BOA when conditional use (public hearing) is needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,R,Orange,Bradford Town,Residential,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Prohibited,Allowed/Conditional,Allowed/Conditional,Not Mentioned,,,,,,,,,1.0,,35.0,,,No,No,,,,,,,,,1.0,1.0,,35.0,,,No,No,,,,,,,,,1.0,1.0,,,,35.0,,,,No,No,,,,,,,,,1.0,1.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,1.0,1.0,,,,No,No,No,No,,1.0,,50.0,,1.0,,,,,,,Yes,No,,1 acre; 0.34/public water; 0.18/public sewer + water,55'; 40'/public water and/or sewer,25'; 10'/public water and/or sewer,25'; 10'/public water and/or sewer,200'; 100'/public water; 80'/public sewer + water,,,,,,,,,,1 acre; 0.34/public water; 0.18/public sewer + water,,55'; 40'/public water and/or sewer,25'; 10'/public water and/or sewer,25'; 10'/public water and/or sewer,200'; 100'/public water; 80'/public sewer + water,,,,,,,,,,,1 acre; 0.34/public water; 0.18/public sewer + water,,55'; 40'/public water and/or sewer,25'; 10'/public water and/or sewer,25'; 10'/public water and/or sewer,200'; 100'/public water; 80'/public sewer + water,,,,,,,,,,,,,,1 acre; 0.34/public water; 0.18/public sewer + water,,55'; 40'/public water and/or sewer,25'; 10'/public water and/or sewer,25'; 10'/public water and/or sewer,200'; 100'/public water; 80'/public sewer + water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 acre; 0.34/public water; 0.18/public sewer + water,,,,,,,,,,,1 acre; 0.34/public water; 0.18/public sewer + water,,no; must be w/in 100' of home,,,,,,,,,,,,
6,RS,Orange,Bradford Town,Residential Service,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,,0.14,40.0,,,60.0,70.0,,1.0,,35.0,,,No,No,0.14,,40.0,,,60.0,70.0,,1.0,1.0,,35.0,,,,,0.14,,40.0,,,60.0,70.0,,1.0,1.0,,,,35.0,,,,,,0.14,,40.0,,,60.0,70.0,,1.0,1.0,,,,35.0,,,,,,,0.14,,40.0,,,60.0,70.0,,1.0,1.0,,,,35.0,,,,,,No,0.14,,1.0,1.0,,,,No,No,No,No,0.14,1.0,,50.0,,1.0,,,,,,,Yes,No,,,,10'; at least 20' between structures,10'; at least 20' between structures,,,,,,,,,,,,,,10'; at least 20' between structures,10'; at least 20' between structures,,,,,,,,,,,,,,,10'; at least 20' between structures,10'; at least 20' between structures,,,,,,,,,,,,,,,,,,10'; at least 20' between structures,10'; at least 20' between structures,,,,,,,,,,,,,,,,,,,10'; at least 20' between structures,10'; at least 20' between structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no; must be w/in 100' of home,,,,,,,,,,,,
7,VHD,Orange,Bradford Town,Historic District,Yes,Yes,No,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,Overlay,Overlay,Not Mentioned,Not Mentioned,"Any changes to existing structures must be approved by the planning commission, including additions, alterations, demolition, and relocation of the structure. Change of use/occupancy and routine repairs not affecting the outside of the structure do not require approval. Specific details found in Section 3.13 of bylaws.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,VR,Orange,Bradford Town,Village Residential,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,,0.14,40.0,,,60.0,70.0,,1.0,,35.0,,,No,No,0.14,,40.0,,,60.0,70.0,,1.0,1.0,,35.0,,,No,No,0.14,,40.0,,,60.0,70.0,,1.0,1.0,,,,35.0,,,,No,No,0.14,,40.0,,,60.0,70.0,,1.0,1.0,,,,35.0,,,,,No,No,0.14,,40.0,,,60.0,70.0,,1.0,1.0,,,,35.0,,,,,,No,0.14,,1.0,1.0,,,,No,No,No,No,0.14,1.0,,50.0,,1.0,,,,,,,Yes,No,,,,10'; at least 20' between structures,10'; at least 20' between structures,,,,,,,,,,,,,,10'; at least 20' between structures,10'; at least 20' between structures,,,,,,,,,,,,,,,10'; at least 20' between structures,10'; at least 20' between structures,,,,,,,,,,,,,,,,,,10'; at least 20' between structures,10'; at least 20' between structures,,,,,,,,,,,,,,,,,,,10'; at least 20' between structures,10'; at least 20' between structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no; must be w/in 100' of home,,,,,,,,,,,,
9,WET,Orange,Bradford Town,Wetlands,Yes,Yes,No,Overlay not Affecting Use,No,No,Overlay,Overlay,Overlay,Overlay,Overlay,Overlay,Not Mentioned,Not Mentioned,The overlay consists of designated wetlands and 50' surrounding the wetlands. Any development w/in this overlay must be issued a state wetlands permit prior to construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
