,ABB_DIST_NAME,COUNTY,JXTN,DIST_NAME,DIST_MAP,OVER,EXT_DIST,DIST_TYPE,AFF_DIST,ELD_DIST,1FDP,2FDP,3FDP,4FDP,5FDP,ADUDP,AFFDP,PRDDP,NOTES,1F_MIN_LOT,1F_FSET,1F_SSET,1F_RSET,1F_FRONT,1F_MAX_LOT_BLDG,1F_MAX_LOT_IMP,1F_PARK,1F_STORIES,1F_HEIGHT,1F_FTA,1F_MIN_UNIT,2F_AFF,2F_ELD,2F_MIN_LOT,2F_MAX_DENS,2F_FSET,2F_SSET,2F_RSET,2F_FRONT,2F_MAX_LOT_BLDG,2F_MAX_LOT_IMP,2F_PARK_1BR,2F_PARK_2BR,2F_STORIES,2F_HEIGHT,2F_FTA,2F_MIN_UNIT,3F_AFF,3F_ELD,3F_MIN_LOT,3F_MAX_DENS,3F_FSET,3F_SSET,3F_RSET,3F_FRONT,3F_MAX_LOT_BLDG,3F_MAX_LOT_IMP,3F_PARK_1BR,3F_PARK_2BR,3F_CNXN_H2O,3F_CNXN_TRANSIT,3F_STORIES,3F_HEIGHT,3F_FTA,3F_MIN_UNIT,3F_BEDROOMS,4F_AFF,4F_ELD,4F_MIN_LOT,4F_MAX_DENS,4F_FSET,4F_SSET,4F_RSET,4F_FRONT,4F_MAX_LOT_BLDG,4F_MAX_LOT_IMP,4F_PARK_1BR,4F_PARK_2BR,4F_CNXN_H2O,4F_CNXN_TRANSIT,4F_STORIES,4F_HEIGHT,4F_FTA,4F_MIN_UNIT,4F_BEDROOMS,4F_MAX_UNIT,5F_AFF,5F_ELD,5F_MIN_LOT,5F_MAX_DENS,5F_FSET,5F_SSET,5F_RSET,5F_FRONT,5F_MAX_LOT_BLDG,5F_MAX_LOT_IMP,5F_PARK_1BR,5F_PARK_2BR,5F_CNXN_H2O,5F_CNXN_TRANSIT,5F_STORIES,5F_FEET,5F_FTA,5F_MIN_UNIT,5F_BEDROOMS,5F_MAX_UNIT,AFF_DEF,AFF_ELD_ONLY,AFF_MIN_LOT,AFF_MAX_DENS,AFF_PARK_1BR,AFF_PARK_2BR,AFF_MIN_UNIT,AFF_BEDROOMS,AFF_MAX_UNIT,ADU_EMP_REQD,ADU_RENTER_PROH,ADU_OWNER_REQD,ADU_ELD,ADU_MIN_LOT,ADU_PARK,ADU_PRIM_STRUC,ADU_MAX_PCT,ADU_MAX_SIZE,ADU_BEDROOMS,PRD_MHP,PRD_MIN_LOT,PRD_MAX_DENS,PRD_MAX_UNIT,PUD_SUBDV,PUD_THRESH,PUD_ALLOW,PUD_CONSERVE,BASE_DENS,1F_MIN_LOT_COND_ALT,1F_FSET_COND_ALT,1F_SSET_COND_ALT,1F_RSET_COND_ALT,1F_FRONT_COND_ALT,1F_MAX_LOT_BLDG_COND_ALT,1F_MAX_LOT_IMP_COND_ALT,1F_PARK_COND_ALT,1F_STORIES_COND_ALT,1F_HEIGHT_COND_ALT,1F_FTA_COND_ALT,1F_MIN_UNIT_COND_ALT,2F_AFF_COND_ALT,2F_ELD_COND_ALT,2F_MIN_LOT_COND_ALT,2F_MAX_DENS_COND_ALT,2F_FSET_COND_ALT,2F_SSET_COND_ALT,2F_RSET_COND_ALT,2F_FRONT_COND_ALT,2F_MAX_LOT_BLDG_COND_ALT,2F_MAX_LOT_IMP_COND_ALT,2F_PARK_1BR_COND_ALT,2F_PARK_2BR_COND_ALT,2F_STORIES_COND_ALT,2F_HEIGHT_COND_ALT,2F_FTA_COND_ALT,2F_MIN_UNIT_COND_ALT,3F_AFF_COND_ALT,3F_ELD_COND_ALT,3F_MIN_LOT_COND_ALT,3F_MAX_DENS_COND_ALT,3F_FSET_COND_ALT,3F_SSET_COND_ALT,3F_RSET_COND_ALT,3F_FRONT_COND_ALT,3F_MAX_LOT_BLDG_COND_ALT,3F_MAX_LOT_IMP_COND_ALT,3F_PARK_1BR_COND_ALT,3F_PARK_2BR_COND_ALT,3F_CNXN_H2O_COND_ALT,3F_CNXN_TRANSIT_COND_ALT,3F_STORIES_COND_ALT,3F_HEIGHT_COND_ALT,3F_FTA_COND_ALT,3F_MIN_UNIT_COND_ALT,3F_BEDROOMS_COND_ALT,4F_AFF_COND_ALT,4F_ELD_COND_ALT,4F_MIN_LOT_COND_ALT,4F_MAX_DENS_COND_ALT,4F_FSET_COND_ALT,4F_SSET_COND_ALT,4F_RSET_COND_ALT,4F_FRONT_COND_ALT,4F_MAX_LOT_BLDG_COND_ALT,4F_MAX_LOT_IMP_COND_ALT,4F_PARK_1BR_COND_ALT,4F_PARK_2BR_COND_ALT,4F_CNXN_H2O_COND_ALT,4F_CNXN_TRANSIT_COND_ALT,4F_STORIES_COND_ALT,4F_HEIGHT_COND_ALT,4F_FTA_COND_ALT,4F_MIN_UNIT_COND_ALT,4F_BEDROOMS_COND_ALT,4F_MAX_UNIT_COND_ALT,5F_AFF_COND_ALT,5F_ELD_COND_ALT,5F_MIN_LOT_COND_ALT,5F_MAX_DENS_COND_ALT,5F_FSET_COND_ALT,5F_SSET_COND_ALT,5F_RSET_COND_ALT,5F_FRONT_COND_ALT,5F_MAX_LOT_BLDG_COND_ALT,5F_MAX_LOT_IMP_COND_ALT,5F_PARK_1BR_COND_ALT,5F_PARK_2BR_COND_ALT,5F_CNXN_H2O_COND_ALT,5F_CNXN_TRANSIT_COND_ALT,5F_STORIES_COND_ALT,5F_FEET_COND_ALT,5F_FTA_COND_ALT,5F_MIN_UNIT_COND_ALT,5F_BEDROOMS_COND_ALT,5F_MAX_UNIT_COND_ALT,AFF_DEF_COND_ALT,AFF_ELD_ONLY_COND_ALT,AFF_MIN_LOT_COND_ALT,AFF_MAX_DENS_COND_ALT,AFF_PARK_1BR_COND_ALT,AFF_PARK_2BR_COND_ALT,AFF_MIN_UNIT_COND_ALT,AFF_BEDROOMS_COND_ALT,AFF_MAX_UNIT_COND_ALT,ADU_EMP_REQD_COND_ALT,ADU_RENTER_PROH_COND_ALT,ADU_OWNER_REQD_COND_ALT,ADU_ELD_COND_ALT,ADU_MIN_LOT_COND_ALT,ADU_PARK_COND_ALT,ADU_PRIM_STRUC_COND_ALT,ADU_MAX_PCT_COND_ALT,ADU_MAX_SIZE_COND_ALT,ADU_BEDROOMS_COND_ALT,PRD_MHP_COND_ALT,PRD_MIN_LOT_COND_ALT,PRD_MAX_DENS_COND_ALT,PRD_MAX_UNIT_COND_ALT,PUD_SUBDV_COND_ALT,PUD_THRESH_COND_ALT,PUD_ALLOW_COND_ALT,PUD_CONSERVE_COND_ALT,BASE_DENS_COND_ALT
0,CB,Orange,Randolph,Central Business District,Yes,No,No,Mixed with Residential,No,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Prohibited,Not Mentioned,Not Mentioned,"One- and two-family dwellings are allowed in the CB District provided there is a non-residential use in the building at street level; dwellings require DRB approval, including public hearing. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,0.13,,,,,40.0,,100.0,1.5,1.5,,,,,,,,No,No,0.13,,,,,40.0,,100.0,1.5,1.5,,,,,,,,,No,No,0.13,,,,,40.0,,100.0,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10'; may be as close to front as building on adjacent lots,,,,,,,,,,,50'; may be as high as adjacent buildings,,,,,,,,10'; may be as close to front as building on adjacent lots,,,,,,,,,,,50'; may be as high as adjacent buildings,,,,,,,,,10'; may be as close to front as building on adjacent lots,,,,,,,,,,,50'; may be as high as adjacent buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,RVHD,Orange,Randolph,Randolph Village High Density District,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Public Hearing,Allowed/Conditional,Not Mentioned,Not Mentioned,multi-family dwellings >5 units have 50' max height as long as it is not >15' taller than adjacent buildings + set back at least 20' on all sides. ,,,,10.0,40.0,,,2.0,,40.0,,,No,No,,,,,10.0,40.0,,,2.0,2.0,,40.0,,,No,No,,,,,10.0,40.0,,70.0,1.5,1.5,,,,40.0,,,,No,No,,,,,10.0,40.0,,70.0,1.5,1.5,,,,40.0,,,,50.0,No,No,,,,,10.0,40.0,,70.0,1.5,1.5,,,,40.0,,,,50.0,,,,,,,,,,No,No,No,No,0.23,1.0,No,,,1.0,,,,,,,Yes,No,,0.23 acres; 0.07/dwelling unit,10'; may be as close to front as buildings on adjacent lots,10'; may be as close as adjacent building from the property line,,,,,,,,,,,,0.23 acres; 0.07/dwelling unit,,10'; may be as close to front as buildings on adjacent lots,10'; may be as close as adjacent building from the property line,,,,,,,,,,,,,0.23 acres; 0.07/dwelling unit,,10'; may be as close to front as buildings on adjacent lots,10'; may be as close as adjacent building from the property line,,,,,,,,,,,,,,,,0.23 acres; 0.07/dwelling unit,,10'; may be as close to front as buildings on adjacent lots,10'; may be as close as adjacent building from the property line,,,,,,,,,,,,,,,,,0.23 acres; 0.07/dwelling unit,,10'; may be as close to front as buildings on adjacent lots,10'; may be as close as adjacent building from the property line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RVMD,Orange,Randolph,Randolph Village Medium Density District,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Not Mentioned,,,40.0,15.0,15.0,50.0,,,2.0,,35.0,,,No,No,,,40.0,15.0,15.0,50.0,,,2.0,2.0,,35.0,,,No,No,,,40.0,15.0,15.0,50.0,,50.0,1.5,1.5,,,,35.0,,,,No,No,,,40.0,15.0,15.0,50.0,,50.0,1.5,1.5,,,,35.0,,,,5.0,No,No,,,40.0,15.0,15.0,50.0,,50.0,1.5,1.5,,,,35.0,,,,5.0,,,,,,,,,,No,No,No,No,0.46,1.0,No,,,1.0,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,RCV,Orange,Randolph,Randolph Center Village District,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,,,25.0,25.0,200.0,,,2.0,,40.0,,,No,No,,,,25.0,25.0,200.0,,,2.0,2.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,1.0,1.0,No,,,1.0,,,,,,,,,,1 acre; 0.5/dwelling unit,50'; may be as close to front as adjacent buildings,,,,,,,,,,,,,1 acre; 0.5/dwelling unit,,50'; may be as close to front as adjacent buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ERV,Orange,Randolph,East Randolph Village District,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Not Mentioned,,0.23,30.0,20.0,30.0,100.0,,,2.0,,35.0,,,No,No,0.23,,30.0,20.0,30.0,100.0,,,2.0,2.0,,35.0,,,No,No,0.23,,30.0,20.0,30.0,100.0,,75.0,1.5,1.5,,,,35.0,,,,No,No,0.23,,30.0,20.0,30.0,100.0,,75.0,1.5,1.5,,,,35.0,,,,5.0,No,No,0.23,,30.0,20.0,30.0,100.0,,75.0,1.5,1.5,,,,35.0,,,,5.0,,,,,,,,,,No,No,No,No,0.23,1.0,No,,,1.0,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NSV,Orange,Randolph,North and South Randolph Villages District,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Not Mentioned,Not Mentioned,,,40.0,15.0,15.0,50.0,,,2.0,,35.0,,,No,No,,,40.0,15.0,15.0,50.0,,,2.0,2.0,,35.0,,,No,No,,,40.0,15.0,15.0,50.0,,50.0,1.5,1.5,,,,35.0,,,,No,No,,,40.0,15.0,15.0,50.0,,50.0,1.5,1.5,,,,35.0,,,,5.0,No,No,,,40.0,15.0,15.0,50.0,,50.0,1.5,1.5,,,,35.0,,,,5.0,,,,,,,,,,No,No,No,No,0.46,1.0,No,,,1.0,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GCR,Orange,Randolph,Gateway Commercial Retail District,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Not Mentioned,,,50.0,20.0,20.0,100.0,,,2.0,,40.0,,,No,No,,,50.0,20.0,20.0,100.0,,,2.0,2.0,,40.0,,,No,No,,,50.0,20.0,20.0,100.0,,70.0,1.5,1.5,,,,40.0,,,,No,No,,,50.0,20.0,20.0,100.0,,70.0,1.5,1.5,,,,40.0,,,,10.0,No,No,,,50.0,20.0,20.0,100.0,,70.0,1.5,1.5,,,,40.0,,,,10.0,,,,,,,,,,No,No,No,No,0.46,1.0,No,,,1.0,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GC,Orange,Randolph,Gateway Commercial District,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Not Mentioned,,,50.0,20.0,20.0,100.0,,,2.0,,40.0,,,No,No,,,50.0,20.0,20.0,100.0,,,2.0,2.0,,40.0,,,No,No,,,50.0,20.0,20.0,100.0,,70.0,1.5,1.5,,,,40.0,,,,No,No,,,50.0,20.0,20.0,100.0,,70.0,1.5,1.5,,,,40.0,,,,10.0,No,No,,,50.0,20.0,20.0,100.0,,70.0,1.5,1.5,,,,40.0,,,,10.0,,,,,,,,,,No,No,No,No,0.46,1.0,No,,,1.0,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,,,,,0.46 acres; 0.23/dwelling unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,RES,Orange,Randolph,Residential District,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,Prohibited,Allowed/Conditional,Not Mentioned,Not Mentioned,,,30.0,30.0,30.0,200.0,,,2.0,,35.0,,,No,No,,,30.0,30.0,30.0,200.0,,,2.0,2.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,1.0,No,,,1.0,,,,,,,,,,5 acres if water + sewer on site; 1 acre if connected to public water or sewer; 0.46 if public water + sewer,,,,,,,,,,,,,,5 acres if water + sewer on site; 1 acre if connected to public water or sewer; 0.46 if public water + sewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 acres if water + sewer on site; 1 acre if connected to public water or sewer; 0.46 if public water + sewer,,,,,,,,,,,,,,
9,RR,Orange,Randolph,Rural Residential District,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,Public Hearing,Allowed/Conditional,Not Mentioned,Not Mentioned,,,30.0,30.0,30.0,200.0,,,2.0,,35.0,,,No,No,,,30.0,30.0,30.0,200.0,,,2.0,2.0,,35.0,,,No,No,,,30.0,30.0,30.0,200.0,,15.0,1.5,1.5,,,,35.0,,,,No,No,,,30.0,30.0,30.0,200.0,,15.0,1.5,1.5,,,,35.0,,,,7.0,No,No,,,30.0,30.0,30.0,200.0,,15.0,1.5,1.5,,,,35.0,,,,7.0,,,,,,,,,,No,No,No,No,5.0,1.0,No,,,1.0,,,,,,,,,,5 acres; 1/dwelling unit,,,,,,,,,,,,,,5 acres; 1/dwelling unit,,,,,,,,,,,,,,,,5 acres; 1/dwelling unit,,,,,,,,,,,,,,,,,,,5 acres; 1/dwelling unit,,,,,,,,,,,,,,,,,,,,5 acres; 1/dwelling unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
