,Status,Last Updated,Jurisdiction Status,Jurisdiction Last Updated,State,County,Jurisdiction,Parent Jurisdiction,Abbreviated District Name,Full District Name,Effective Start Date,Changed or Expired,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Most Common Nonresidential Use Permitted,Affordable Housing District,Elderly Housing District,Internal Notes,Visible Atlas Notes,1-Family Treatment,1-Family Min. Lot Size,1-Family Min. Lot Size Units,1-Family Front Setback,1-Family Front Setback Units,1-Family Side Setback,1-Family Side Setback Units,1-Family Rear Setback,1-Family Rear Setback Units,1-Family Max Lot Coverage - Buildings,1-Family Max Lot Coverage - Buildings Units,1-Family Max Lot Coverage - Buildings & Impervious Surface,1-Family Max Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. Parking,1-Family Min. Parking Units,1-Family Max Stories,1-Family Max Stories Units,1-Family Max Height,1-Family Max Height Units,1-Family Floor to Area Ratio,1-Family Floor to Area Ratio Units,1-Family Min. Unit Size,1-Family Min. Unit Size Units,2-Family Treatment,2-Family Affordable Only,2-Family Elderly Only,2-Family Min Lot Size,2-Family Min Lot Size Units,2-Family Max Density,2-Family Max Density Units,2-Family Front Setback,2-Family Front Setback Units,2-Family Side Setback,2-Family Side Setback Units,2-Family Rear Setback,2-Family Rear Setback Units,2-Family Max Lot Coverage Buildings,2-Family Max Lot Coverage Buildings Units,2-Family Max Lot Coverage Buildings & Impervious,2-Family Max Lot Coverage Buildings & Impervious Units,2-Family Min Parking Per Studio/1BR,2-Family Min Parking Per Studio/1BR Units,2-Family Min Parking Per 2+ BR,2-Family Min Parking Per 2+ BR Units,2-Family Max Stories,2-Family Max Stories Units,2-Family Max Height,2-Family Max Height Units,2-Family Floor to Area Ratio,2-Family Floor to Area Ratio Units,2-Family Min Unit Size,2-Family Min Unit Size Units,3-Family Treatment,3-Family Affordable Only,3-Family Elderly Only,3-Family Min Lot Size,3-Family Min Lot Size Units,3-Family Max Density,3-Family Max Density Units,3-Family Front Setback,3-Family Front Setback Units,3-Family Side Setback,3-Family Side Setback Units,3-Family Rear Setback,3-Family Rear Setback Units,3-Family Max Lot Coverage Buildings,3-Family Max Lot Coverage Buildings Units,3-Family Max Lot Coverage Buildings & Impervious,3-Family Max Lot Coverage Buildings & Impervious Units,3-Family Min Parking Per Studio/1BR,3-Family Min Parking Per Studio/1BR Units,3-Family Min Parking Per 2+ BR,3-Family Min Parking Per 2+ BR Units,3-Family Sewer/Water Required,3-Family Public Transit Required,3-Family Max Stories,3-Family Max Stories Units,3-Family Max Height,3-Family Max Height Units,3-Family Floor to Area Ratio,3-Family Floor to Area Ratio Units,3-Family Min Unit Size,3-Family Min Unit Size Units,3-Family Max Bedrooms,3-Family Max Bedrooms Units,4+-Family Treatment,4+-Family Affordable Only,4+-Family Elderly Only,4+-Family Min Lot Size,4+-Family Min Lot Size Units,4+-Family Max Density,4+-Family Max Density Units,4+-Family Front Setback,4+-Family Front Setback Units,4+-Family Side Setback,4+-Family Side Setback Units,4+-Family Rear Setback,4+-Family Rear Setback Units,4+-Family Max Lot Coverage Buildings,4+-Family Max Lot Coverage Buildings Units,4+-Family Max Lot Coverage Buildings & Impervious,4+-Family Max Lot Coverage Buildings & Impervious Units,4+-Family Min Parking Per Studio/1BR,4+-Family Min Parking Per Studio/1BR Units,4+-Family Min Parking Per 2+ BR,4+-Family Min Parking Per 2+ BR Units,4+-Family Sewer/Water Required,4+-Family Public Transit Required,4+-Family Max Stories,4+-Family Max Stories Units,4+-Family Max Height,4+-Family Max Height Units,4+-Family Floor to Area Ratio,4+-Family Floor to Area Ratio Units,4+-Family Min Unit Size,4+-Family Min Unit Size Units,4+-Family Max Bedrooms,4+-Family Max Bedrooms Units,4+-Family Max Units per Building,4+-Family Max Units per Building Units,Affordable Housing Treatment,Affordable Housing Definition,Affordable Elderly Only,Affordable Min Lot Size,Affordable Min Lot Size Units,Affordable Max Density,Affordable Max Density Units,Affordable Min Parking Per Studio/1BR,Affordable Min Parking Per Studio/1BR Units,Affordable Min Parking Per 2+ BR,Affordable Min Parking Per 2+ BR Units,Affordable Sewer/Water Required,Affordable Public Transit Required,Affordable Min Unit Size,Affordable Min Unit Size Units,Affordable Max Bedrooms,Affordable Max Bedrooms Units,Affordable Max Units per Building,Affordable Max Units per Building Units,ADU Treatment,ADU Employee/Family Required,ADU Renter Prohibited,ADU Owner Occupancy Required,ADU Elderly Only,ADU Min Lot Size,ADU Min Lot Size Units,ADU Min Parking,ADU Min Parking Units,ADU Only Primary Structure,ADU Max Size (% of Main),ADU Max Size (% of Main) Units,ADU Max Size (sq ft),ADU Max Size (sq ft) Units,ADU Max Bedrooms,ADU Max Bedrooms Units,PRD Treatment,PRD Mobile or Manufactured,PRD Min Development Size,PRD Min Development Size Units,PRD Max Density,PRD Max Density Units,PRD Max Units,PRD Max Units Units,5+Family Affordable Housing Only,5+Family Elderly Housing Only,5+Family Min. Lot (ACRES),5+Family Max. Density (UNITS/ACRE),5+Family Front Setback (# of feet),5+Family Side Setback (# of feet),5+Family Rear Setback (# of feet),5+Family Max. Lot Coverage - Buildings (%),5+Family Max. Lot Coverage - Buildings & Imperviou,5+Family Min. # Parking Spaces Per Studio or 1BR,5+Family Min. # Parking Spaces Per 2+ BR,5+Family Connection to Sewer and/or Water Required,5+Family Connection or Proximity to Public Transit,5+Family Max. Height (# of stories),5+Family Max. Height (# of feet),5+Family Floor to Area Ratio,5+Family Min. Unit Size (SF),5+Family Max. # Bedrooms Per Unit,5+Family Max. # Units Per Building,Base Residential Density (#dwellings/acre),1-Family Lot Frontage Requirement,2-Family Lot Frontage Requirement,3-Family Lot Frontage Requirement,4-Family Lot Frontage Requirement,5+-Family Lot Frontage Requirement,PUD required with Subdivision,PUD Threshold #,PUD allowed,PUD requiring land conservation,Unique GIS schema identifier
0,Completed,2024-05-01,In Progress,2024-05-02,Vermont,Rutland County,Fair Haven,,Commercial,Commercial,2024-03-18,,Yes,No,No,Mixed with Residential,Utilities,No,No,"Need to update conditional dimensional requirements, hopefully hearing back from zoning admin. -TS 4/13",,Allowed/Conditional,0.15 acres cnxn to water or sewer; 0.2 if to water and sewer; 0.92 if none ,Alternatives,40.0,Feet,20.0,Feet,30.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,,,50.0,Feet,,,,,Allowed/Conditional,No,No,0.3 acres cnxn to water or sewer; 0.4 if to water and sewer;1.84 if none ,Contextual,,,40.0,Feet,20.0,Feet,30.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,50.0,Feet,,,,,Allowed/Conditional,No,No,0.3 acres cnxn to water or sewer; 0.4 if to water and sewer; 2.75 if none ,Contextual,,,40.0,Feet,20.0,Feet,30.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,50.0,Feet,,,,,,,Allowed/Conditional,No,No,0.3 acres cnxn to water or sewer; 0.4 if to water and sewer; 3.67 if none,Contextual,,,40.0,Feet,20.0,Feet,30.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,50.0,Feet,,Ratio,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,,,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,f,f,4.59,,40.0,20.0,30.0,,,1.0,1.0,f,f,,50.0,,,,,,,,,,,,,t,t,
1,Completed,2024-05-01,In Progress,2024-05-02,Vermont,Rutland County,Fair Haven,,Downtown,Downtown,2024-03-18,,Yes,No,No,Mixed with Residential,Retail/Service,No,No,,"-Dwellings are allowed in the Downtown District as conditional use on all non-street-level floors.

-Dwellings are allowed in the Downtown District as conditional use at the street-level provided that no
more then 50% of the gross square footage can be used for residental purposes.",Public Hearing,,,,,,,,,,,,,1.0,Spaces per Unit,,,60.0,Feet,,,,,Public Hearing,No,No,,,,,,,,,,,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,60.0,Feet,,,,,Public Hearing,No,No,,,,,,,,,,,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,60.0,Feet,,,,,,,Public Hearing,No,No,,,,,,,,,,,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,60.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,,,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,1.0,1.0,,,,60.0,,,,,,,,,,,,,t,,
2,Completed,2024-05-01,In Progress,2024-05-02,Vermont,Rutland County,Fair Haven,,Flood Hazard Area,Flood Hazard Area,2024-03-18,,Yes,No,No,Mixed with Residential,Open Space/Light Recreation,No,No,,"New construction and existing buildings to be substantially improved that are located in Zones A, Al-30, AE, and AH shall have the lowest floor, including basement, elevated to 1 foot
or more above the base flood elevation.",Public Hearing,,,,,,,,,,,,,1.0,Spaces per Unit,,,,,,,,,Public Hearing,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,
3,Completed,2024-05-02,In Progress,2024-05-02,Vermont,Rutland County,Fair Haven,,Industrial 1,Industrial 1,2024-03-18,,Yes,No,No,Mixed with Residential,Industrial,No,No,,,Public Hearing,0.15,Acres,40.0,Feet,20.0,Feet,30.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,,,40.0,Feet,,,,,Public Hearing,No,No,0.15,Acres per 2-Family,,,40.0,Feet,20.0,Feet,30.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,40.0,Feet,,,,,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,,,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
4,Completed,2024-05-02,In Progress,2024-05-02,Vermont,Rutland County,Fair Haven,,Industrial 2,Industrial 2,2024-03-18,,No,No,No,Mixed with Residential,Industrial,No,No,"Mentioned in Bylaws, but not on map
",,Public Hearing,0.15,Acres,40.0,Feet,20.0,Feet,30.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,,,40.0,Feet,,,,,Public Hearing,No,No,0.15,Acres per 2-Family,,,40.0,Feet,20.0,Feet,30.0,Feet,80.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,40.0,Feet,,,,,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,,,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
5,Completed,2024-04-22,In Progress,2024-05-02,Vermont,Rutland County,Fair Haven,,Recreation,Recreation,2024-03-18,,Yes,No,No,Nonresidential,Open Space/Light Recreation,No,No,,"Technically no info in bylaws on development, however the spaces within the district are parks or schools which would not allow residential development",Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
6,Completed,2024-04-15,In Progress,2024-05-02,Vermont,Rutland County,Fair Haven,,Residential,Residential,2024-03-18,,Yes,No,No,Primarily Residential,,No,No,,,Allowed/Conditional,0.46 acres cnxn to water or sewer; 0.2 if to water and sewer;0.92 if none,Alternatives,30.0,Feet,20.0,Feet,30.0,Feet,30.0,Percent,,,1.0,Spaces per Unit,,,40.0,Feet,,,,,Allowed/Conditional,No,No,0.92 acres cnxn to water or sewer; 0.4 if to water and sewer;1.84 if none,Alternatives,,,30.0,Feet,20.0,Feet,30.0,Feet,30.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,40.0,Feet,,,,,Allowed/Conditional,No,No,1.38 acres cnxn to water or sewer; 0.6 if to water and sewer;2.76 if none,Alternatives,,,30.0,Feet,20.0,Feet,30.0,Feet,30.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,Allowed/Conditional,No,No,1.84 acres cnxn to water or sewer; 0.8 if to water and sewer;3.68 if none,Alternatives,,,30.0,Feet,20.0,Feet,30.0,Feet,30.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,,,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,f,f,,,30.0,20.0,30.0,30.0,,1.0,1.0,,,,40.0,,,,,,,,,,,,,t,t,
7,Completed,2024-04-15,In Progress,2024-05-02,Vermont,Rutland County,Fair Haven,,River Mixed Use,River Mixed Use,2024-03-18,,Yes,No,No,Mixed with Residential,Mixed - Specified Commercial Uses,No,No,,,Allowed/Conditional,0.46 acres cnxn to water or sewer; 0.2 if to water and sewer;0.92 if none,Alternatives,15.0,Feet,15.0,Feet,30.0,Feet,40.0,Percent,,,1.0,Spaces per Unit,,,40.0,Feet,,,,,Allowed/Conditional,No,No,0.92 acres cnxn to water or sewer; 0.4 if to water and sewer;1.84 if none,Alternatives,,,15.0,Feet,15.0,Feet,30.0,Feet,40.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,40.0,Feet,,,,,Allowed/Conditional,No,No,1.38 acres cnxn to water or sewer; 0.6 if to water and sewer;2.76 if none,Alternatives,,,15.0,Feet,15.0,Feet,30.0,Feet,40.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,Allowed/Conditional,No,No,1.84 acres cnxn to water or sewer; 0.8 if to water and sewer;3.68 if none,Alternatives,,,15.0,Feet,15.0,Feet,30.0,Feet,40.0,Percent,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,,,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,f,f,4.6,,15.0,15.0,30.0,40.0,,1.0,1.0,f,f,,40.0,,,,,,,,,,,,,t,t,
8,Completed,2024-04-15,In Progress,2024-05-02,Vermont,Rutland County,Fair Haven,,Rural,Rural,2024-03-18,,Yes,No,No,Mixed with Residential,Mixed - Specified Commercial Uses,No,No,,,Allowed/Conditional,0.46 acres cnxn to water or sewer; 0.2 if to water and sewer;0.92 if none,Alternatives,30.0,Feet,30.0,Feet,30.0,Feet,,,,,1.0,Spaces per Unit,,,40.0,Feet,,,,,Allowed/Conditional,No,No,0.92 acres cnxn to water or sewer; 0.4 if to water and sewer;1.84 if none,Alternatives,,,30.0,Feet,30.0,Feet,30.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,,,40.0,Feet,,,,,Allowed/Conditional,No,No,1.38 acres cnxn to water or sewer; 0.6 if to water and sewer;2.76 if none,Alternatives,,,30.0,Feet,30.0,Feet,30.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,Allowed/Conditional,No,No,1.84 acres cnxn to water or sewer; 0.8 if to water and sewer;3.68 if none,Alternatives,,,30.0,Feet,30.0,Feet,30.0,Feet,,,,,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,40.0,Feet,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,,,No,30.0,Percent of Main Unit,900.0,Square Feet,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,f,f,,,30.0,30.0,30.0,,,1.0,1.0,f,f,,40.0,,,,,,,,,,,,,t,t,
9,Completed,2024-05-02,In Progress,2024-05-02,Vermont,Rutland County,Fair Haven,,Watershed,Watershed,2024-03-18,,Yes,No,No,Nonresidential,Utilities,No,No,,,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
