,Status,Last Updated,Jurisdiction Status,Jurisdiction Last Updated,State,County,Jurisdiction,Parent Jurisdiction,Abbreviated District Name,Full District Name,Effective Start Date,Changed or Expired,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Most Common Nonresidential Use Permitted,Affordable Housing District,Elderly Housing District,Internal Notes,Visible Atlas Notes,1-Family Treatment,1-Family Min. Lot Size,1-Family Min. Lot Size Units,1-Family Front Setback,1-Family Front Setback Units,1-Family Side Setback,1-Family Side Setback Units,1-Family Rear Setback,1-Family Rear Setback Units,1-Family Max Lot Coverage - Buildings,1-Family Max Lot Coverage - Buildings Units,1-Family Max Lot Coverage - Buildings & Impervious Surface,1-Family Max Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. Parking,1-Family Min. Parking Units,1-Family Max Stories,1-Family Max Stories Units,1-Family Max Height,1-Family Max Height Units,1-Family Floor to Area Ratio,1-Family Floor to Area Ratio Units,1-Family Min. Unit Size,1-Family Min. Unit Size Units,2-Family Treatment,2-Family Affordable Only,2-Family Elderly Only,2-Family Min Lot Size,2-Family Min Lot Size Units,2-Family Max Density,2-Family Max Density Units,2-Family Front Setback,2-Family Front Setback Units,2-Family Side Setback,2-Family Side Setback Units,2-Family Rear Setback,2-Family Rear Setback Units,2-Family Max Lot Coverage Buildings,2-Family Max Lot Coverage Buildings Units,2-Family Max Lot Coverage Buildings & Impervious,2-Family Max Lot Coverage Buildings & Impervious Units,2-Family Min Parking Per Studio/1BR,2-Family Min Parking Per Studio/1BR Units,2-Family Min Parking Per 2+ BR,2-Family Min Parking Per 2+ BR Units,2-Family Max Stories,2-Family Max Stories Units,2-Family Max Height,2-Family Max Height Units,2-Family Floor to Area Ratio,2-Family Floor to Area Ratio Units,2-Family Min Unit Size,2-Family Min Unit Size Units,3-Family Treatment,3-Family Affordable Only,3-Family Elderly Only,3-Family Min Lot Size,3-Family Min Lot Size Units,3-Family Max Density,3-Family Max Density Units,3-Family Front Setback,3-Family Front Setback Units,3-Family Side Setback,3-Family Side Setback Units,3-Family Rear Setback,3-Family Rear Setback Units,3-Family Max Lot Coverage Buildings,3-Family Max Lot Coverage Buildings Units,3-Family Max Lot Coverage Buildings & Impervious,3-Family Max Lot Coverage Buildings & Impervious Units,3-Family Min Parking Per Studio/1BR,3-Family Min Parking Per Studio/1BR Units,3-Family Min Parking Per 2+ BR,3-Family Min Parking Per 2+ BR Units,3-Family Sewer/Water Required,3-Family Public Transit Required,3-Family Max Stories,3-Family Max Stories Units,3-Family Max Height,3-Family Max Height Units,3-Family Floor to Area Ratio,3-Family Floor to Area Ratio Units,3-Family Min Unit Size,3-Family Min Unit Size Units,3-Family Max Bedrooms,3-Family Max Bedrooms Units,4+-Family Treatment,4+-Family Affordable Only,4+-Family Elderly Only,4+-Family Min Lot Size,4+-Family Min Lot Size Units,4+-Family Max Density,4+-Family Max Density Units,4+-Family Front Setback,4+-Family Front Setback Units,4+-Family Side Setback,4+-Family Side Setback Units,4+-Family Rear Setback,4+-Family Rear Setback Units,4+-Family Max Lot Coverage Buildings,4+-Family Max Lot Coverage Buildings Units,4+-Family Max Lot Coverage Buildings & Impervious,4+-Family Max Lot Coverage Buildings & Impervious Units,4+-Family Min Parking Per Studio/1BR,4+-Family Min Parking Per Studio/1BR Units,4+-Family Min Parking Per 2+ BR,4+-Family Min Parking Per 2+ BR Units,4+-Family Sewer/Water Required,4+-Family Public Transit Required,4+-Family Max Stories,4+-Family Max Stories Units,4+-Family Max Height,4+-Family Max Height Units,4+-Family Floor to Area Ratio,4+-Family Floor to Area Ratio Units,4+-Family Min Unit Size,4+-Family Min Unit Size Units,4+-Family Max Bedrooms,4+-Family Max Bedrooms Units,4+-Family Max Units per Building,4+-Family Max Units per Building Units,Affordable Housing Treatment,Affordable Housing Definition,Affordable Elderly Only,Affordable Min Lot Size,Affordable Min Lot Size Units,Affordable Max Density,Affordable Max Density Units,Affordable Min Parking Per Studio/1BR,Affordable Min Parking Per Studio/1BR Units,Affordable Min Parking Per 2+ BR,Affordable Min Parking Per 2+ BR Units,Affordable Sewer/Water Required,Affordable Public Transit Required,Affordable Min Unit Size,Affordable Min Unit Size Units,Affordable Max Bedrooms,Affordable Max Bedrooms Units,Affordable Max Units per Building,Affordable Max Units per Building Units,ADU Treatment,ADU Employee/Family Required,ADU Renter Prohibited,ADU Owner Occupancy Required,ADU Elderly Only,ADU Min Lot Size,ADU Min Lot Size Units,ADU Min Parking,ADU Min Parking Units,ADU Only Primary Structure,ADU Max Size (% of Main),ADU Max Size (% of Main) Units,ADU Max Size (sq ft),ADU Max Size (sq ft) Units,ADU Max Bedrooms,ADU Max Bedrooms Units,PRD Treatment,PRD Mobile or Manufactured,PRD Min Development Size,PRD Min Development Size Units,PRD Max Density,PRD Max Density Units,PRD Max Units,PRD Max Units Units,5+Family Affordable Housing Only,5+Family Elderly Housing Only,5+Family Min. Lot (ACRES),5+Family Max. Density (UNITS/ACRE),5+Family Front Setback (# of feet),5+Family Side Setback (# of feet),5+Family Rear Setback (# of feet),5+Family Max. Lot Coverage - Buildings (%),5+Family Max. Lot Coverage - Buildings & Imperviou,5+Family Min. # Parking Spaces Per Studio or 1BR,5+Family Min. # Parking Spaces Per 2+ BR,5+Family Connection to Sewer and/or Water Required,5+Family Connection or Proximity to Public Transit,5+Family Max. Height (# of stories),5+Family Max. Height (# of feet),5+Family Floor to Area Ratio,5+Family Min. Unit Size (SF),5+Family Max. # Bedrooms Per Unit,5+Family Max. # Units Per Building,Base Residential Density (#dwellings/acre),1-Family Lot Frontage Requirement,2-Family Lot Frontage Requirement,3-Family Lot Frontage Requirement,4-Family Lot Frontage Requirement,5+-Family Lot Frontage Requirement,PUD required with Subdivision,PUD Threshold #,PUD allowed,PUD requiring land conservation,Unique GIS schema identifier
0,Completed,2024-04-12,Published,2024-04-15,Vermont,Rutland County,Mendon,,CITY FOREST,City Forest,2024-04-03,,Yes,No,No,Nonresidential,Open Space/Light Recreation,No,No,,Frontage is 65 feet per acre up to 500 feet,Public Hearing,15,Acres,100.0,Feet,100.0,Feet,100.0,Feet,,,10.0,Percent,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,2.0,Stories,12.0,Feet,,,,,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,No,No,Yes,No,,,,,No,30.0,Percent of Main Unit,750.0,Square Feet,,,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,65.0,65.0,65.0,65.0,,f,,f,t,
1,Completed,2024-04-12,Published,2024-04-15,Vermont,Rutland County,Mendon,,COMMERCIAL,Commercial,2024-04-04,,Yes,No,No,Mixed with Residential,Mixed - Industrial-Commercial,No,No,,,Allowed/Conditional,2,Acres,100.0,Feet,50.0,Feet,25.0,Feet,,,40.0,Percent,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,4.0,Stories,30.0,Feet,,,,,Allowed/Conditional,No,No,2,Acres per 2-Family,2 per acre w/on-site sewer; 4 per acre w/pipeline,Alternatives,100.0,Feet,50.0,Feet,25.0,Feet,,,40.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,4.0,Stories,30.0,Feet,,,,,Public Hearing,No,No,2,Acres per 3-Family,2 per acre w/on-site sewer; 4 per acre w/pipeline,Alternatives,100.0,Feet,50.0,Feet,25.0,Feet,,,40.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,No,No,4.0,Stories,30.0,Feet,,,,,,,Public Hearing,No,No,2,Acres per 4+-Family,2 per acre w/ on-site sewer; 4 per acre w/ pipeline,Alternatives,100.0,Feet,50.0,Feet,25.0,Feet,,,40.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residental employee,Alternatives,No,No,4.0,Stories,30.0,Feet,,,,,,,4.0,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30.0,Percent of Main Unit,750.0,Square Feet,,,Allowed/Conditional,Yes,5.0,Acres per PRD,5.33,Units per Acre,,,,,,,,,,,,,,,,,,,,,,,200.0,200.0,200.0,200.0,,f,,t,t,
2,Completed,2024-04-12,Published,2024-04-15,Vermont,Rutland County,Mendon,,CONSERVATION I,Conservation I,2024-04-04,,Yes,No,No,Nonresidential,Cultural/Entertainment/Tourist,No,No,,Frontage is 65 feet per acre up to 500 feet.,Public Hearing,15,Acres,100.0,Feet,100.0,Feet,100.0,Feet,,,10.0,Percent,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,2.0,Stories,12.0,Feet,,,,,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,No,No,Yes,No,,,,,No,30.0,Percent of Main Unit,750.0,Square Feet,,,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,65.0,65.0,65.0,65.0,,f,,f,t,
3,Completed,2024-04-12,Published,2024-04-15,Vermont,Rutland County,Mendon,,CONSERVATION II,Conservation II,2024-04-03,,Yes,No,No,Nonresidential,Cultural/Entertainment/Tourist,No,No,,Frontage is 65 feet per acre up to 500 feet.,Public Hearing,15,Acres,100.0,Feet,100.0,Feet,100.0,Feet,,,10.0,Percent,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,2.0,Stories,12.0,Feet,,,,,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,No,No,Yes,No,,,,,No,30.0,Percent of Main Unit,750.0,Square Feet,,,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,65.0,65.0,65.0,65.0,,f,,f,t,
4,Completed,2024-04-12,Published,2024-04-15,Vermont,Rutland County,Mendon,,EAST,East,2024-04-03,,Yes,No,No,Mixed with Residential,Agricultural-Industrial,No,No,,"All residential uses are public hearing and must be a PUD.
Frontage is 65 feet per acre up to 500 feet.",Public Hearing,3,Acres,50.0,Feet,25.0,Feet,50.0,Feet,,,30.0,Percent,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,2.0,Stories,12.0,Feet,,,,,Public Hearing,No,No,3,Acres per 2-Family,0.33,Units per Acre,50.0,Feet,25.0,Feet,50.0,Feet,,,30.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,2.0,Stories,12.0,Feet,,,,,Public Hearing,No,No,3,Acres per 3-Family,0.33,Units per Acre,50.0,Feet,25.0,Feet,50.0,Feet,,,30.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,No,No,2.0,Stories,12.0,Feet,,,,,,,Public Hearing,No,No,3,Acres per 4+-Family,0.33,Units per Acre,50.0,Feet,25.0,Feet,50.0,Feet,,,30.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,No,No,2.0,Stories,12.0,Feet,,,,,,,4.0,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Public Hearing,No,No,Yes,No,,,,,No,30.0,Percent of Main Unit,750.0,Square Feet,,,Allowed/Conditional,Yes,5.0,Acres per PRD,0.44,Units per Acre,,,,,,,,,,,,,,,,,,,,,,,65.0,65.0,65.0,65.0,,f,,t,t,
5,Completed,2024-04-14,Published,2024-04-15,Vermont,Rutland County,Mendon,,FLOOD HAZARD,Flood Hazard Overlay District,2024-04-03,,Yes,No,Yes,Nonresidential,Agricultural-Industrial,No,No,,"""Development within the regulatory floodway is prohibited unless it has been demonstrated through hydrologic and hydraulic analyses performed in accordance with standard engineering practice, by a registered professional engineer, certifying that the proposed development will result in no increase in flood levels during the occurrence of the base flood.""",Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Prohibited,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Completed,2024-04-12,Published,2024-04-15,Vermont,Rutland County,Mendon,,RESIDENTIAL 1,Residential I,2024-04-03,,Yes,No,No,Primarily Residential,,No,No,,"Two family only allowed if owner occupied.
Frontage is 65 feet per acre up to 500 feet.",Allowed/Conditional,1,Acres,50.0,Feet,25.0,Feet,50.0,Feet,,,50.0,Percent,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,3.0,Stories,20.0,Feet,,,,,Allowed/Conditional,No,No,1,Acres per 2-Family,1,Units per Acre,50.0,Feet,25.0,Feet,50.0,Feet,,,50.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,3.0,Stories,20.0,Feet,,,,,Public Hearing,No,No,1,Acres per 3-Family,1,Units per Acre,50.0,Feet,25.0,Feet,50.0,Feet,,,50.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,No,No,3.0,Stories,20.0,Feet,,,,,,,Public Hearing,No,No,1,Acres per 4+-Family,1,Units per Acre,50.0,Feet,25.0,Feet,50.0,Feet,,,50.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,No,No,3.0,Stories,20.0,Feet,,,,,,,4.0,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30.0,Percent of Main Unit,750.0,Square Feet,,,Allowed/Conditional,Yes,5.0,Acres per PRD,1.33,Units per Acre,,,,,,,,,,,,,,,,,,,,,,,65.0,65.0,65.0,65.0,,f,,t,t,
7,Completed,2024-04-12,Published,2024-04-15,Vermont,Rutland County,Mendon,,RESIDENTIAL 2,Residential II,2024-04-03,,Yes,No,No,Primarily Residential,,No,No,,"Two family only allowed if owner occupied.
Frontage is 65 feet per acre up to 500 feet.",Allowed/Conditional,2,Acres,50.0,Feet,25.0,Feet,50.0,Feet,,,50.0,Percent,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,3.0,Stories,20.0,Feet,,,,,Allowed/Conditional,No,No,2,Acres per 2-Family,0.5,Units per Acre,50.0,Feet,25.0,Feet,50.0,Feet,,,50.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,3.0,Stories,20.0,Feet,,,,,Public Hearing,No,No,2,Acres per 3-Family,0.5,Units per Acre,50.0,Feet,25.0,Feet,50.0,Feet,,,50.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,No,No,3.0,Stories,20.0,Feet,,,,,,,Public Hearing,No,No,2,Acres per 4+-Family,0.5,Units per Acre,50.0,Feet,25.0,Feet,50.0,Feet,,,50.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,No,No,3.0,Stories,20.0,Feet,,,,,,,4.0,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30.0,Percent of Main Unit,750.0,Square Feet,,,Allowed/Conditional,Yes,5.0,Acres per PRD,0.67,Units per Acre,,,,,,,,,,,,,,,,,,,,,,,65.0,65.0,65.0,65.0,,f,,t,t,
8,Completed,2024-04-12,Published,2024-04-15,Vermont,Rutland County,Mendon,,RESIDENTIAL 3,Residential III,2024-04-03,,Yes,No,No,Primarily Residential,,No,No,,"Two family only allowed if owner occupied.
Frontage is 65 feet per acre up to 500 feet.",Allowed/Conditional,3,Acres,50.0,Feet,25.0,Feet,50.0,Feet,,,50.0,Percent,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,3.0,Stories,20.0,Feet,,,,,Allowed/Conditional,No,No,3,Acres per 2-Family,0.33,Units per Acre,50.0,Feet,25.0,Feet,50.0,Feet,,,50.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,3.0,Stories,20.0,Feet,,,,,Public Hearing,No,No,3,Acres per 3-Family,0.33,Units per Acre,50.0,Feet,25.0,Feet,50.0,Feet,,,50.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,No,No,3.0,Stories,20.0,Feet,,,,,,,Public Hearing,No,No,3,Acres per 4+-Family,0.33,Units per Acre,50.0,Feet,25.0,Feet,50.0,Feet,,,50.0,Percent,,,1 per bedroom + 1 per dwelling unit + 1 per non-residential employee,Alternatives,No,No,3.0,Stories,20.0,Feet,,,,,,,4.0,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30.0,Percent of Main Unit,750.0,Square Feet,,,Allowed/Conditional,Yes,5.0,Acres per PRD,0.44,Units per Acre,,,,,,,,,,,,,,,,,,,,,,,65.0,65.0,65.0,65.0,,f,,t,t,
9,Completed,2024-04-14,Published,2024-04-15,Vermont,Rutland County,Mendon,,RIDGELINE,Ridgeline Overlay District,2024-04-03,,Yes,No,Yes,Nonresidential,Agricultural-Industrial,No,No,,"Does not include 25% slope district in map.
This district changes base district permissions to public hearing.",Overlay,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Overlay,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Overlay,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Overlay,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
