,Status,Last Updated,Jurisdiction Status,Jurisdiction Last Updated,State,County,Jurisdiction,Parent Jurisdiction,Abbreviated District Name,Full District Name,Effective Start Date,Changed or Expired,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Most Common Nonresidential Use Permitted,Affordable Housing District,Elderly Housing District,Internal Notes,Visible Atlas Notes,1-Family Treatment,1-Family Min. Lot Size,1-Family Min. Lot Size Units,1-Family Front Setback,1-Family Front Setback Units,1-Family Side Setback,1-Family Side Setback Units,1-Family Rear Setback,1-Family Rear Setback Units,1-Family Max Lot Coverage - Buildings,1-Family Max Lot Coverage - Buildings Units,1-Family Max Lot Coverage - Buildings & Impervious Surface,1-Family Max Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. Parking,1-Family Min. Parking Units,1-Family Max Stories,1-Family Max Stories Units,1-Family Max Height,1-Family Max Height Units,1-Family Floor to Area Ratio,1-Family Floor to Area Ratio Units,1-Family Min. Unit Size,1-Family Min. Unit Size Units,2-Family Treatment,2-Family Affordable Only,2-Family Elderly Only,2-Family Min Lot Size,2-Family Min Lot Size Units,2-Family Max Density,2-Family Max Density Units,2-Family Front Setback,2-Family Front Setback Units,2-Family Side Setback,2-Family Side Setback Units,2-Family Rear Setback,2-Family Rear Setback Units,2-Family Max Lot Coverage Buildings,2-Family Max Lot Coverage Buildings Units,2-Family Max Lot Coverage Buildings & Impervious,2-Family Max Lot Coverage Buildings & Impervious Units,2-Family Min Parking Per Studio/1BR,2-Family Min Parking Per Studio/1BR Units,2-Family Min Parking Per 2+ BR,2-Family Min Parking Per 2+ BR Units,2-Family Max Stories,2-Family Max Stories Units,2-Family Max Height,2-Family Max Height Units,2-Family Floor to Area Ratio,2-Family Floor to Area Ratio Units,2-Family Min Unit Size,2-Family Min Unit Size Units,3-Family Treatment,3-Family Affordable Only,3-Family Elderly Only,3-Family Min Lot Size,3-Family Min Lot Size Units,3-Family Max Density,3-Family Max Density Units,3-Family Front Setback,3-Family Front Setback Units,3-Family Side Setback,3-Family Side Setback Units,3-Family Rear Setback,3-Family Rear Setback Units,3-Family Max Lot Coverage Buildings,3-Family Max Lot Coverage Buildings Units,3-Family Max Lot Coverage Buildings & Impervious,3-Family Max Lot Coverage Buildings & Impervious Units,3-Family Min Parking Per Studio/1BR,3-Family Min Parking Per Studio/1BR Units,3-Family Min Parking Per 2+ BR,3-Family Min Parking Per 2+ BR Units,3-Family Sewer/Water Required,3-Family Public Transit Required,3-Family Max Stories,3-Family Max Stories Units,3-Family Max Height,3-Family Max Height Units,3-Family Floor to Area Ratio,3-Family Floor to Area Ratio Units,3-Family Min Unit Size,3-Family Min Unit Size Units,3-Family Max Bedrooms,3-Family Max Bedrooms Units,4+-Family Treatment,4+-Family Affordable Only,4+-Family Elderly Only,4+-Family Min Lot Size,4+-Family Min Lot Size Units,4+-Family Max Density,4+-Family Max Density Units,4+-Family Front Setback,4+-Family Front Setback Units,4+-Family Side Setback,4+-Family Side Setback Units,4+-Family Rear Setback,4+-Family Rear Setback Units,4+-Family Max Lot Coverage Buildings,4+-Family Max Lot Coverage Buildings Units,4+-Family Max Lot Coverage Buildings & Impervious,4+-Family Max Lot Coverage Buildings & Impervious Units,4+-Family Min Parking Per Studio/1BR,4+-Family Min Parking Per Studio/1BR Units,4+-Family Min Parking Per 2+ BR,4+-Family Min Parking Per 2+ BR Units,4+-Family Sewer/Water Required,4+-Family Public Transit Required,4+-Family Max Stories,4+-Family Max Stories Units,4+-Family Max Height,4+-Family Max Height Units,4+-Family Floor to Area Ratio,4+-Family Floor to Area Ratio Units,4+-Family Min Unit Size,4+-Family Min Unit Size Units,4+-Family Max Bedrooms,4+-Family Max Bedrooms Units,4+-Family Max Units per Building,4+-Family Max Units per Building Units,Affordable Housing Treatment,Affordable Housing Definition,Affordable Elderly Only,Affordable Min Lot Size,Affordable Min Lot Size Units,Affordable Max Density,Affordable Max Density Units,Affordable Min Parking Per Studio/1BR,Affordable Min Parking Per Studio/1BR Units,Affordable Min Parking Per 2+ BR,Affordable Min Parking Per 2+ BR Units,Affordable Sewer/Water Required,Affordable Public Transit Required,Affordable Min Unit Size,Affordable Min Unit Size Units,Affordable Max Bedrooms,Affordable Max Bedrooms Units,Affordable Max Units per Building,Affordable Max Units per Building Units,ADU Treatment,ADU Employee/Family Required,ADU Renter Prohibited,ADU Owner Occupancy Required,ADU Elderly Only,ADU Min Lot Size,ADU Min Lot Size Units,ADU Min Parking,ADU Min Parking Units,ADU Only Primary Structure,ADU Max Size (% of Main),ADU Max Size (% of Main) Units,ADU Max Size (sq ft),ADU Max Size (sq ft) Units,ADU Max Bedrooms,ADU Max Bedrooms Units,PRD Treatment,PRD Mobile or Manufactured,PRD Min Development Size,PRD Min Development Size Units,PRD Max Density,PRD Max Density Units,PRD Max Units,PRD Max Units Units,5+Family Affordable Housing Only,5+Family Elderly Housing Only,5+Family Min. Lot (ACRES),5+Family Max. Density (UNITS/ACRE),5+Family Front Setback (# of feet),5+Family Side Setback (# of feet),5+Family Rear Setback (# of feet),5+Family Max. Lot Coverage - Buildings (%),5+Family Max. Lot Coverage - Buildings & Imperviou,5+Family Min. # Parking Spaces Per Studio or 1BR,5+Family Min. # Parking Spaces Per 2+ BR,5+Family Connection to Sewer and/or Water Required,5+Family Connection or Proximity to Public Transit,5+Family Max. Height (# of stories),5+Family Max. Height (# of feet),5+Family Floor to Area Ratio,5+Family Min. Unit Size (SF),5+Family Max. # Bedrooms Per Unit,5+Family Max. # Units Per Building,Base Residential Density (#dwellings/acre),1-Family Lot Frontage Requirement,2-Family Lot Frontage Requirement,3-Family Lot Frontage Requirement,4-Family Lot Frontage Requirement,5+-Family Lot Frontage Requirement,PUD required with Subdivision,PUD Threshold #,PUD allowed,PUD requiring land conservation,Unique GIS schema identifier
0,Completed,2024-05-24,Published,2024-05-29,Vermont,Washington County,Berlin,,AIR,Airport Overlay District,2024-05-21,,No,No,Yes,Overlay not Affecting Use,,No,No,,"Overlay rules for development dimensions/other rules are detailed on Page 2-41 of the Berlin Land Use and Development Regulations (zoning code). There are new height limitations, but only that structures should not be so tall as to interfere with air traffic.",Overlay,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Overlay,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Overlay,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Overlay,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Completed,2024-05-24,Published,2024-05-29,Vermont,Washington County,Berlin,,COM,Commercial District,2024-05-21,,Yes,No,No,Mixed with Residential,Retail/Service,No,No,,"Water/wastewater connections are required for subdivisions located within the public water service area, but this ruling is not specified for structures in general. If a lot is located within the public water service area it is probable that a connection to water and/or wastewater is required. Conditional use review required for multi-family developments with 16+ units. ""Accessory dwellings [...] are allowed only as an accessory use to a pre-existing dwelling"" (Page 2-23). As such, ADUs are marked as prohibited for new developments.",Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Public Hearing,No,No,0.69,Acres per 3-Family,21.78,Units per Acre,35,Feet,25ft (or 50ft if abutting a rural/residential district),Contextual,25ft (or 100ft if abutting a rural/residential district),Contextual,,,75,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,55,Feet,1,Ratio,,,,,Allowed/Conditional,No,No,0.69,Acres per 4+-Family,21.78,Units per Acre,35,Feet,25ft (or 50ft if abutting a rural/residential district),Contextual,25ft (or 100ft if abutting a rural/residential district),Contextual,,,75,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,55,Feet,1,Ratio,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,21.78,,,120.0,120.0,120.0,,,f,,
2,Completed,2024-05-26,Published,2024-05-29,Vermont,Washington County,Berlin,,FLD,Flood Hazard Overlay District,2024-05-21,,No,No,Yes,Nonresidential,Open Space/Light Recreation,No,No,," New residential developments of any kind are not permitted within the floodway. Outside the floodway multi-family housing and large accessory structures (>500sqft) is permitted conditionally (with public hearing) in districts other than the following: Rural 40, Rural 218, Upland Conservation, and Shoreland Conservation. Small accessory structures (=<500sqft) are permitted everywhere outside the floodway.",Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Prohibited,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,Public Hearing,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,Public Hearing,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,,,"500sqft in Rural 40/218, Shoreland/Upland Conservation; 1200sqft Elsewhere",Contextual,,,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Completed,2024-05-26,Published,2024-05-29,Vermont,Washington County,Berlin,,HAM,Hamlet District,2024-05-21,,Yes,No,No,Primarily Residential,,No,No,,"Water/wastewater connections are required for subdivisions located within the public water service area, but this ruling is not specified for structures in general. If a lot is located within the public water service area it is probable that a connection to water and/or wastewater is required.",Allowed/Conditional,0.37,Acres,30.0,Feet,10,Feet,20,Feet,,,80.0,Percent,1.0,Spaces per Unit,,,35.0,Feet,1,Ratio,,,Allowed/Conditional,No,No,0.37,Acres per 2-Family,5.45,Units per Acre,30.0,Feet,10,Feet,20,Feet,,,80.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,1,Ratio,,,Public Hearing,No,No,0.37,Acres per 3-Family,5.45,Units per Acre,30,Feet,10,Feet,20,Feet,,,80,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35,Feet,1,Ratio,,,,,Public Hearing,No,No,0.37,Acres per 4+-Family,5.45,Units per Acre,30,Feet,10,Feet,20,Feet,,,80,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35,Feet,1,Ratio,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,1200,Square Feet,,,Public Hearing,No,,,8.17,Units per Acre,12,Units per PRD,f,f,0.37,5.45,30.0,10.0,20.0,,80.0,1.0,1.0,,f,,35.0,1.0,,,,5.47,90.0,90.0,90.0,90.0,90.0,f,,t,f,
4,Completed,2024-05-28,Published,2024-05-29,Vermont,Washington County,Berlin,,IND,Industrial District,2024-05-21,,Yes,No,No,Nonresidential,Industrial,No,No,,"""Accessory dwellings [...] are allowed only as an accessory use to a pre-existing dwelling"" (Page 2-25). Preexisting meaning before the date of the last version of that section (2105.B(29)), which is March 5th, 2019.",Prohibited,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,1200,Square Feet,,,Prohibited,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
5,Completed,2024-05-28,Published,2024-05-29,Vermont,Washington County,Berlin,,LI,Light Industrial District,2024-05-21,,Yes,No,No,Nonresidential,Mixed - Industrial-Commercial,No,No,,"""Accessory dwellings [...] are allowed only as an accessory use to a pre-existing dwelling"" (Page 2-25). Preexisting meaning before the date of the last version of that section (2104.B(26)), which is March 5th, 2019.",Prohibited,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,Prohibited,No,No,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,,,,,,,,No,No,,,,,,,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,1200,Square Feet,,,Prohibited,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,
6,Completed,2024-05-26,Published,2024-05-29,Vermont,Washington County,Berlin,,MU,Mixed Use District,2024-05-21,,Yes,No,No,Mixed with Residential,Retail/Service,No,No,,"Water/wastewater connections are required for subdivisions located within the public water service area, but this ruling is not specified for structures in general. If a lot is located within the public water service area it is probable that a connection to water and/or wastewater is required.",Public Hearing,0.69,Acres,35.0,Feet,25ft (or 50ft if abutting a rural/residential district),Contextual,25ft (or 100ft if abutting a rural/residential district),Contextual,,,60.0,Percent,1.0,Spaces per Unit,,,35.0,Feet,1.5,Ratio,,,Public Hearing,No,No,0.69,Acres per 2-Family,4.36,Units per Acre,35.0,Feet,25ft (or 50ft if abutting a rural/residential district),Contextual,25ft (or 100ft if abutting a rural/residential district),Contextual,,,60.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,1.5,Ratio,,,Public Hearing,No,No,0.69,Acres per 3-Family,4.36,Units per Acre,35,Feet,25ft (or 50ft if abutting a rural/residential district),Contextual,25ft (or 100ft if abutting a rural/residential district),Contextual,,,60,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35,Feet,1.5,Ratio,,,,,Public Hearing,No,No,0.69,Acres per 4+-Family,4.36,Units per Acre,35,Feet,25ft (or 50ft if abutting a rural/residential district),Contextual,25ft (or 100ft if abutting a rural/residential district),Contextual,,,60,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35,Feet,1.5,Ratio,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,1200,Square Feet,,,Public Hearing,No,2,Acres per PRD,,,,,,,,,,,,,,,,,,,,,,,,4.36,120.0,120.0,120.0,120.0,120.0,f,,t,f,
7,Completed,2024-05-26,Published,2024-05-29,Vermont,Washington County,Berlin,,RES,Residential District,2024-05-21,,Yes,No,No,Primarily Residential,,No,No,,"Water/wastewater connections are required for subdivisions located within the public water service area, but this ruling is not specified for structures in general. If a lot is located within the public water service area it is probable that a connection to water and/or wastewater is required. Conditional use review required for multi-family developments with 8+ units.",Allowed/Conditional,0.28,Acres,40.0,Feet,15,Feet,30,Feet,,,40.0,Percent,1.0,Spaces per Unit,,,35.0,Feet,0.3,Ratio,,,Allowed/Conditional,No,No,0.28,Acres per 2-Family,7.26,Units per Acre,40.0,Feet,15,Feet,30,Feet,,,40.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,0.3,Ratio,,,Public Hearing,No,No,0.28,Acres per 3-Family,7.26,Units per Acre,40,Feet,15,Feet,30,Feet,,,40,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35,Feet,0.3,Ratio,,,,,Public Hearing,No,No,0.28,Acres per 4+-Family,7.26,Units per Acre,40,Feet,15,Feet,30,Feet,,,40,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35,Feet,0.3,Ratio,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,1200,Square Feet,,,Public Hearing,Yes,2 acres for Neighborhood; N/A for Cluster; N/A for Mobile Home,Contextual,N/A for Neighborhood; 1.5*Base Density for Cluster; 2*Base for Mobile Home,Contextual,N/A for Neighborhood; 12 for Cluster; N/A for Mobile Home,Contextual,f,f,0.28,7.26,40.0,15.0,30.0,,40.0,1.0,1.0,,f,,35.0,0.3,,,,7.26,60.0,60.0,60.0,60.0,60.0,f,,t,f,
8,Completed,2024-05-26,Published,2024-05-29,Vermont,Washington County,Berlin,,RL-218,Rural 218 District,2024-05-21,,Yes,No,No,Primarily Residential,,No,No,,"Water/wastewater connections are required for subdivisions located within the public water service area, but this ruling is not specified for structures in general. If a lot is located within the public water service area it is probable that a connection to water and/or wastewater is required.",Allowed/Conditional,5.0,Acres,50.0,Feet,20,Feet,20,Feet,,,20.0,Percent,1.0,Spaces per Unit,,,35.0,Feet,0.1,Ratio,,,Allowed/Conditional,No,No,5.0,Acres per 2-Family,0.2,Units per Acre,50.0,Feet,20,Feet,20,Feet,,,20.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,0.1,Ratio,,,Public Hearing,No,No,5,Acres per 3-Family,0.2,Units per Acre,50,Feet,20,Feet,20,Feet,,,20,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35,Feet,0.1,Ratio,,,,,Public Hearing,No,No,5,Acres per 4+-Family,0.2,Units per Acre,50,Feet,20,Feet,20,Feet,,,20,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35,Feet,0.1,Ratio,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,1200,Square Feet,,,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,f,f,5.0,0.2,50.0,20.0,20.0,,20.0,1.0,1.0,,f,,35.0,0.1,,,,0.2,300.0,300.0,300.0,300.0,300.0,,,f,,
9,Completed,2024-05-26,Published,2024-05-29,Vermont,Washington County,Berlin,,RL-40,Rural 40 District,2024-05-21,,Yes,No,No,Primarily Residential,,No,No,,"Water/wastewater connections are required for subdivisions located within the public water service area, but this ruling is not specified for structures in general. If a lot is located within the public water service area it is probable that a connection to water and/or wastewater is required.",Allowed/Conditional,0.92,Acres,50.0,Feet,20,Feet,20,Feet,,,20.0,Percent,1.0,Spaces per Unit,,,35.0,Feet,"0.5 if lot <40,000sqft; 0.2 if lot >=40,000sqft,<5acres; 0.1 if lot <5acres",Contextual,,,Allowed/Conditional,No,No,0.92,Acres per 2-Family,1.089/acre if accessed via Class 2/3 road; otherwise 0.2/acre,Contextual,50.0,Feet,20,Feet,20,Feet,,,20.0,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,,,35.0,Feet,"0.5 if lot <40,000sqft; 0.2 if lot >=40,000sqft,<5acres; 0.1 if lot <5acres",Contextual,,,Public Hearing,No,No,0.92,Acres per 3-Family,1.089/acre if accessed via Class 2/3 road; otherwise 0.2/acre,Contextual,50,Feet,20,Feet,20,Feet,,,20,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35,Feet,"0.5 if lot <40,000sqft; 0.2 if lot >=40,000sqft,<5acres; 0.1 if lot <5acres",Contextual,,,,,Public Hearing,No,No,0.92,Acres per 4+-Family,1.089/acre if accessed via Class 2/3 road; otherwise 0.2/acre,Contextual,50,Feet,20,Feet,20,Feet,,,20,Percent,1.0,Spaces per Unit,1.0,Spaces per Unit,No,No,,,35,Feet,"0.5 if lot <40,000sqft; 0.2 if lot >=40,000sqft,<5acres; 0.1 if lot <5acres",Contextual,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,,,1.0,Parking Spaces Add'l to Main Unit,No,60.0,Percent of Main Unit,1200,Square Feet,,,Public Hearing,Yes,,,1.5*Base Density for Cluster; 2*Base for Mobile Home,Contextual,12 for Cluster; N/A for Mobile Home,Contextual,,,,,,,,,,,,,,,,,,,,,120.0,120.0,120.0,120.0,120.0,f,,t,f,
