Abbreviated District Name,RR,Units/Special,F1,Units/Special,F2,Units/Special,FHO,Units/Special,RCO,Units/Special
County,Sangate,,Sangate,,Sangate,,Sangate,,Sangate,
Jurisdiction,Bennington,,Bennington,,Bennington,,Bennington,,Bennington,
Full District Name,Rural Residential,,Forest 1,,Forest 2,,Flood Hazard Overlay,,River Corridor Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Public Hearing Required,
Notes - Write any explanations here.,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,5,Acres Per Treatment,25,Acres Per Treatment,,N/A,,N/A
Front Setback (ft),50,Feet,50,Feet,50,Feet,,N/A,,N/A
Side Setback (ft),50,Feet,50,Feet,50,Feet,,N/A,,N/A
Rear Setback (ft),50,Feet,50,Feet,50,Feet,,N/A,,N/A
Frontage (ft),300,Feet,300,Feet,300,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),30,Feet,30,Feet,Height of Backdrop,Contextual,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,
Minimum Lot Size (acres),2,Acres Per Treatment,5,Acres Per Treatment,25,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),1,Units Per Acre,0.4,Units Per Acre,0.08,Units Per Acre,,N/A,,N/A
Front Setback (ft),50,Feet,50,Feet,50,Feet,,N/A,,N/A
Side Setback (ft),50,Feet,50,Feet,50,Feet,,N/A,,N/A
Rear Setback (ft),50,Feet,50,Feet,50,Feet,,N/A,,N/A
Frontage (ft),300,Feet,300,Feet,300,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),30,Feet,30,Feet,Height of Backdrop,Contextual,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,
Affordable Housing Only,No,,No,,,,No,,No,
Elderly Housing Only,No,,No,,,,No,,No,
Minimum Lot Size (acres),6,Acres Per Treatment,15,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),0.5,Units Per Acre,0.2,Units Per Acre,,Units Per Acre,,N/A,,N/A
Front Setback (ft),50,Feet,50,Feet,,Feet,,N/A,,N/A
Side Setback (ft),50,Feet,50,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),50,Feet,50,Feet,,Feet,,N/A,,N/A
Frontage (ft),300,Feet,300,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Connection to Sewer and/or Water Required,No,,No,,,,No,,No,
Connection or Proximity to Public Transit Required,No,,No,,,,No,,No,
Max. Stories,,N/A,,N/A,,Stories,,N/A,,N/A
Max. Height (ft),30,Feet,30,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,,,No,,No,
Elderly Housing Only,No,,No,,,,No,,No,
Minimum Lot Size (acres),8,Acres Per Treatment,20,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
