Abbreviated District Name,CON,Units/Special,DCO,Units/Special,DSO,Units/Special,HN,Units/Special,LDR,Units/Special,MDR I,Units/Special,MDR II,Units/Special,R2,Units/Special,VC,Units/Special,VR,Units/Special
County,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,
Jurisdiction,Danville,,Danville,,Danville,,Danville,,Danville,,Danville,,Danville,,Danville,,Danville,,Danville,
Full District Name,Conservation,,Design Control Overlay,,Developed Shoreland Overlay,,Historic Neighborhoods,,Low Density Residential,,Medium Density Residential 1,,Medium Density Residential 2,,Route 2,,Village Core,,Village Residential,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,Yes,,Yes,,No,,No,,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Overlay not Affecting Use,,Overlay not Affecting Use,,Primarily residential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Primarily residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Prohibited,,Overlay,,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Prohibited,,Overlay,,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,
4+-Family Allowed?,Prohibited,,Overlay,,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,
5+-Family Allowed?,Prohibited,,Overlay,,Overlay,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Not Mentioned,,Overlay,,Overlay,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Not Mentioned,,Overlay,,Overlay,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,,,"Maximum building footprint 1,500 sq ft",,"Maximum impervious footprint 2,500 sq ft",,,,,,,,"Maximum impervious footprint of 15,000 sq ft",,"Maximum impervious footprint 5,000 sq ft",,"Maximum impervious footprint 2,500 sq ft",
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),10,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,1.5,Acres Per Treatment,0.459,Acres Per Treatment,0.195,Acres Per Treatment,0.23,Acres Per Treatment
Front Setback (ft),25,Feet,,Feet,25 from mean high water,Contextual,"10; or the average of existing front setback distances on adjacent lots on either side, whichever is greater.",Alternative,25,Feet,25,Feet,25,Feet,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principle building within the block on the same side of the street as the subject property.",Contextual,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principal building within the block on the same side of the street as the subject property.",Contextual,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principal building within the block on the same side of the street as the subject property.",Contextual
Side Setback (ft),35,Feet,,Feet,,Feet,"5; or the average of existing side setback distances on adjacent lots on either side, whichever is greater.",Feet,35,Feet,35,Feet,35,Feet,15,Feet,5; or average of existing on adjacent lots if lesser,Alternative,10,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),300,Feet,,Feet,50,Feet,50,Feet,150,Feet,125,Feet,150,Feet,100,Feet,50,Feet,50,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,20,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,25,Feet,35,Feet,,Feet,,Feet,,Feet,40,Feet,40,Feet,30,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,,,,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,,,No,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,1.5,Acres Per Treatment,0.459,Acres Per Treatment,0.195,Acres Per Treatment,0.23,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
