Abbreviated District Name,CON,Units/Special,C/I,Units/Special,RR,Units/Special,SL,Units/Special,V,Units/Special
County,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,
Jurisdiction,Groton,,Groton,,Groton,,Groton,,Groton,
Full District Name,Conservation District,,Commercial/Industrial,,Rural Residential District,,Shoreland District,,Village District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,
Type of Residential District?,,,,,Primarily residential,,Primarily residential,,Mixed with Residential,
Affordable Housing District?,,,,,No,,No,,No,
Elderly Housing District?,,,,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,
4+-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,
5+-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
Notes - Write any explanations here.,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,
Minimum Lot Size (acres),25,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment,"0.11ac for existing lots < 0.92ac, 0.92ac otherwise",Contextual,0.92,Acres Per Treatment
Front Setback (ft),100,Feet,35,Feet,35,Feet,40,Feet,35,Feet
Side Setback (ft),200,Feet,25,Feet,25,Feet,"40ft for >0.92ac lots, 10ft otherwise",Contextual,25,Feet
Rear Setback (ft),200,Feet,25,Feet,25,Feet,25,Feet,25,Feet
Frontage (ft),500,Feet,100,Feet,100,Feet,"100ft for >0.92ac lots, 50ft otherwise",Contextual,100,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A
