Abbreviated District Name,R,Units/Special,C/LI,Units/Special,H,Units/Special,FHA,Units/Special
County,Caledonia,,Caledonia,,Caledonia,,Caledonia,
Jurisdiction,Kirby,,Kirby,,Kirby,,Kirby,
Full District Name,Residential,,Commercial/Light Industrial,,Highlands,,Special Flood Hazard Area,
District Mapped,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Mixed with Residential,,Primarily residential,,Nonresidential,
Affordable Housing District?,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,
2-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,
3-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,
5+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Not Mentioned,,Allowed/Permitted (Hearing not required),,Prohibited,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,,,,,,
1-Family Dimensions,,,,,,,,
Minimum Lot Size (acres),5,Acres Per Treatment,5,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment
Front Setback (ft),75,Feet,75,Feet,75,Feet,,Feet
Side Setback (ft),50,Feet,50,Feet,50,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,50,Feet,,Feet
Frontage (ft),20,Feet,20,Feet,20,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces,,N/A,,N/A,,N/A,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet
2-Family Dimensions,,,,,,,,
Affordable Housing Only,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,,
Minimum Lot Size (acres),5,Acres Per Treatment,5,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre
Front Setback (ft),75,Feet,75,Feet,75,Feet,,Feet
Side Setback (ft),50,Feet,50,Feet,50,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,50,Feet,,Feet
Frontage (ft),20,Feet,20,Feet,20,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet
3-Family Dimensions,,,,,,,,
Affordable Housing Only,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,,
Minimum Lot Size (acres),5,Acres Per Treatment,5,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre
Front Setback (ft),75,Feet,75,Feet,75,Feet,,Feet
Side Setback (ft),50,Feet,50,Feet,50,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,50,Feet,,Feet
Frontage (ft),20,Feet,20,Feet,20,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,No,No,,No,,,
Connection or Proximity to Public Transit Required,No,No,No,,No,,,
Max. Stories,,N/A,,Stories,,Stories,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio
