Abbreviated District Name,RR,Units/Special,RN,Units/Special,VC,Units/Special,P,Units/Special,IND,Units/Special,COM,Units/Special,LCI,Units/Special,MS,Units/Special,IC,Units/Special,IND/COM,Units/Special,FHAO,Units/Special
County,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,
Jurisdiction,Lyndon,,Lyndon,,Lyndon,,Lyndon,,Lyndon,,Lyndon,,Lyndon,,Lyndon,,Lyndon,,Lyndon,,Lyndon,
Full District Name,Rural Residential,,Residential Neighborhood,,Village Commercial,,Park,,Industrial,,Commercial,,Lyndon Corner Industrial,,Main Street,,Institutional Control,,Industrial/Commerical District,,Flood Hazard Area Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Mixed with Residential,,Nonresidential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Prohibited,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Prohibited,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,
Notes - Write any explanations here.,Lot classifications: 1) off-lot water and sewage 2) off-lot water or sewage 3) on-lot water and sewage,,Lot classifications: 1) off-lot water and sewage 2) off-lot water or sewage 3) on-lot water and sewage,,,,,,,,Lot classifications: 1) off-lot water and sewage 2) off-lot water or sewage 3) on-lot water and sewage,,,,,,,,Lot classifications: 1) off-lot water and sewage 2) off-lot water or sewage 3) on-lot water and sewage,,All new structures are prohibitted in this overlay.,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,
