Abbreviated District Name,RD,Units/Special,VD,Units/Special,SL1,Units/Special,SL2,Units/Special,AO,Units/Special,WH,Units/Special
County,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,
Jurisdiction,Peacham,,Peacham,,Peacham,,Peacham,,Peacham,,Peacham,
Full District Name,Rural District,,Village District,,Shoreland One,,Shoreland Two,,Agricultural Overlay,,Wellhead Protection Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,No,
Overlay District?,No,,No,,No,,No,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Primarily residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,
3-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Prohibited,
4+-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Prohibited,
5+-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,
Notes - Write any explanations here.,"ADUs become a conditional use when ""a new accessory structure [is] constructed after the enactment of these Zoning Regulations, or An increase in the height or floor area of the existing dwelling [occurs]""",,"Peacham's definition of ""dwelling, multi-family"" simply states ""more than three families,"" which is taken to include buildings housing 5+ families. As in the RD, ADUs become a conditional use in the VD when ""A new accessory structure [is] constructed after the enactment of these Zoning Regulations, or An increase in the height or floor area of the existing dwelling [occurs]""",,"ADUs become a conditional use when ""A new accessory structure [is] constructed after the enactment of these Zoning Regulations, or An increase in the height or floor area of the existing dwelling [occurs]""",,"ADUs become a conditional use when ""A new accessory structure [is] constructed after the enactment of these Zoning Regulations, or An increase in the height or floor area of the existing dwelling [occurs]""",,"PUD approval required for subdivision of three or more parcels. ADUs become a conditional use when ""A new accessory structure [is] constructed after the enactment of these Zoning Regulations, or An increase in the height or floor area of the existing dwelling [occurs]""",,"Although the WH district does modify permissible uses in underlying areas, the zoning code provides no dimensional standards for single-family development in the overlay. I am guessing that dimensional standards remain unchanged in the WH district and thus all that changes is the prohibition of other uses.",
1-Family Dimensions,,,,,,,,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,0.5,Acres Per Treatment,1,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment
