Abbreviated District Name,MDR,Units/Special,LD,Units/Special,RL,Units/Special,C1,Units/Special,C2,Units/Special,I,Units/Special,S,Units/Special
County,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,
Jurisdiction,Ryegate,,Ryegate,,Ryegate,q,Ryegate,,Ryegate,,Ryegate,,Ryegate,
Full District Name,Medium Density Residential,,Low Density,,Rural Land,,Commercial One,,Commercial Two,,Industrial,,Shoreland,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,No,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,
3-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Prohibited,
5+-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,
Affordable Housing Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,,,,,,,,,,,"front yards considered shoreland side towards water, back yards considered side towards primary road. Protective strip of vegetation at least 50' in depth required along all surface waters",
1-Family Dimensions,,,,,,,,,,,,,,
Minimum Lot Size (acres),0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,5,Acres Per Treatment,10,Acres Per Treatment,0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,0.46 acres/off-lot water+sewer; 1.38/off-lot water or sewer; 2.75/on-lot water+sewer,Alternative,0.92,Acres Per Treatment
Front Setback (ft),25'/off-lot water +/or sewer; 75'/on-lot water+sewer,Alternative,50,Feet,50,Feet,25'/off-lot water+sewer; 75'/off-lot water/sewer or on-lot water+sewer,Alternative,25'/off-lot water +/or sewer; 75'/on-lot water+sewer,Alternative,25'/on-lot water+sewer; 75'/off-lot water/sewer and on-lot water+sewer,Alternative,200,Feet
Side Setback (ft),15'/on-lot water+sewer; 25'/off-lot water/sewer and on-lot water+sewer,Alternative,50,Feet,50,Feet,10,Feet,15'/on-lot water+sewer; 25'/off-lot water/sewer and on-lot water+sewer,Alternative,10'/on-lot water+sewer; 20'/off-lot water/sewer and on-lot water+sewer,Alternative,15,Feet
Rear Setback (ft),35'/on-lot water+sewer; 50'/off-lot water/sewer and on-lot water+sewer,Alternative,75,Feet,100,Feet,20'/off-lot water+sewer; 50'/off-lot water/sewer or on-lot water+sewer,Alternative,35'/on-lot water+sewer; 50'/off-lot water/sewer and on-lot water+sewer,Alternative,20,Feet,15,Feet
Frontage (ft),100'/off-lot water +/or sewer; 150'/on-lot water+sewer,Alternative,400,Feet,400,Feet,100'/off-lot water +/or sewer; 150'/on-lot water+sewer,Alternative,100'/off-lot water +/or sewer; 150'/on-lot water+sewer,Alternative,100'/off-lot water +/or sewer; 200'/on-lot water+sewer,Alternative,200,Feet
Max. Lot Coverage - Buildings (%),30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,5,Acres Per Treatment,10 acres/unit,Alternative,0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,0.46 acres/off-lot water+sewer; 1.38/off-lot water or sewer; 2.75/on-lot water+sewer,Alternative,0.92,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
