Abbreviated District Name,C-D,Units/Special,COM,Units/Special,DCO,Units/Special,FHA,Units/Special,HDO,Units/Special,HS,Units/Special,IND,Units/Special,MU,Units/Special,R-A,Units/Special,R-B,Units/Special,RL-1,Units/Special,RL-2,Units/Special,R-T,Units/Special
County,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,
Jurisdiction,Saint Johnsbury,,Saint Johnsbury,,Saint Johnsbury,,Saint Johnsbury,,Saint Johnsbury,,Saint Johnsbury,,Saint Johnsbury,,Saint Johnsbury,,Saint Johnsbury,,Saint Johnsbury,,Saint Johnsbury,,Saint Johnsbury,,Saint Johnsbury,
Full District Name,Conservation District,,Commercial,,Design Control Overlay,,Special Flood Hazard Areas,,Historic District Overlay,,Health Services,,Industrial,,Mixed Use,,Residential A,,Residential B,,Rural Land 1,,Rural Land 2,,Residential Town,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,Yes,Yes,Yes,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Nonresidential,,Mixed with Residential,,Overlay not Affecting Use,,Mixed with Residential,,Overlay not Affecting Use,,Mixed with Residential,,Nonresidential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Primarily residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Prohibited,,Prohibited,,Overlay,,Public Hearing Required,,Overlay,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Prohibited,,Prohibited,,Overlay,,Public Hearing Required,,Overlay,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Prohibited,,Public Hearing Required,,Overlay,,Public Hearing Required,,Overlay,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
4+-Family Allowed?,Prohibited,,Public Hearing Required,,Overlay,,Public Hearing Required,,Overlay,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
5+-Family Allowed?,Prohibited,,Public Hearing Required,,Overlay,,Public Hearing Required,,Overlay,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
ADUs Allowed?,Prohibited,,Prohibited,,Overlay,,Public Hearing Required,,Overlay,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Prohibited,,Not Mentioned,,Overlay,,Public Hearing Required,,Overlay,,Not Mentioned,,Prohibited,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Prohibited,,Prohibited,,Overlay,,Public Hearing Required,,Overlay,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
Notes - Write any explanations here.,,,Multi-family dwellings permitted with CU permit. ,,,,,,,,"Housing for the elderly, homeless, people with medical conditions, and people recently released from prison",,,,3+ family allowed when located above the ground floor,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.138 if water and sewer off lot; 1.377 if water OR sewer on lot; 2.755 if water and sewer on lot,Alternative,0.230 if water and sewer off lot; 0.344 if water OR sewer on lot; 0.459 if water and sewer on lot,Alternative,0.034 if water and sewer off lot; 0.344 if water OR sewer on lot; 0.459 if water and sewer on lot,Alternative,10,Acres Per Treatment,0.75 if water and sewer off lot; 1.5 if water OR sewer on lot; 2 if water and sewer on lot,Alternative,0.172 if water and sewer off lot; 0.344 if water OR sewer on lot; 0.689 if water and sewer on lot,Alternative
Front Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,20,Feet,20,Feet,50,Feet,25 if water and sewer off lot; 25 if water OR sewer on lot; 50 if water and sewer on lot,Alternative,25,Feet
Side Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,15,Feet,15,Feet,50,Feet,25 if water and sewer off lot; 25 if water OR sewer on lot; 50 if water and sewer on lot,Alternative,15,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,25,Feet,25,Feet,100,Feet,50 if water and sewer off lot; 100 if water OR sewer on lot; 100 if water and sewer on lot,Alternative,35 if water and sewer off lot; 50 if water OR sewer on lot; 50 if water and sewer on lot,Alternative
Frontage (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,75 if water and sewer off lot; 100 if water OR sewer on lot; 200 if water and sewer on lot,Alternative,150 if water and sewer off lot; 150 if water OR sewer on lot; 175 if water and sewer on lot,Alternative,90 if water and sewer off lot; 125 if water OR sewer on lot; 175 if water and sewer on lot,Alternative,300,Feet,150 if water and sewer off lot; 200 if water OR sewer on lot; 300 if water and sewer on lot,Alternative,100 if water and sewer off lot; 125 if water OR sewer on lot; 150 if water and sewer on lot,Alternative
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,30,Percent,35,Percent,,Percent,,Percent,30,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,80,Feet,45,Feet,45,Feet,,Feet,,Feet,45,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,
