Abbreviated District Name,VIL,Units/Special,RUR,Units/Special,FOR,Units/Special,FPO,Units/Special
County,Caledonia,,Caledonia,,Caledonia,,Caledonia,
Jurisdiction,Stannard,,Stannard,,Stannard,,Stannard,
Full District Name,Village District,,Rural District,,Forest District,,Floodplain Overlay District,
District Mapped,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,
Affordable Housing District?,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,
3-Family Allowed?,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Prohibited,
4+-Family Allowed?,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Prohibited,
5+-Family Allowed?,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Prohibited,
PRDs Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,
Notes - Write any explanations here.,,,,,,,,
1-Family Dimensions,,,,,,,,
Minimum Lot Size (acres),3,Acres Per Treatment,4,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment
Front Setback (ft),25,Feet,25,Feet,25,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,75,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,100,Feet,,Feet
Frontage (ft),180,Feet,200,Feet,300,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),39,Feet,39,Feet,39,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet
2-Family Dimensions,,,,,,,,
Affordable Housing Only,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,,
Minimum Lot Size (acres),3,Acres Per Treatment,4,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),0.67,Units Per Acre,0.5,Units Per Acre,0.08,Units Per Acre,,Units Per Acre
Front Setback (ft),25,Feet,25,Feet,25,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,75,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,100,Feet,,Feet
Frontage (ft),180,Feet,200,Feet,300,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),39,Feet,39,Feet,39,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet
3-Family Dimensions,,,,,,,,
Affordable Housing Only,No,,No,,,,,
Elderly Housing Only,No,,No,,,,,
Minimum Lot Size (acres),3,Acres Per Treatment,4,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),1,Units Per Acre,0.75,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),25,Feet,25,Feet,,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,,Feet,,Feet
Frontage (ft),180,Feet,200,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,Yes,,Yes,,,,,
Connection or Proximity to Public Transit Required,No,,No,,,,,
Max. Stories,,N/A,,N/A,,Stories,,Stories
Max. Height (ft),39,Feet,39,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,,,,
Elderly Housing Only,No,,No,,,,,
Minimum Lot Size (acres),3,Acres Per Treatment,4,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),1.33,Units Per Acre,1,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),25,Feet,25,Feet,,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,,Feet,,Feet
Frontage (ft),180,Feet,200,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,Yes,,Yes,,,,,
Connection or Proximity to Public Transit Required,No,,No,,,,,
Max. Stories,,N/A,,N/A,,Stories,,Stories
Max. Height (ft),39,Feet,39,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,,,,
Elderly Housing Only,No,,No,,,,,
Minimum Lot Size (acres),3,Acres Per Treatment,4,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),1.67,Units Per Acre,1.25,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),25,Feet,25,Feet,,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,,Feet,,Feet
Frontage (ft),180,Feet,200,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,Yes,,Yes,,,,,
Connection or Proximity to Public Transit Required,No,,No,,,,,
Max. Stories,,N/A,,N/A,,Stories,,Stories
Max. Height (ft),39,Feet,39,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,
Elderly Housing Only,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,Yes,,Yes,,Yes,,,
Renter Occupancy Required,No,,No,,No,,,
Owner Occupancy Required,Yes,,Yes,,Yes,,,
Elderly Housing Only,No,,No,,No,,,
Minimum Lot Size (acres),3,Acres Per Treatment,4,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit
Restricted to Only Primary Structure,No,,No,,No,,,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,,Percent
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,Yes,,,,,,,
Minimum Lot Size (acres),5,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,
PUD Threshold #,,,,,,,,
PUD Allowed,,,,,,,,
PUD requiring land conservation,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
