Abbreviated District Name,VIL,Units/Special,IND,Units/Special,RES,Units/Special,SC,Units/Special,WL,Units/Special
County,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,
Jurisdiction,Sutton,,Sutton,,Sutton,,Sutton,,Sutton,
Full District Name,Village District,,Industrial District,,Residential District,,Scenic District,,Working Lands District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
Notes - Write any explanations here.,"""Dwelling, multi-family"" is defined as ""three or more families,"" which is taken to include 5+ families. Zoning code does not use the phrase ""front setback,"" so values for the phrase ""setback from the center of the road"" are displayed instead.",,"""Dwelling, multi-family"" is defined as ""three or more families,"" which is taken to include 5+ families. Zoning code does not use the phrase ""front setback,"" so values for the phrase ""setback from the center of the road"" are displayed instead.",,"""Dwelling, multi-family"" is defined as ""three or more families,"" which is taken to include 5+ families. Zoning code does not use the phrase ""front setback,"" so values for the phrase ""setback from the center of the road"" are displayed instead.",,"Zoning code does not use the phrase ""front setback,"" so values for the phrase ""setback from the center of the road"" are displayed instead.",,"Zoning code does not use the phrase ""front setback,"" so values for the phrase ""setback from the center of the road"" are displayed instead. ""New lots may be any size greater than one acre, however, the original lot must retain sufficient
acreage to remain eligible for tax abatement programs, such as Current Use enrollment. Lots
ineligible for Current Use enrollment may be developed in accordance with the maximum
density of 1 new lot for every 10 acres of land in single and separate ownership.""",
1-Family Dimensions,,,,,,,,,,
Minimum Lot Size (acres),0.46,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,2,Acres Per Treatment,1,Acres Per Treatment
Front Setback (ft),"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principal building within the block on the same side of the street as the subject property. All structures must be located outside of Town right-of-way unless otherwise approved by the Select Board",Contextual,50,Feet,75,Feet,75,Feet,75,Feet
Side Setback (ft),10,Feet,25,Feet,25,Feet,25,Feet,25,Feet
Rear Setback (ft),10,Feet,25,Feet,25,Feet,25,Feet,25,Feet
Frontage (ft),100,Feet,200,Feet,150,Feet,300,Feet,200,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),25,Feet,25,Feet,25,Feet,25,Feet,25,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,
Minimum Lot Size (acres),0.46,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,2,Acres Per Treatment,1,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,"1 new lot, in addition to the existing lot, for every 10 acres of land in single and separate ownership",Contextual
Front Setback (ft),"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principal building within the block on the same side of the street as the subject property. All structures must be located outside of Town right-of-way unless otherwise approved by the Select Board",Contextual,50,Feet,75,Feet,75,Feet,75,Feet
Side Setback (ft),10,Feet,25,Feet,25,Feet,25,Feet,25,Feet
Rear Setback (ft),10,Feet,25,Feet,25,Feet,25,Feet,25,Feet
Frontage (ft),100,Feet,200,Feet,150,Feet,300,Feet,200,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A
