Abbreviated District Name,IND-COM,Units/Special,VIL,Units/Special,RR,Units/Special
County,Caledonia,,Caledonia,,Caledonia,
Jurisdiction,Waterford,,Waterford,,Waterford,
Full District Name,Industrial Commercial District,,Village District,,Rural Residential District,
District Mapped,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,
Mapped But Extinct?,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,
Elderly Housing District?,No,,Yes,,No,
1-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Public Hearing Required,,Prohibited,,Public Hearing Required,
4+-Family Allowed?,Public Hearing Required,,Prohibited,,Public Hearing Required,
5+-Family Allowed?,Public Hearing Required,,Prohibited,,Public Hearing Required,
ADUs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,,,,
1-Family Dimensions,,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment
Front Setback (ft),65,Feet,65,Feet,65,Feet
Side Setback (ft),35,Feet,25,Feet,25,Feet
Rear Setback (ft),35,Feet,25,Feet,25,Feet
Frontage (ft),200,Feet,200,Feet,200,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A
Max. Height (ft),40,Feet,40,Feet,40,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,
Affordable Housing Only,No,,No,,No,
Elderly Housing Only,No,,No,,No,
Minimum Lot Size (acres),2,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment
Maximum Density (units/acre),0.5,Units Per Acre,0.5,Units Per Acre,0.5,Units Per Acre
Front Setback (ft),65,Feet,65,Feet,65,Feet
Side Setback (ft),35,Feet,25,Feet,25,Feet
Rear Setback (ft),35,Feet,25,Feet,25,Feet
Frontage (ft),200,Feet,200,Feet,200,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A
Max. Height (ft),40,Feet,40,Feet,40,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,
Affordable Housing Only,No,,,,No,
Elderly Housing Only,No,,,,No,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment
Maximum Density (units/acre),0.5,Units Per Acre,,Units Per Acre,0.5,Units Per Acre
Front Setback (ft),65,Feet,,Feet,65,Feet
Side Setback (ft),35,Feet,,Feet,25,Feet
Rear Setback (ft),35,Feet,,Feet,25,Feet
Frontage (ft),200,Feet,,Feet,200,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,
Connection or Proximity to Public Transit Required,,,,,,
Max. Stories,,N/A,,Stories,,N/A
Max. Height (ft),40,Feet,,Feet,40,Feet
Floor to Area Ratio,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,No,
Elderly Housing Only,No,,,,No,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment
Maximum Density (units/acre),0.5,Units Per Acre,,Units Per Acre,0.5,Units Per Acre
Front Setback (ft),65,Feet,,Feet,65,Feet
Side Setback (ft),35,Feet,,Feet,25,Feet
Rear Setback (ft),35,Feet,,Feet,25,Feet
Frontage (ft),200,Feet,,Feet,200,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,N/A
