Abbreviated District Name,MF1,Units/Special,MF2,Units/Special,MF3,Units/Special,VC,Units/Special,HA,Units/Special,MF-MU1,Units/Special,MF-MU2,Units/Special,TOD,Units/Special,RO,Units/Special,OS,Units/Special,LI,Units/Special,PE,Units/Special,PA,Units/Special,FP,Units/Special,MCU,Units/Special,POO,Units/Special,NLSO,Units/Special,R1,Units/Special,R2,Units/Special,DRO,Units/Special,HRO,Units/Special
County,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,
Jurisdiction,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,,Essex Junction,
Full District Name,Multi-Family Residential 1,,Multi-Family Residental 2,,Multi-Family Residential 2,,Village Center,,Highway-Arterial,,Multi-Family/Mixed-Use-1,,Multi-Family/Mixed-Use-2,,Transit Orriented Development,,Residential-Office,,Open Space,,Light Industrial,,Planned Exposition,,Planned Agriculture,,Flood Plain,,Mixed Commercial Use,,Professional Office Overlay,,North Lincoln Street Overlay,,Residential 1,,Residential 2,,Design Review Overlay,,Historic Preservation Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,No,,Yes,,No,,No,,No,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Nonresidential,,Nonresidential,,Mixed with Residential,,Nonresidential,,Mixed with Residential,,Nonresidential,,Nonresidential,,Mixed with Residential,,Mixed with Residential,,Overlay not Affecting Use,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,
