Abbreviated District Name,A/R,Units/Special,HDR,Units/Special,V R/C,Units/Special,G R/C,Units/Special,V/C,Units/Special,C,Units/Special,I/C,Units/Special,MHP,Units/Special,JC,Units/Special,VD,Units/Special,SPO,Units/Special,FHO,Units/Special
County,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,
Jurisdiction,Richmond,,Richmond,,Richmond,,Richmond,,Richmond,,Richmond,,Richmond,,Richmond,,Richmond,,Richmond,,Richmond,,Richmond,
Full District Name,Agricultural/Residential,,High Density Residential,,Village Residential/Commercial,,Gateway Residential/Commercial,,Village Commercial,,Commercial,,Industrial Commercial,,Mobile Home Park,,Jolina Court,,Village Downtown,,Shoreline Protection Overlay,,Flood Hazard Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Nonresidential,,Nonresidential,,Mixed with Residential,,Nonresidential,,Nonresidential,,Nonresidential,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Overlay,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Overlay,
3-Family Allowed?,Prohibited,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Overlay,
4+-Family Allowed?,Prohibited,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Overlay,
5+-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Overlay,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Prohibited,,Prohibited,,Prohibited,,Not Mentioned,,Prohibited,,Prohibited,,Prohibited,,Overlay,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,
Notes - Write any explanations here.,,,,,,,,,,,,,,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),1,Acres Per Treatment,0.67,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Front Setback (ft),55,Feet,35,Feet,10,Feet,30,Feet,,Feet,,Feet,,Feet,55,Feet,,Feet,,Feet,,Feet,,N/A
Side Setback (ft),20,Feet,10,Feet,10,Feet,10,Feet,,Feet,,Feet,,Feet,20,Feet,,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),20,Feet,15,Feet,15,Feet,10,Feet,,Feet,,Feet,,Feet,20,Feet,,Feet,,Feet,,Feet,,N/A
Frontage (ft),100,Feet,75,Feet,75,Feet,75,Feet,,Feet,,Feet,,Feet,100,Feet,,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),30,Percent,40,Percent,60,Percent,60,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,,,,,,,No,,,,,,,,No,
Elderly Housing Only,No,,No,,No,,No,,,,,,,,No,,,,,,,,No,
Minimum Lot Size (acres),1,Acres Per Treatment,0.67,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),2,Units Per Acre,3,Units Per Acre,9,Units Per Acre,9,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,2,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),55,Feet,35,Feet,10,Feet,30,Feet,,Feet,,Feet,,Feet,55,Feet,,Feet,,Feet,,Feet,,N/A
Side Setback (ft),20,Feet,10,Feet,10,Feet,10,Feet,,Feet,,Feet,,Feet,20,Feet,,Feet,,Feet,,Feet,,N/A
