Abbreviated District Name,R1,Units/Special,R2,Units/Special,R4,Units/Special,R7,Units/Special,R12,Units/Special,LN,Units/Special,QCP,Units/Special,SEQ-NRP,Units/Special,SEQ-NRT,Units/Special,SEQ-NR,Units/Special,SEQ-NRN,Units/Special,SEQ-VR,Units/Special,C1,Units/Special,C1-AUTO,Units/Special,C1-AIR,Units/Special,C1-LR,Units/Special,C2,Units/Special,SW,Units/Special,AR,Units/Special,R7-NC,Units/Special,SEQ-VC,Units/Special,IC,Units/Special,AIR,Units/Special,AIR-I,Units/Special,I-O,Units/Special,IA,Units/Special,PR,Units/Special,MU,Units/Special,FPO,Units/Special,TR,Units/Special,SVPO,Units/Special,IHO,Units/Special,TO,Units/Special,UDO,Units/Special,RCO,Units/Special,HBO,Units/Special,HCO,Units/Special,T-3,Units/Special,T-3+,Units/Special,T-4,Units/Special,T-5,Units/Special
County,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,,Chittenden,
Jurisdiction,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,,South Burlington,
Full District Name,Residential 1,,Residential 2,,Residential 4,,Residential 7,,Residential 12,,Lakeshore Neighborhood,,Queen City Park,,Southeast Quadrant-Natural Resource Protection,,Southeast Quadrant-Neighborhood Residential Transition,,Southeast Quadrant-Neighborhood Residential,,Southeast Quadrant-Neighborhood Residential North,,Southeast Quadrant-Village Residential,,Commercial 1,,Commercial 1 with Automobile Sales,,Commercial 1 with Airport-Related Uses,,Commercial 1 with Limited Retail,,Commercial 2,,Swift Street,,Allen Road,,Residential 7-Neighborhood Commercial,,Southeast Quadrant-Village Commercial,,Mixed Use Industrial and Commercial,,Airport,,Airport Industrial,,Industrial and Open Space,,Institutional and Agricultural,,Park and Recreation,,Municipal,,Floodplain Overlay,,Traffic Overlay,,Scenic View Protectio Overlay,,Interstate Highway Overlay,,Transit Overlay,,Urban Design Overlay,,River Corridor Overlay,,Habitiat Block Overlay,,Habitat Connector Overlay,,Transect Zone 3-City Center,,Transect Zone 3 Plus-City Center,,Transect Zone 4 Urban Multi Use,,Transect Zone 5 City Center,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Primarily residential,,Nonresidential,,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Nonresidential,,Nonresidential,,Mixed with Residential,,Nonresidential,,Nonresidential,,Nonresidential,,Mixed with Residential,,Overlay not Affecting Use,,Overlay not Affecting Use,,Overlay not Affecting Use,,Overlay not Affecting Use,,Overlay not Affecting Use,,Nonresidential,,Overlay not Affecting Use,,Nonresidential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Overlay,,Overlay,,Overlay,,Overlay,,Overlay,,Prohibited,,Overlay,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
