Abbreviated District Name,V,Units/Special,NR,Units/Special,L,Units/Special,RR,Units/Special,I,Units/Special,RL,Units/Special,CL,Units/Special,SO,Units/Special
County,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,
Jurisdiction,Brighton,,Brighton,,Brighton,,Brighton,,Brighton,,Brighton,,Brighton,,Brighton,
Full District Name,Village,,Neighborhood Residential,,Lake,,Rural Residential,,Industrial,,Rural Lands,,Conservation Lands,,Shoreland Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Prohibited,,Overlay,
3-Family Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Overlay,
4+-Family Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Overlay,
5+-Family Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Overlay,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Overlay,
PRDs Allowed?,Not Mentioned,,Public Hearing Required,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Overlay,
