Abbreviated District Name,R,Units/Special,S,Units/Special,F,Units/Special,FHA,Units/Special
County,Brunswick,,Brunswick,,Brunswick,,Brunswick,
Jurisdiction,Essex,,Essex,,Essex,,Essex,
Full District Name,Low Density Rural Residential,,Shoreland,,Forest Conservation,,Flood Hazard Area,
District Mapped,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Nonresidential,,Nonresidential,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Overlay,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Overlay,
3-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Overlay,
4+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Overlay,
5+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Overlay,
ADUs Allowed?,Not Mentioned,,Prohibited,,Prohibited,,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Prohibited,,Prohibited,,Overlay,
PRDs Allowed?,Not Mentioned,,Prohibited,,Prohibited,,Overlay,
Notes - Write any explanations here.,,,,,,,"Prior to issuing a permit for the construction of new buildings, the substantial improvement of existing buildings, or for development in the floodway, a copy of the application shall be submitted to the Vermont Department of Water Resources and Environmental Engineering.",
1-Family Dimensions,,,,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Front Setback (ft),25,Feet,,Feet,,Feet,,N/A
Side Setback (ft),25,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),25,Feet,,Feet,,Feet,,N/A
Frontage (ft),350,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,N/A
Minimum Parking Spaces,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A
Max. Stories,,N/A,,Stories,,Stories,,N/A
Max. Height (ft),,N/A,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,N/A
2-Family Dimensions,,,,,,,,
Affordable Housing Only,No,,,,,,No,
Elderly Housing Only,No,,,,,,No,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),1,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),25,Feet,,Feet,,Feet,,N/A
Side Setback (ft),25,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),25,Feet,,Feet,,Feet,,N/A
Frontage (ft),350,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A
Max. Stories,,N/A,,Stories,,Stories,,N/A
Max. Height (ft),,N/A,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,N/A
3-Family Dimensions,,,,,,,,
Affordable Housing Only,,,,,,,No,
Elderly Housing Only,,,,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,Feet,,Feet,,Feet,,N/A
Side Setback (ft),,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),,Feet,,Feet,,Feet,,N/A
