Abbreviated District Name,IND,Units/Special,R-C,Units/Special,R-1/2,Units/Special,R-1,Units/Special,R-2,Units/Special,AGR,Units/Special,RL,Units/Special,WP,Units/Special,CF,Units/Special
County,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,
Jurisdiction,Canaan,,Canaan,,Canaan,,Canaan,,Canaan,,Canaan,,Canaan,,Canaan,,Canaan,
Full District Name,Industrial,,Residential-Commercial,,Residential One-Half,,Residential One,,Residential Two,,Agricuultural ,,Rural Lands,,Wallace Pond District,,Community Forest Overlay District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,
2-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,
3-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,
5+-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,any lot bordering Wallace Pond must have a minimum dimension along the shoreline of at least 75',,,,,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),1,Acres Per Treatment,0.5,Acres Per Treatment,0.5,Acres Per Treatment,1,Acres Per Treatment,2,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment
Front Setback (ft),20,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,20,Feet,,Feet
Side Setback (ft),20,Feet,15,Feet,15,Feet,15,Feet,20,Feet,35,Feet,50,Feet,10,Feet,,Feet
Rear Setback (ft),20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,50,Feet,50,Feet,20,Feet,,Feet
