Abbreviated District Name,RL-1,Units/Special,RL-2,Units/Special,RL-3,Units/Special,IND,Units/Special,VIL,Units/Special,FC,Units/Special,AGR,Units/Special,AE & FC,Units/Special
County,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,
Jurisdiction,Guildhall,,Guildhall,,Guildhall,,Guildhall,,Guildhall,,Guildhall,,Guildhall,,Guildhall,
Full District Name,Rural Lands One,,Rural Lands Two,,Rural Lands Three,,Industrial District,,Village District,,Forest Conservation District,,Agricultural District,,Alternative Energy and Forestry Conservation District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Nonresidential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,,,,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),1 acre/off-lot water; 2 acres/on-lot,Alternative,2,Acres Per Treatment,5,Acres Per Treatment,,Acres Per Treatment,0.92 acres/off-lot water; 1.15/on-lot water,Alternative,10,Acres Per Treatment,25,Acres Per Treatment,10,Acres Per Treatment
Front Setback (ft),25'/side roads; 33'/Rt. 102,Alternative,"33'/Rt. 102; 25'/class2, 3, and 4 roads",Contextual,"33'/Rt. 102; 25'/class 2, 3, and 4 roads",Contextual,,Feet,33,Feet,50,Feet,50,Feet,50,Feet
Side Setback (ft),25,Feet,25,Feet,25,Feet,,Feet,10,Feet,50,Feet,50,Feet,50,Feet
Rear Setback (ft),25,Feet,25,Feet,25,Feet,,Feet,10,Feet,50,Feet,50,Feet,50,Feet
Frontage (ft),200,Feet,300,Feet,300,Feet,,Feet,200,Feet,500,Feet,500,Feet,500,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,,,No,,,,,,,
Elderly Housing Only,No,,No,,No,,,,No,,,,,,,
Minimum Lot Size (acres),1 acre/family for off-lot water; 2 acres/family for on-lot,Alternative,1 acre/family,Alternative,5 acres/family,Alternative,,Acres Per Treatment,0.28 acres/family w/ off-lot water; 0.34/family w/ on-lot,Alternative,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),25'/side roads; 33'/Rt. 102,Alternative,"33'/Rt. 102; 25'/class2, 3, and 4 roads",Contextual,"33'/Rt. 102; 25'/class 2, 3, and 4 roads",Contextual,,Feet,33,Feet,,Feet,,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,25,Feet,,Feet,10,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),25,Feet,25,Feet,25,Feet,,Feet,10,Feet,,Feet,,Feet,,Feet
Frontage (ft),200,Feet,300,Feet,300,Feet,,Feet,200,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories,,Stories,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,N/A,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet
3-Family Dimensions,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,,,,,No,,,,,,,
Elderly Housing Only,No,,No,,,,,,No,,,,,,,
Minimum Lot Size (acres),1 acre/family for off-lot water; 2 acres/family for on-lot,Alternative,1 acre/family,Alternative,,Acres Per Treatment,,Acres Per Treatment,0.28 acres/family w/ off-lot water; 0.34/family w/ on-lot,Alternative,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),25'/side roads; 33'/Rt. 102,Alternative,"33'/Rt. 102; 25'/class2, 3, and 4 roads",Contextual,,Feet,,Feet,33,Feet,,Feet,,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,,Feet,,Feet,10,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),25,Feet,25,Feet,,Feet,,Feet,10,Feet,,Feet,,Feet,,Feet
Frontage (ft),200,Feet,300,Feet,,Feet,,Feet,200,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,Percent,,N/A,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,Percent,,N/A,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,Stories,,Stories,,N/A,,Stories,,Stories,,Stories
Max. Height (ft),,N/A,,N/A,,Feet,,Feet,,N/A,,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,,,,,No,,,,,,,
Elderly Housing Only,No,,No,,,,,,No,,,,,,,
Minimum Lot Size (acres),1 acre/family for off-lot water; 2 acres/family for on-lot,Alternative,1 acre/family,Alternative,,Acres Per Treatment,,Acres Per Treatment,0.28 acres/family w/ off-lot water; 0.34/family w/ on-lot,Alternative,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),25'/side roads; 33'/Rt. 102,Alternative,"33'/Rt. 102; 25'/class2, 3, and 4 roads",Contextual,,Feet,,Feet,33,Feet,,Feet,,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,,Feet,,Feet,10,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),25,Feet,25,Feet,,Feet,,Feet,10,Feet,,Feet,,Feet,,Feet
Frontage (ft),200,Feet,300,Feet,,Feet,,Feet,200,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,Percent,,N/A,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,Percent,,N/A,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,Stories,,Stories,,N/A,,Stories,,Stories,,Stories
Max. Height (ft),,N/A,,N/A,,Feet,,Feet,,N/A,,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,,,,,No,,,,,,,
Elderly Housing Only,No,,No,,,,,,No,,,,,,,
Minimum Lot Size (acres),1 acre/family for off-lot water; 2 acres/family for on-lot,Alternative,1 acre/family,Alternative,,Acres Per Treatment,,Acres Per Treatment,0.28 acres/family w/ off-lot water; 0.34/family w/ on-lot,Alternative,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),25'/side roads; 33'/Rt. 102,Alternative,"33'/Rt. 102; 25'/class2, 3, and 4 roads",Contextual,,Feet,,Feet,33,Feet,,Feet,,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,,Feet,,Feet,10,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),25,Feet,25,Feet,,Feet,,Feet,10,Feet,,Feet,,Feet,,Feet
Frontage (ft),200,Feet,300,Feet,,Feet,,Feet,200,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,Percent,,N/A,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,Percent,,N/A,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,Stories,,Stories,,N/A,,Stories,,Stories,,Stories
Max. Height (ft),,N/A,,N/A,,Feet,,Feet,,N/A,,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,"Housing that is owned by its inhabitants, whose gross annual household income does not exceed 80 percent of the county median income, as defined by the United States Department of Housing and Urban Development, and the total annual cost of the housing, including principal, interest, taxes and insurance, is not more than 30 percent of the household’s gross annual income, or
• Housing that is rented by its inhabitants whose gross annual household income does not exceed 80 percent of the county median income, as defined by the United States Department of Housing and Urban Development, and the total annual cost of the housing, including rent, utilities, and condominium association fees, is not more than 30 percent of the household’s gross annual income. 24 V.S.A. § 4303(1)(A).",,,,,,,,,,,,,,,
Elderly Housing Only,No,,No,,No,,,,No,,No,,No,,No,
Minimum Lot Size (acres),1 acre/family for off-lot water; 2 acres/family for on-lot,Alternative,1 acre/family,Alternative,5 acres/family,Alternative,,Acres Per Treatment,1 acre/family for off-lot water; 2 acres/family for on-lot,Alternative,10,Acres Per Treatment,25,Acres Per Treatment,10,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,,,No,,No,,No,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,
Elderly Housing Only,No,,No,,No,,,,No,,No,,No,,No,
Minimum Lot Size (acres),1 acre/off-lot water; 2 acres/on-lot,Alternative,1 acre/family,Alternative,5 acres/family,Alternative,,Acres Per Treatment,0.92 acres/off-lot water; 1.15/on-lot water,Alternative,10,Acres Per Treatment,25,Acres Per Treatment,10,Acres Per Treatment
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Restricted to Only Primary Structure,No,,No,,No,,,,No,,No,,No,,No,
Max. ADU Size (%),50,Percent,50,Percent,50,Percent,,Percent,50,Percent,50,Percent,50,Percent,50,Percent
Max. ADU Size (sq. ft.),1500,Square Feet,1500,Square Feet,1500,Square Feet,,Square Feet,1500,Square Feet,1500,Square Feet,1500,Square Feet,1500,Square Feet
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,N/A,,N/A,,N/A
Max. Units,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,No,,No,,No,,,,No,,No,,No,,No,
PUD Threshold #,,,,,,,,,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,
PUD requiring land conservation,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,
Miscellaneous,yes0,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
