Abbreviated District Name,RL1,Units/Special,RL2,Units/Special,L,Percent,P,Units/Special,F,Units/Special,AZ,Units/Special,SO,Units/Special
County,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,
Jurisdiction,Maidstone,,Maidstone,,Maidstone,,Maidstone,,Maidstone,,Maidstone,,Maidstone,
Full District Name,Rural Lands One,,Rural Lands Two,,Lake,,Ponds,,Forest,,Agricultural Zone,,Shoreland Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Primarily residential,,Nonresidential,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,
3-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Overlay,
4+-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Overlay,
5+-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Overlay,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Prohibited,,Overlay,
