Abbreviated District Name,VIL,Units/Special,RES,Units/Special,RRL,Units/Special,CON,Units/Special,SWO,Units/Special,FHO,Units/Special
County,Essex,,Essex,,Essex,,Essex,,Essex,,Essex,
Jurisdiction,Fairfax,,Fairfax,,Fairfax,,Fairfax,,Fairfax,,Fairfax,
Full District Name,Village,,Residential,,Rural,,Conservation,,Flood Hazard Overlay,,Source Water Protection Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Overlay not Affecting Use,,Nonresidential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Prohibited,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Prohibited,
3-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Prohibited,
4+-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Prohibited,
5+-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Overlay,,Prohibited,
PRDs Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Overlay,,Prohibited,
Notes - Write any explanations here.,,,,,,,,,,,New dwellings are prohibitted,
1-Family Dimensions,,,,,,,,,,,,
Minimum Lot Size (acres),0.11,Acres Per Treatment,0.46,Acres Per Treatment,2,Acres Per Treatment,5,Acres Per Treatment,,N/A,,Acres Per Treatment
Front Setback (ft),15,Feet,20,Feet,30,Feet,40,Feet,,N/A,,Feet
Side Setback (ft),10,Feet,10,Feet,20,Feet,20,Feet,,N/A,,Feet
Rear Setback (ft),30,Feet,30,Feet,40,Feet,40,Feet,,N/A,,Feet
Frontage (ft),50,Feet,80,Feet,100,Feet,50,Feet,,N/A,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),70,Percent,50,Percent,30,Percent,15,Percent,,N/A,,Percent
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet
2-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,No,,,
Minimum Lot Size (acres),0.11,Acres Per Treatment,0.46,Acres Per Treatment,2,Acres Per Treatment,5,Acres Per Treatment,,N/A,,Acres Per Treatment
Maximum Density (units/acre),18,Units Per Acre,4.3,Units Per Acre,1,Units Per Acre,0.4,Units Per Acre,,N/A,,Units Per Acre
Front Setback (ft),15,Feet,20,Feet,30,Feet,40,Feet,,N/A,,Feet
Side Setback (ft),10,Feet,10,Feet,20,Feet,20,Feet,,N/A,,Feet
Rear Setback (ft),30,Feet,30,Feet,40,Feet,40,Feet,,N/A,,Feet
Frontage (ft),50,Feet,80,Feet,100,Feet,50,Feet,,N/A,,Feet
