Abbreviated District Name,FH,Units/Special,I,Units/Special,I/M,Units/Special,LDR,Units/Special,DWA,Units/Special,R,Units/Special,RS,Units/Special,VHD,Units/Special,VR,Units/Special,WET,Units/Special,WHP,Units/Special,CBD,Units/Special,LP,Units/Special
County,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,
Jurisdiction,Bradford Town,,Bradford Town,,Bradford Town,,Bradford Town,,Bradford Town,,Bradford Town,,Bradford Town,,Bradford Town,,Bradford Town,,Bradford Town,,Bradford Town,,Bradford Town,,Bradford Town,
Full District Name,Flood Hazard,,Industrial,,Industrial/Mixed Use,,Low Density Residential,,Deer Wintering Area,,Residential,,Residential Service,,Historic District,,Village Residential,,Wetlands,,Wellhead Protection,,Central Business District,,Lower Plain,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,Yes,,No,,No,,No,,Yes,,No,,No,,Yes,,No,,Yes,,Yes,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Overlay not Affecting Use,,Nonresidential,,Mixed with Residential,,Primarily residential,,Overlay not Affecting Use,,Primarily residential,,Mixed with Residential,,Overlay not Affecting Use,,Primarily residential,,Overlay not Affecting Use,,Overlay,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Overlay,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,,Prohibited,,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Overlay,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,,Prohibited,,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Overlay,,Prohibited,,Public Hearing Required,,Prohibited,,Overlay,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Overlay,,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
4+-Family Allowed?,Overlay,,Prohibited,,Public Hearing Required,,Prohibited,,Overlay,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Overlay,,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
5+-Family Allowed?,Overlay,,Prohibited,,Prohibited,,Prohibited,,Overlay,,Prohibited,,Allowed/Permitted (Hearing not required),,Overlay,,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
ADUs Allowed?,Overlay,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Not Mentioned,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Not Mentioned,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Not Mentioned,,Allowed/Permitted (Hearing not required),,Not Mentioned,,Not Mentioned,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
