Abbreviated District Name,CON,Units/Special,FH,Units/Special,RR-I,Units/Special,RR-II,Units/Special,RS,Units/Special,VIL,Units/Special
County,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,
Jurisdiction,Braintree,,Braintree,,Braintree,,Braintree,,Braintree,,Braintree,
Full District Name,Conservation District,,Flood Hazard,,Rural District I,,Rural District II,,Rural Scenic,,Village District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,Yes,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Nonresidential,,Primarily residential,,Primarily residential,,Primarily residential,,Primarily residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,
4+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,
5+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
PRDs Allowed?,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,
Notes - Write any explanations here.,,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,
Minimum Lot Size (acres),25,Acres Per Treatment,,Acres Per Treatment,10,Acres Per Treatment,2,Acres Per Treatment,10,Acres Per Treatment,0.46,Acres Per Treatment
Front Setback (ft),70,Feet,,Feet,40,Feet,40,Feet,70,Feet,40,Feet
Side Setback (ft),150,Feet,,Feet,20,Feet,20,Feet,20,Feet,20,Feet
Rear Setback (ft),200,Feet,,Feet,50,Feet,50,Feet,50,Feet,50,Feet
Frontage (ft),400,Feet,,Feet,300,Feet,150,Feet,400,Feet,100,Feet
Max. Lot Coverage - Buildings (%),1,Percent,,Percent,10,Percent,20,Percent,10,Percent,20,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),1,Percent,,Percent,10,Percent,20,Percent,10,Percent,20,Percent
Minimum Parking Spaces,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),35,Feet,,Feet,40,Feet,40,Feet,40,Feet,40,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
2-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,,,,,No,,No,,No,,No,
Elderly Housing Only,,,,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,10,Acres Per Treatment,2,Acres Per Treatment,10,Acres Per Treatment,0.46,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,40,Feet,40,Feet,70,Feet,40,Feet
Side Setback (ft),,Feet,,Feet,20,Feet,20,Feet,20,Feet,20,Feet
Rear Setback (ft),,Feet,,Feet,50,Feet,50,Feet,50,Feet,50,Feet
Frontage (ft),,Feet,,Feet,300,Feet,150,Feet,,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,10,Percent,20,Percent,10,Percent,20,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,10,Percent,20,Percent,10,Percent,20,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,40,Feet,40,Feet,40,Feet,40,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
3-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,,,,,,,No,,,,No,
Elderly Housing Only,,,,,,,No,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,0.46,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,,Feet,40,Feet,,Feet,40,Feet
Side Setback (ft),,Feet,,Feet,,Feet,20,Feet,,Feet,20,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,50,Feet,,Feet,50,Feet
Frontage (ft),,Feet,,Feet,,Feet,150,Feet,,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,20,Percent,,Percent,20,Percent
