Abbreviated District Name,FHO,Units/Special,IND,Units/Special,MU,Units/Special,RR,Units/Special,VIL,Units/Special,WHPO,Units/Special
County,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,
Jurisdiction,Chelsea,,Chelsea,,Chelsea,,Chelsea,,Chelsea,,Chelsea,
Full District Name,Flood Hazard Overlay,,Industrial,,Mixed Use Development,,Rural Residential,,Village,,Well-Head Protection Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,No,
Overlay District?,Yes,,No,,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Mixed with Residential,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
4+-Family Allowed?,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
5+-Family Allowed?,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
ADUs Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
Notes - Write any explanations here.,"Separate Flood Hazard Bylaw for permitting: https://www.chelseavt.org/wp/wp-content/uploads/2023/04/Chelsea_Flood_Hazard_Area_Bylaw_11.7.17.pdf - all housing is prohibited in the special flood hazard area unless unless it has been demonstrated through hydrologic and hydraulic analyses performed in accordance with standard engineering practice that the proposed structure would not result in any increase in flood levels within the community during the occurrence of the base flood discharge. Since housing is allowed if it meets that condition, I have included it here as ""public hearing required""",,,,,,,,,,Appears in legend of official zoning map. Overlay not apparent on map itself. Described in bylaws as pertaining to village district. ,
1-Family Dimensions,,,,,,,,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,.5 on sewer/1 no sewer,Acres Per Treatment,.5 on sewer/1 no sewer,Acres Per Treatment
Front Setback (ft),65,Feet,65,Feet,65,Feet,65,Feet,35,Feet,35,Feet
Side Setback (ft),50,Feet,50,Feet,50,Feet,35,Feet,20,Feet,20,Feet
Rear Setback (ft),35,Feet,35,Feet,35,Feet,35,Feet,20,Feet,20,Feet
Frontage (ft),20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,,,,
Elderly Housing Only,No,,No,,No,,No,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,.5 on sewer/1 no sewer,Acres Per Treatment,.5 on sewer/1 no sewer,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),65,Feet,65,Feet,65,Feet,65,Feet,35,Feet,35,Feet
Side Setback (ft),50,Feet,50,Feet,50,Feet,35,Feet,20,Feet,20,Feet
Rear Setback (ft),35,Feet,35,Feet,35,Feet,35,Feet,20,Feet,20,Feet
Frontage (ft),20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
