Abbreviated District Name,CB,Units/Special,RVHD,Units/Special,RVMD,Units/Special,RCV,Units/Special,ERV,Units/Special,NSV,Units/Special,GCR,Units/Special,GC,Units/Special,RES,Units/Special,RR,Units/Special,RA,Units/Special,IND,Units/Special,INT_NE,Units/Special,INT_SE,Units/Special,INT_NW,Units/Special,INT_SW,Units/Special,FPO,Units/Special,WCO,Units/Special,RCO,Units/Special
County,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,
Jurisdiction,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,,Randolph,
Full District Name,Central Business District,,Randolph Village High Density District,,Randolph Village Medium Density District,,Randolph Center Village District,,East Randolph Village District,,North and South Randolph Villages District,,Gateway Commercial Retail District,,Gateway Commercial District,,Residential District,,Rural Residential District,,Rural Agricultural District,,Industrial District,,Interchange Northeast District,,Interchange Southeast District,,Interchange Northwest District,,Interchange Southwest District,,Flood Plain Overlay District,,Water Conservation Overlay District,,Randolph Center Overlay District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Nonresidential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Overlay not Affecting Use,,Nonresidential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,,Prohibited,,Overlay,
2-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,,Prohibited,,Overlay,
3-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,,Prohibited,,Overlay,
4+-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,,Prohibited,,Overlay,
5+-Family Allowed?,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,,Prohibited,,Overlay,
ADUs Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,,Prohibited,,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Prohibited,,Not Mentioned,
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,"One- and two-family dwellings are allowed in the CB District provided there is a non-residential use in the building at street level; dwellings require DRB approval, including public hearing. ",,multi-family dwellings >5 units have 50' max height as long as it is not >15' taller than adjacent buildings + set back at least 20' on all sides. ,,,,,,,,,,,,,,,,,,,,,,specific lot coverage exceptions found in section 225.C.6.,,,,,,,,"New development subject to DRB review and approval, including public hearing, in the Special Flood Hazard Area (SFHA) and is prohibited in the Floodway. Any new development in the SFHA must be reasonably safe from flooding and built in a way to prevent movement during floods, and fuel storage tanks must be placed at least 1' above base flood elevation. Full list of requirements in Section 226 of zoning bylaws.",,"Only allowed uses are passive recreation, streambank stabilization, utility projects, and other development required for safety or access to protect water quality in Randolph.",,"Historic district overlay. Construction, alteration, addition, removal, and relocation of a structure in this overlay are all subject to DRB approval; minor changes identified in section 228.B. only require a zoning permit. Accessory structures cannot be more than 5' taller than principal structure on same lot. Proportions, rooflines, patterns, materials, and architectural features must be consistent with principal buildings in immediate area.",
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,0.23 acres; 0.07/dwelling unit,Alternative,0.46 acres; 0.23/dwelling unit,Alternative,1 acre; 0.5/dwelling unit,Alternative,0.23,Acres Per Treatment,0.46 acres; 0.23/dwelling unit,Alternative,0.46 acres; 0.23/dwelling unit,Alternative,0.46 acres; 0.23/dwelling unit,Alternative,5 acres if water + sewer on site; 1 acre if connected to public water or sewer; 0.46 if public water + sewer,Contextual,5 acres; 1/dwelling unit,Alternative,5 acres; 2/dwelling unit,Alternative,,Acres Per Treatment,5,Acres Per Treatment,5,Acres Per Treatment,5,Acres Per Treatment,,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A
Front Setback (ft),,Feet,10'; may be as close to front as buildings on adjacent lots,Contextual,40,Feet,50'; may be as close to front as adjacent buildings,Contextual,30,Feet,40,Feet,50,Feet,50,Feet,30,Feet,30,Feet,30,Feet,,Feet,60'; 170'/VT Rt 66,Contextual,60'; 170'/VT Rt 66,Feet,60'; 170'/VT Rt 66,Feet,,Feet,,N/A,,Feet,new buildings/additions maintain prevailing setback of immediate area,Contextual
