Abbreviated District Name,VIL,Units/Special,RR,Units/Special
County,Washington,,Washington,
Jurisdiction,Orange,,Orange,
Full District Name,Village District,,Rural Residential District,
District Mapped,Yes,,Yes,
Overlay District?,No,,No,
Mapped But Extinct?,No,,No,
Type of Residential District?,Mixed with Residential,,Primarily residential,
Affordable Housing District?,No,,No,
Elderly Housing District?,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),
2-Family Allowed?,Public Hearing Required,,Public Hearing Required,
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,
ADUs Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,,
1-Family Dimensions,,,,
Minimum Lot Size (acres),1,Acres Per Treatment,1,Acres Per Treatment
Front Setback (ft),20,Feet,20,Feet
Side Setback (ft),20,Feet,20,Feet
Rear Setback (ft),20,Feet,20,Feet
Frontage (ft),150,Feet,150,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A
Minimum Parking Spaces,,N/A,,N/A
Max. Stories,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A
2-Family Dimensions,,,,
Affordable Housing Only,No,,No,
Elderly Housing Only,No,,No,
Minimum Lot Size (acres),1,Acres Per Treatment,1,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A
Front Setback (ft),20,Feet,20,Feet
Side Setback (ft),20,Feet,20,Feet
Rear Setback (ft),20,Feet,20,Feet
Frontage (ft),150,Feet,150,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A
Max. Stories,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A
