Abbreviated District Name,IND,Units/Special,COM/IND,Units/Special,COM,Units/Special,R-HD,Units/Special,R-MD,Units/Special,R-1,Units/Special,R-2,Units/Special,RR,Units/Special,SD,Units/Special,SL,Units/Special,VC/DL,Units/Special,VR-1/DL,Units/Special,VR-2/DL,Units/Special,VC/DC,Units/Special,VR/DC,Units/Special,VR-MF/DC,Units/Special,SPA,Units/Special
County,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,
Jurisdiction,Derby,,Derby,,Derby,,Derby,,Derby,,Derby,,Derby,,Derby,,Derby,,Derby,,Derby,,Derby,,Derby,,Derby,,Derby,,Derby,,Derby,
Full District Name,Industrial,,Commercial/Industrial,,Commercial,,Residential High Density,,Residential Medium Density,,Residential One Acre,,Residential Two Acre,,Rural Residential,,Shoreland District,,Special Lands,,Village Commercial Derby Line,,Village Residential-One Derby Line,,Village Residential-Two Derby Line,,Village Commercial Derby Center,,Village Residential/Derby Center,,Village Residential-Multi-Family Derby Center,,Special Protection Area,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Nonresidential,,Nonresidential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,
