Abbreviated District Name,GV,Units/Special,GBV,Units/Special,RL,Units/Special,RE,Units/Special,SP,Units/Special
County,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,
Jurisdiction,Greensboro,,Greensboro,,Greensboro,,Greensboro,,Greensboro,
Full District Name,Greensboro Village District,,Greensboro Bend Village District,,Rural Lands District,,Resource District,,Shoreland Protection District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Primarily residential,
Affordable Housing District?,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),
2-Family Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Public Hearing Required,,Prohibited,
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,,,,,This district requires structures to be at a minimum distance of 300 feet from Long Pond.,,,
1-Family Dimensions,,,,,,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.5,Acres Per Treatment,10,Acres Per Treatment,25,Acres Per Treatment,1,Acres Per Treatment
Front Setback (ft),50,Feet,25,Feet,50,Feet,50,Feet,50,Feet
Side Setback (ft),15,Feet,15,Feet,50,Feet,50,Feet,20,Feet
Rear Setback (ft),15,Feet,15,Feet,50,Feet,50,Feet,20 from lot line; 150 from lake,Feet
Frontage (ft),100,Feet,100,Feet,300,Feet,500,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,30,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.5,Acres Per Treatment,10,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment
