Abbreviated District Name,CR,Units/Special,VC,Units/Special,RDI,Units/Special,RDII,Units/Special,REC,Units/Special,HD,Units/Special
County,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,
Jurisdiction,Jay,,Jay,,Jay,,Jay,,Jay,,Jay,
Full District Name,Conservation - Recreation District,,Village Center District,,Rural District I,,Rural District II,,Recreation District,,High Density District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,
Type of Residential District?,Nonresidential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Primarily residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,
4+-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,
5+-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,
ADUs Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
Notes - Write any explanations here.,,,"""Parking: The following parking requirements shall supersede those requirements found in
Article 4, Section 403.11 of the Regulation:
1. Retail uses: 1 parking space per 500 square feet of floor space
2. Lodging facilities: 1 parking space per room or sufficient parking demonstrated at site plan
review"" (Page 8). Lodging =/=Residential Uses",,,,,,Building height can exceed 35 ft but requires conditional use approval to do so.,,Building height can exceed 35 ft but requires conditional use approval to do so.,
1-Family Dimensions,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,0.5,Acres Per Treatment,3,Acres Per Treatment,10,Acres Per Treatment,1.5,Acres Per Treatment,0.5,Acres Per Treatment
Front Setback (ft),,Feet,50,Feet,65,Feet,75,Feet,65,Feet,50,Feet
Side Setback (ft),,Feet,25,Feet,40,Feet,50,Feet,40,Feet,25,Feet
Rear Setback (ft),,Feet,25,Feet,40,Feet,50,Feet,40,Feet,25,Feet
Frontage (ft),,Feet,100,Feet,250,Feet,250,Feet,200,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
