Abbreviated District Name,RR/A,Units/Special,C-M,Units/Special,IND,Units/Special,VIL,Units/Special
County,Orleans,,Orleans,,Orleans,,Orleans,
Jurisdiction,Lowell,,Lowell,,Lowell,,Lowell,
Full District Name,All Rural Residential-Agricultural,,Conservation-Mountain,,Industrial,,Village,
District Mapped,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Primarily residential,,Nonresidential,,Primarily residential,
Affordable Housing District?,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Prohibited,,Allowed/Permitted (Hearing Not required),
2-Family Allowed?,Allowed/Permitted (Hearing Not required),,Prohibited,,Prohibited,,Allowed/Permitted (Hearing Not required),
3-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,
5+-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,
.,"""Area per family (acres): 1."" This can be interpreted as 1 acre per dwelling unit. Since the minimum lot area is already 1 acre, but by the density calculation there would need to be at least 2 acres for a two-family dwelling, default to the higher number.",,,,"""For the purposes of section 315 Dwelling includes Accessory Use/Structure when such
Accessory Use/Structure is in harmony with the neighborhood"" (Page 16).",,"""Class 1 lots have both off lot water and sewer. Class 2 lots have either on lot water or on lot sewer. Class 3 lots have both on lot water and on lot sewer"" (Page 6).",
1-Family Dimensions,,,,,,,,
Minimum Lot Size (acres),1,Acres Per Treatment,10,Acres Per Treatment,,Acres Per Treatment,Class 1  Lot: 0.23 acres; Class 2 Lot: 0.46 acres; Class 3 Lot: 0.92,Contextual
Front Setback (ft),"""A"" Lot: 50ft; ""B"" Lot: 75",Contextual,75,Feet,,Feet,Class 1 Lot: 45ft; Class 2 and 3 Lot: 50ft,Contextual
Side Setback (ft),25,Feet,50,Feet,,Feet,Class 1 Lot: 15ft; Class 2 and 3 Lot: 20ft,Contextual
Rear Setback (ft),25,Feet,100,Feet,,Feet,Class 1 Lot: 20ft; Class 2 and 3 Lot: 30ft,Contextual
Frontage (ft),150,Feet,400,Feet,,Feet,Class 1 and 2 Lot: 100ft; Class 3 Lot: 150ft,Contextual
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),,N/A,,N/A,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,N/A
2-Family Dimensions,,,,,,,,
Affordable Housing Only,No,,,,,,No,
Elderly Housing Only,No,,,,,,No,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,Class 1  Lot: 0.23 acres; Class 2 Lot: 0.46 acres; Class 3 Lot: 0.92,Contextual
Maximum Density (units/acre),1,Units Per Acre,,Units Per Acre,,Units Per Acre,Class 1  Lot: 8.71 acres per du; Class 2 Lot: 4.36 acres per du; Class 3 Lot: 2.18 acres per du,Contextual
Front Setback (ft),"""A"" Lot: 50ft; ""B"" Lot: 75",Contextual,,Feet,,Feet,Class 1 Lot: 45ft; Class 2 and 3 Lot: 50ft,Contextual
Side Setback (ft),25,Feet,,Feet,,Feet,Class 1 Lot: 15ft; Class 2 and 3 Lot: 20ft,Contextual
Rear Setback (ft),25,Feet,,Feet,,Feet,Class 1 Lot: 20ft; Class 2 and 3 Lot: 30ft,Contextual
Frontage (ft),150,Feet,,Feet,,Feet,Class 1 and 2 Lot: 100ft; Class 3 Lot: 150ft,Contextual
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,N/A,,Stories,,Stories,,N/A
Max. Height (ft),,N/A,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,N/A
3-Family Dimensions,,,,,,,,
Affordable Housing Only,No,,,,,,,
Elderly Housing Only,No,,,,,,,
Minimum Lot Size (acres),3,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),1,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),"""A"" Lot: 50ft; ""B"" Lot: 75",Contextual,,Feet,,Feet,,Feet
Side Setback (ft),25,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),25,Feet,,Feet,,Feet,,Feet
Frontage (ft),150,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,,,,,,
Connection or Proximity to Public Transit Required,No,,,,,,,
Max. Stories,,N/A,,Stories,,Stories,,Stories
Max. Height (ft),,N/A,,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,,,,
Elderly Housing Only,No,,,,,,,
Minimum Lot Size (acres),1 acre per dwelling unit,Contextual,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),1,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),"""A"" Lot: 50ft; ""B"" Lot: 75",Contextual,,Feet,,Feet,,Feet
Side Setback (ft),25,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),25,Feet,,Feet,,Feet,,Feet
Frontage (ft),150,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,,,,,,
Connection or Proximity to Public Transit Required,No,,,,,,,
Max. Stories,,N/A,,Stories,,Stories,,Stories
Max. Height (ft),,N/A,,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,Ratio
