Abbreviated District Name,PD,Units/Special,PDK,Units/Special,FR,Units/Special,R1,Units/Special,R3,Units/Special,HM,Units/Special,SV,Units/Special,C-KB,Units/Special,C-R4,Units/Special,B,Units/Special,CB,Units/Special,VA,Units/Special,SP,Units/Special,SVII,Units/Special,FP,Units/Special
County,Rutland,,Rutland,,Rutland,,Rutland,,Rutland,,Rutland,,Rutland,,Rutland,,Rutland,,Rutland,,Rutland,,Rutland,,Rutland,,Rutland,,Rutland,
Jurisdiction,Killington,,Killington,,Killington,,Killington,,Killington,,Killington,,Killington,,Killington,,Killington,,Killington,,Killington,,Killington,,Killington,,Killington,,Killington,
Full District Name,Public Open Space,,Public Open Space Killington,,Forest Reserve,,Residential 1,,Residential 3,,Hamlet,,Ski Village,,Commercial - Killington Basin,,Commercial - Route 4,,Business,,Commercial Business,,Valley,,Shelburne Pass,,Ski Village II,,Foster's Pass,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Nonresidential,,Nonresidential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,
2-Family Allowed?,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,
3-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,
4+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,
5+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,
ADUs Allowed?,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,
