Abbreviated District Name,UC,Units/Special,VC,Units/Special,SC,Units/Special,NC,Units/Special,MU,Units/Special,RN-36,Units/Special,RN-54,Units/Special,RL,Units/Special,RR,Units/Special,WF,Units/Special,IT,Units/Special,IN,Units/Special,FHO,Units/Special,HRO,Units/Special,MMHO,Units/Special
County,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,
Jurisdiction,Brattleboro,,Brattleboro,,Brattleboro,,Brattleboro,,Brattleboro,,Brattleboro,,Brattleboro,,Brattleboro,,Brattleboro,,Brattleboro,,Brattleboro,,Brattleboro,,Brattleboro,,Brattleboro,,Brattleboro,
Full District Name,Urban Center,,Village Center,,Service Center,,Neighborhood Center,,Mixed Use Neightborhod,,Resdiential Neighborhood 3600,,Resdiential Neighborhood 5400,,Rural,,Rural Resdiential,,Waterfront,,Institutional,,Industrial,,Flood Hazard Overlay,,Historic Resource Overlay,,Missing Middle Housing Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Mixed with Residential,,Primarily residential,,Primarily residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Overlay,,Overlay,,Overlay,
2-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Overlay,,Overlay,,Overlay,
3-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,,Overlay,,Overlay,
4+-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,,Overlay,,Overlay,
5+-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,,Overlay,,Overlay,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,,Overlay,,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Prohibited,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,"No residenital occupancy on the first floor, 15 ft min for setbacks in riparian areas, 2 stories minimum height",,"2 stories height minimum, setbacks varies based on riparian areas (15 or 25 ft)",,"24 ft height minimum, setbacks varies based on riparian areas (25 or 50 ft)",,"PRD = Traditional Neighborhood, 24 ft height minimum, setbacks varies based on riparian areas (15 or 25 ft)",,"PRD = Traditional Neighborhood, 2 stories height minimum, setbacks varies based on riparian areas (15 or 25 ft)",,"PRD = Traditional Neighborhood, 2 stories height minimum, setbacks varies based on riparian areas (15 or 25 ft)",,PRD = Traditional Neighborhood,,"PRD = Cottage Cluster, setbacks varies based on riparian areas (50 or 100 ft)",,"PRD = Cottage Cluster, setbacks varies based on riparian areas (25 or 50 ft)",,setbacks varies based on riparian areas (50 or 100 ft),,setbacks varies based on riparian areas (25 or 50 ft),,Public Hearing for leasing/rental,,Residential units are prohibited within the floodway,,Subdivision and construction of accesory stuctures taller than 15 ft or with a footprint of more than 200 sqft is prohibited,,"Easier permitting process for specific multi family dwellings, min 12 ft between residental buildings, min 180 sqft of yard per unit, min unit size is not applicable to cottage court or cottage row",
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),0.05,,0.08,,0.5,,0.08,,0.08,,0.08,,0.12,,3,,1.5,,0.5,,0.5,,,,,,,,,
Front Setback (ft),0,,10,,20,,10,,10,,10,,15,,40,,40,,20,,,,,,,,,,10,
Side Setback (ft),0,,6,,20,,6,,6,,6,,10,,20,,20,,20,,,,,,,,,,6,
Rear Setback (ft),0,,6,,20,,6,,6,,6,,10,,40,,40,,20,,,,,,,,,,6,
Frontage (ft),30,,36,,90,,36,,36,,36,,48,,300,,150,,90,,90,,,,,,,,,
Max. Lot Coverage - Buildings (%),,,80,,70,,80,,80,,80,,70,,20,,30,,40,,,,,,,,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Parking Spaces,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,
Max. Stories,6,,4,,5,,5,,5,,3,,3,,,,,,,,,,,,,,,,,
Max. Height (ft),,,,,,,,,,,,,,,35,,35,,35,,,,,,,,,,,
Floor to Area Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 plus 100 per bedroom,
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),0.05,,0.08,,0.5,,0.08,,0.08,,0.08,,0.12,,3,,1.5,,0.5,,0.5,,,,,,,,,
Maximum Density (units/acre),,,,,,,,,,,,,,,0.33,,0.67,,2,,1,,,,,,,,,
Front Setback (ft),0,,10,,20,,10,,10,,10,,15,,40,,40,,20,,,,,,,,,,10,
Side Setback (ft),0,,6,,20,,6,,6,,6,,10,,20,,20,,20,,,,,,,,,,6,
Rear Setback (ft),0,,6,,20,,6,,6,,6,,10,,40,,40,,20,,,,,,,,,,6,
Frontage (ft),30,,36,,90,,36,,36,,36,,48,,300,,150,,90,,90,,,,,,,,,
Max. Lot Coverage - Buildings (%),,,80,,70,,80,,80,,80,,70,,20,,30,,40,,,,,,,,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per Studio or 1BR,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,
Minimum Parking Spaces per 2+ BR,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,
Max. Stories,6,,4,,5,,5,,5,,3,,3,,,,,,,,,,,,,,,,,
Max. Height (ft),,,,,,,,,,,,,,,35,,35,,35,,,,,,,,,,,
Floor to Area Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 plus 100 per bedroom,
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),0.05,,0.08,,0.5,,0.08,,0.08,,0.08,,0.12,,,,1.5,,0.5,,0.5,,,,,,,,,
Maximum Density (units/acre),,,,,,,,,,,,,,,,,0.67,,2,,1,,,,,,,,,
Front Setback (ft),0,,10,,20,,10,,10,,10,,15,,,,40,,20,,,,,,,,,,10,
Side Setback (ft),0,,6,,20,,6,,6,,6,,10,,,,20,,20,,,,,,,,,,6,
