Abbreviated District Name,RR-1,Units/Special,RR-5,Units/Special,RC,Units/Special,AF,Units/Special,WD,Units/Special,C-I 1,Units/Special,C-I 2,Units/Special,SR,Units/Special,MHHD,Units/Special,R-7,Units/Special,R14,Units/Special,RB-14,Units/Special,CB-7,Units/Special,CBE-14,Units/Special,IND-14,Units/Special,DDRD,Units/Special,R-14,Units/Special,NR,Units/Special
County,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,
Jurisdiction,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,,Rockingham,
Full District Name,Rural Residential 1,,Rural Residential 5,,Recreation Conservation,,Agriculture and Forestry,,Bellows Falls Watershed District,,Commercial-Industrial 1,,Commercial-Industrial 2,,Saxons River District,,Metting House Historic District,,Residential 7,,Residential 14,,Roadside Business 14,,Central Business,,Central Business Expansion,,Industrial 14,,Downtown Design Review District,,Riverfront 14,,Natural Resources Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Primarily residential,,Nonresidential,,Mixed with Residential,,Nonresidential,,Nonresidential,,Nonresidential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Primarily residential,,Nonresidential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Overlay,,Prohibited,,Overlay,
