Abbreviated District Name,RES,Units/Special,REC,Units/Special,P,Units/Special,G,Units/Special,FH,Units/Special,C/R,Units/Special,CN,Units/Special,FAH,Units/Special
County,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,
Jurisdiction,Stratton,,Stratton,,Stratton,,Stratton,,Stratton,,Stratton,,Stratton,,Stratton,
Full District Name,Residential,,Recreation,,Public,,Greenbelt,,Flood Hazard,,Commercial/Residential,,Conservation,,Floating Affordable Housing Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,
Overlay District?,No,,No,,No,,Yes,,Yes,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Nonresidential,,Nonresidential,,Nonresidential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Primarily residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,Yes,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing Not required),,Prohibited,,Prohibited,,Prohibited,,Overlay,,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Overlay,
2-Family Allowed?,Allowed/Permitted (Hearing Not required),,Prohibited,,Prohibited,,Prohibited,,Overlay,,Allowed/Permitted (Hearing Not required),,Prohibited,,Overlay,
3-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Overlay,,Public Hearing Required,,Prohibited,,Overlay,
4+-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Overlay,,Public Hearing Required,,Prohibited,,Overlay,
5+-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Overlay,,Public Hearing Required,,Prohibited,,Overlay,
ADUs Allowed?,Not Mentioned,,Prohibited,,Prohibited,,Prohibited,,Not Mentioned,,Not Mentioned,,Prohibited,,Overlay,
Affordable Housing Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Allowed/Permitted (Hearing Not required),
PRDs Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Overlay,
