Abbreviated District Name,V,Units/Special,RR,Units/Special,Ru,Units/Special,C,Units/Special
County,Windham,,Windham,,Windham,,Windham,
Jurisdiction,Whitingham,,Whitingham,,Whitingham,,Whitingham,
Full District Name,Village,,Rura Residential,,Rural,,Conservation,
District Mapped,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,125 foot setback required when property borders Lake,,125 foot setback required when property borders Lake,,125 foot setback required when property borders Lake,
1-Family Dimensions,,,,,,,,
Minimum Lot Size (acres),0.17,Acres Per Treatment,3,Acres Per Treatment,3,Acres Per Treatment,27,Acres Per Treatment
Front Setback (ft),45,Feet,65,Feet,65,Feet,65,Feet
Side Setback (ft),10,Feet,25,Feet,40,Feet,50,Feet
Rear Setback (ft),10,Feet,25,Feet,40,Feet,50,Feet
Frontage (ft),Street: 60'; Lake: 240',Contextual,Street: 150'; Lake: 240',Contextual,Street: 150'; Lake: 300',Contextual,300,Feet
Max. Lot Coverage - Buildings (%),40,Percent,10,Percent,10,Percent,10,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A
