Abbreviated District Name,Aquifer,Units/Special,PropMuni,Units/Special,Lakes,Units/Special,Res,Units/Special,R-C1,Units/Special,R-C2,Units/Special,MtRec,Units/Special,JacG,Units/Special,Ind,Units/Special,RPOD,Units/Special
County,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,
Jurisdiction,Ludlow Town,,Ludlow Town,,Ludlow Town,,Ludlow Town,,Ludlow Town,,Ludlow Town,,Ludlow Town,,Ludlow Town,,Ludlow Town,,Ludlow Town,
Full District Name,quifer Protection District - Watershed Area,,Proprietary Municipal District,,Lakes District,,Town Residential District,,esidential/Commercial District 1,,Residential/Commercial District 2,,Mountain Recreation District,,Jackson Gore Recreational District,,Industrial District,,Ridgeline Protection Overlay District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Nonresidential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,
2-Family Allowed?,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,
3-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,
4+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,
5+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Prohibited,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,
Notes - Write any explanations here.,ADU height maximum: 25ft,,,,ADU height maximum: 15ft,,ADU height maximum: 25ft,,ADU height maximum: 25ft,,ADU height maximum: 25ft,,"ADU height maximum: 25ft; Parking spaces: ""Recreation: As required by the Development Review Board"" (Page 50).",,"Parking spaces: ""Recreation: As required by the Development Review Board"" (Page 50). ""The Jackson Gore Recreational District shall include 165.84 acres. This district provides for 326
residential dwelling units, 8 non-residential buildings including a Recreation/Health Center"" (Page 42).",,,,"""Uses allowed as a permitted or conditional use in the underlying zoning district require the approval of the Development Review Board as a conditional use in accordance with Section 260 and the supplemental district standards set forth below"" (Page 45).",
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),5,Acres Per Treatment,,Acres Per Treatment,0.92,Acres Per Treatment,2.75,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment,,N/A,,Acres Per Treatment,,Acres Per Treatment
Front Setback (ft),50,Feet,,Feet,55,Feet,55,Feet,55,Feet,55,Feet,55,Feet,10,Feet,,Feet,,Feet
Side Setback (ft),20,Feet,,Feet,15,Feet,15,Feet,15,Feet,15,Feet,15,Feet,10,Feet,,Feet,,Feet
Rear Setback (ft),20,Feet,,Feet,15,Feet,15,Feet,15,Feet,15,Feet,15,Feet,10,Feet,,Feet,,Feet
Frontage (ft),200,Feet,,Feet,100,Feet,100,Feet,100,Feet,100,Feet,100,Feet,,N/A,,Feet,,Feet
Max. Lot Coverage - Buildings (%),5,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,20,Percent,10,Percent,25,Percent,25,Percent,25,Percent,25,Percent,,Percent,,Percent
Minimum Parking Spaces,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
