Abbreviated District Name,V-R,Units/Special,R-C,Units/Special,L-P,Units/Special
County,Windsor,,Windsor,,Windsor,
Jurisdiction,Ludlow Village,,Ludlow Village,,Ludlow Village,
Full District Name,Village Residential District,,Village Residential/Commercial District,,Ludlow Preservation District,
District Mapped,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,
Mapped But Extinct?,No,,No,,No,
Type of Residential District?,Primarily residential,,Mixed with Residential,,Primarily residential,
Affordable Housing District?,No,,No,,No,
Elderly Housing District?,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Public Hearing Required,
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,
Notes - Write any explanations here.,"Accessory building height maximum: 25ft; No minimum lot area specified, but for single- and two-family dwellings, the acreage for density are listed.",,"Accessory building height maximum: 25ft; No minimum lot area specified, but for single- and two-family dwellings, the acreage for density are listed.",,"ADUs are noted as prohibited because ""Accessory apartments"" (which refer to ADUs in the zoning code) are not listed as permitted or conditional use. No minimum lot area specified, but for single- and two-family dwellings, the acreage for density are listed. Lot coverage is ""not to exceed 2,500 sqft total footprint"" (Page 31).",
1-Family Dimensions,,,,,,
Minimum Lot Size (acres),0.12,Acres Per Treatment,0.12,Acres Per Treatment,0.23,Acres Per Treatment
Front Setback (ft),10,Feet,10,Feet,30,Feet
Side Setback (ft),15,Feet,15,Feet,30,Feet
Rear Setback (ft),8,Feet,8,Feet,8,Feet
Frontage (ft),60,Feet,60,Feet,70,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,12,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),50,Percent,50,Percent,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,3,Stories,3,Stories,3,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,
Affordable Housing Only,No,,No,,No,
Elderly Housing Only,No,,No,,No,
Minimum Lot Size (acres),0.23,Acres Per Treatment,0.12,Acres Per Treatment,0.23,Acres Per Treatment
Maximum Density (units/acre),8.71,Units Per Acre,17.42,Units Per Acre,4.36,Units Per Acre
Front Setback (ft),10,Feet,10,Feet,30,Feet
Side Setback (ft),15,Feet,15,Feet,30,Feet
Rear Setback (ft),8,Feet,8,Feet,8,Feet
Frontage (ft),60,Feet,60,Feet,70,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,12,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),50,Percent,50,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,3,Stories,3,Stories,3,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,
Affordable Housing Only,No,,No,,No,
Elderly Housing Only,No,,No,,No,
Minimum Lot Size (acres),0.34,Acres Per Treatment,0.17,Acres Per Treatment,,N/A
Maximum Density (units/acre),8.71,Units Per Acre,17.42,Units Per Acre,8.71,Units Per Acre
Front Setback (ft),10,Feet,10,Feet,30,Feet
Side Setback (ft),15,Feet,15,Feet,30,Feet
Rear Setback (ft),8,Feet,8,Feet,8,Feet
Frontage (ft),60,Feet,60,Feet,70,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,12,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),50,Percent,50,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,No,,No,
Connection or Proximity to Public Transit Required,No,,No,,No,
Max. Stories,3,Stories,3,Stories,3,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,
Elderly Housing Only,No,,No,,No,
Minimum Lot Size (acres),0.34,Acres Per Treatment,0.17,Acres Per Treatment,,N/A
Maximum Density (units/acre),8.71,Units Per Acre,17.42,Units Per Acre,8.71,Units Per Acre
Front Setback (ft),10,Feet,10,Feet,30,Feet
Side Setback (ft),15,Feet,15,Feet,30,Feet
Rear Setback (ft),8,Feet,8,Feet,8,Feet
Frontage (ft),60,Feet,60,Feet,70,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,12,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),50,Percent,50,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,No,,No,
Connection or Proximity to Public Transit Required,No,,No,,No,
Max. Stories,3,Stories,3,Stories,3,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,
Elderly Housing Only,No,,No,,No,
Minimum Lot Size (acres),0.34,Acres Per Treatment,0.17,Acres Per Treatment,,N/A
Maximum Density (units/acre),8.71,Units Per Acre,17.42,Units Per Acre,8.71,Units Per Acre
Front Setback (ft),10,Feet,10,Feet,30,Feet
Side Setback (ft),15,Feet,15,Feet,30,Feet
Rear Setback (ft),8,Feet,8,Feet,8,Feet
Frontage (ft),60,Feet,60,Feet,70,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,12,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),50,Percent,50,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,No,,No,
Connection or Proximity to Public Transit Required,No,,No,,No,
Max. Stories,3,Stories,3,Stories,3,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,
Elderly Housing Only,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,,
Renter Occupancy Required,No,,No,,,
Owner Occupancy Required,No,,No,,,
Elderly Housing Only,No,,No,,,
Minimum Lot Size (acres),,N/A,,N/A,,Acres Per Treatment
Minimum Parking Spaces,,N/A,,N/A,,Spaces Per Unit
Restricted to Only Primary Structure,Yes,,Yes,,,
Max. ADU Size (%),30,Percent,30,Percent,,Percent
Max. ADU Size (sq. ft.),,N/A,,N/A,,Square Feet
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,No,,,
Minimum Lot Size (acres),10,Acres Per Treatment,10,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre
Max. Units,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,No,,No,,No,
PUD Threshold #,,,,,,
PUD Allowed,Yes,,Yes,,Yes,
PUD requiring land conservation,Yes,,Yes,,Yes,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),8.71,Units Per Acre,,Units Per Acre,,Units Per Acre
