Abbreviated District Name,RC-25,Units/Special,RR-5,Units/Special,RR-10,Units/Special,R-1,Units/Special,RC-A,Units/Special,RC-B,Units/Special,IM,Units/Special,RPO,Units/Special,SWHOD,Units/Special
County,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,
Jurisdiction,Reading,,Reading,,Reading,,Reading,,Reading,,Reading,,Reading,,Reading,,Reading,
Full District Name,Residential/Conservation 25,,Rural Residential 5,,Rural Residential 10,,Residential 1 (South Reading),,Residential/Commercial (Hammondsville Area),,Residential/Commercial (Felchville),,Industrial Mining,,Ridgeline Protection Overlay District,,Significant Wildlife Habitat Overlay District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Primarily residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Primarily residential,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Overlay,
2-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Overlay,
3-Family Allowed?,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Overlay,
4+-Family Allowed?,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Overlay,
5+-Family Allowed?,,,,,,,,,,,,,,,,,,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Not Mentioned,,Not Mentioned,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,
Notes - Write any explanations here.,,,,,,,,,,,,,,,Uses allowed as a permitted or conditional use in the underlying zoning district require the approval of the Planning Commission in this overlay except agriculture/forestry and small accessory structures or additions to existing structures.,,The maximum density for this overlay is 1 lot per 25 acres with a minimum lot size of 5 acres. All proposals are reviewed by the Vermont Fish and Wildlife Department to ensure building does not impact the Deer Wintering Habitat or the Wildlife Travel Corridor.,
