Abbreviated District Name,C,Units/Special,Re,Units/Special,R,Units/Special,RR,Units/Special,V,Units/Special,Com,Units/Special,I,Units/Special
County,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,
Jurisdiction,Weston,,Weston,,Weston,,Weston,,Weston,,Weston,,Weston,
Full District Name,Conservation,,Resource,,Rural Low Intensity,,Rural Residential,,Village,,Commercial,,Industrial,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),
4+-Family Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),
5+-Family Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
Notes - Write any explanations here.,,,,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,,,
Minimum Lot Size (acres),5,Acres Per Treatment,3,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment
Front Setback (ft),75,Feet,100,Feet,75,Feet,75,Feet,35,Feet,100,Feet,100,Feet
Side Setback (ft),50,Feet,50,Feet,35,Feet,35,Feet,10,Feet,25,Feet,25,Feet
Rear Setback (ft),75,Feet,50,Feet,35,Feet,35,Feet,10,Feet,25,Feet,25,Feet
Frontage (ft),300,Feet,200,Feet,200,Feet,150,Feet,50,Feet,150,Feet,150,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit
Max. Stories,3,Stories,3,Stories,3,Stories,3,Stories,3,Stories,3,Stories,3,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,,,No,,No,,No,,No,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,3,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,0.67,Units Per Acre,1,Units Per Acre,1,Units Per Acre,2,Units Per Acre,2,Units Per Acre,2,Units Per Acre
Front Setback (ft),,Feet,100,Feet,75,Feet,75,Feet,35,Feet,100,Feet,100,Feet
Side Setback (ft),,Feet,50,Feet,35,Feet,35,Feet,10,Feet,25,Feet,25,Feet
Rear Setback (ft),,Feet,50,Feet,35,Feet,35,Feet,10,Feet,25,Feet,25,Feet
Frontage (ft),,Feet,200,Feet,200,Feet,150,Feet,50,Feet,150,Feet,150,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit
Max. Stories,,Stories,3,Stories,3,Stories,3,Stories,3,Stories,3,Stories,3,Stories
Max. Height (ft),,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,,,,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,6,Acres Per Treatment,6,Acres Per Treatment,1.5,Acres Per Treatment,3,Acres Per Treatment,3,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,1,Units Per Acre,1,Units Per Acre,2,Units Per Acre,1,Units Per Acre,1,Units Per Acre
Front Setback (ft),,Feet,,Feet,75,Feet,75,Feet,35,Feet,100,Feet,100,Feet
Side Setback (ft),,Feet,,Feet,35,Feet,35,Feet,10,Feet,25,Feet,25,Feet
Rear Setback (ft),,Feet,,Feet,35,Feet,35,Feet,10,Feet,25,Feet,25,Feet
Frontage (ft),,Feet,,Feet,200,Feet,150,Feet,50,Feet,150,Feet,150,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,No,,No,,No,,No,,No,
Connection or Proximity to Public Transit Required,,,,,No,,No,,No,,No,,No,
Max. Stories,,Stories,,Stories,3,Stories,3,Stories,3,Stories,3,Stories,3,Stories
Max. Height (ft),,Feet,,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,8,Acres Per Treatment,8,Acres Per Treatment,2,Acres Per Treatment,4,Acres Per Treatment,4,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,1,Units Per Acre,1,Units Per Acre,2,Units Per Acre,1,Units Per Acre,1,Units Per Acre
Front Setback (ft),,Feet,,Feet,75,Feet,75,Feet,35,Feet,100,Feet,100,Feet
Side Setback (ft),,Feet,,Feet,35,Feet,35,Feet,10,Feet,25,Feet,25,Feet
Rear Setback (ft),,Feet,,Feet,35,Feet,35,Feet,10,Feet,25,Feet,25,Feet
Frontage (ft),,Feet,,Feet,200,Feet,150,Feet,50,Feet,150,Feet,150,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,No,,No,,No,,No,,No,
Connection or Proximity to Public Transit Required,,,,,No,,No,,No,,No,,No,
Max. Stories,,Stories,,Stories,3,Stories,3,Stories,3,Stories,3,Stories,3,Stories
Max. Height (ft),,Feet,,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment,2.5,Acres Per Treatment,5,Acres Per Treatment,5,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,1,Units Per Acre,1,Units Per Acre,2,Units Per Acre,1,Units Per Acre,1,Units Per Acre
Front Setback (ft),,Feet,,Feet,75,Feet,75,Feet,35,Feet,100,Feet,100,Feet
Side Setback (ft),,Feet,,Feet,35,Feet,35,Feet,10,Feet,25,Feet,25,Feet
Rear Setback (ft),,Feet,,Feet,35,Feet,35,Feet,10,Feet,25,Feet,25,Feet
Frontage (ft),,Feet,,Feet,200,Feet,150,Feet,50,Feet,150,Feet,150,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,No,,No,,No,,No,,No,
Connection or Proximity to Public Transit Required,,,,,No,,No,,No,,No,,No,
Max. Stories,,Stories,,Stories,3,Stories,3,Stories,3,Stories,3,Stories,3,Stories
