Abbreviated District Name,FR,Units/Special,R-5,Units/Special,R-3,Units/Special,R-1,Units/Special,RLD,Units/Special,RMD,Units/Special,RHD,Units/Special,R/O,Units/Special,HC,Units/Special,C/LI,Units/Special,LC/LI,,BS/LI,,I,,COM,,CO,,DRO,,FHO,,SRO,,APO,
County,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,
Jurisdiction,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,,Woodstock Town,
Full District Name,Forest Reserve,,Residential Five Acre,,Residential Three Acre,,Residential One Acre,,Residential Low Density,,Residential Medium Density,,Residential High Density,,Residential/Office,,Hamlet/Commercial,,Commercial/Light Industrial,,Light Commercial/Light Industrial,,Business Service/Light Industrial,,Inn,,Community,,Conservation,,Design Review Overlay,,Flood Hazard Overlay,,Scenic Ridgeline Overlay,,Woodstock Aqueduct Protection Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,Yes,,Yes,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Primarily residential,,Primarily residential,,Primarily residential,,Primarily residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Mixed With Residential,,Overlay not Affecting Use,,Mixed With Residential,,Mixed With Residential,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Overlay,,Public Hearing Required,,Public Hearing Required,,Overlay,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Overlay,,Public Hearing Required,,Public Hearing Required,,Overlay,
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Overlay,,Public Hearing Required,,Public Hearing Required,,Overlay,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Overlay,,Public Hearing Required,,Public Hearing Required,,Overlay,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Overlay,,Public Hearing Required,,Public Hearing Required,,Overlay,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Not Mentioned,,Not Mentioned,,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Overlay,,Public Hearing Required,,Public Hearing Required,,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Not Mentioned,,Prohibited,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Overlay,,Public Hearing Required,,Public Hearing Required,,Overlay,
Notes - Write any explanations here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All development is subject to review by the Conservation Commision and to Conditional Use Approval by the DRB.,,,,,,,,All zoning permits issued in an overlay zone shall be sent by the Planning and Zoning Office to the Woodstock Aqueduct Company so the company may monitor development within the zone.,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),28,Acres Per Treatment,5,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,0.18,Acres Per Treatment,0.11,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,0.5,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),60,Feet,80 from state route; 60 from town road,Alternative,60,Feet,80,Feet,50 from state route; 35 from town road,Alternative,35,Feet,35,Feet,50,Feet,50 from state route; 40 from town road,Alternative,,Feet,50,Feet,50,Feet,50,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Side Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,15,Feet,10,Feet,10,Feet,25,Feet,10,Feet,,Feet,25,Feet,25,Feet,25,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Rear Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,15,Feet,15,Feet,25,Feet,15,Feet,,Feet,25,Feet,25,Feet,25,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
